AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
23.1,55.8,1013.7,False,36.2,114,1.8
23.2,55.1,1013.6,False,35.9,110,3.0
23.2,55.2,1013.6,False,35.6,115,3.2
23.1,55.7,1013.7,False,35.7,104,3.4
23.1,55.8,1013.8,False,35.8,108,3.1
23.2,55.5,1013.7,False,35.7,109,3.4
23.2,55.7,1013.6,False,35.5,128,1.7
23.1,56.6,1013.7,False,35.7,106,2.1
23.1,57.0,1013.7,False,35.4,118,3.1
23.2,55.9,1013.5,False,35.6,154,2.4
23.1,56.6,1013.6,False,36.0,124,1.3
23.2,56.1,1013.6,False,36.3,98,1.6
23.1,56.1,1013.6,False,36.7,127,2.3
23.1,56.1,1013.5,False,36.3,109,3.2
23.1,56.1,1013.5,False,36.3,132,2.2
23.1,55.9,1013.5,False,35.6,131,3.8
23.1,56.0,1013.5,False,35.6,133,2.1
23.1,56.3,1013.5,False,35.6,110,2.3
23.1,56.5,1013.3,False,35.7,118,1.5
23.2,56.0,1013.4,False,35.6,95,0.9
23.2,56.4,1013.3,False,35.5,110,2.3
23.2,56.5,1013.3,False,35.5,109,2.4
23.3,56.0,1013.3,False,35.8,108,3.7
23.3,55.1,1013.3,False,34.9,130,3.8
23.2,55.6,1013.3,False,34.9,137,0.8
23.2,55.8,1013.3,False,34.7,114,1.9
23.3,56.4,1013.2,False,33.3,126,2.2
23.4,55.7,1013.2,False,34.6,125,2.8
23.5,55.1,1013.3,False,33.4,124,2.3
23.5,55.6,1013.3,False,34.3,126,2.3
23.4,55.8,1013.2,False,33.5,130,1.9
23.4,55.5,1013.3,False,35.3,0,0.0
23.4,55.6,1013.2,False,35.9,212,0.6
23.4,55.5,1013.3,False,35.5,113,1.1
23.4,55.5,1013.3,False,35.5,101,3.7
23.4,55.0,1013.3,False,35.5,192,2.1
23.4,56.0,1013.3,False,35.8,90,2.4
23.4,56.0,1013.3,False,35.8,90,2.4
23.4,55.2,1013.2,False,35.3,124,1.6
23.4,55.8,1013.2,False,35.6,128,1.0
23.4,55.9,1013.2,False,35.2,154,1.8
23.4,55.2,1013.1,False,35.4,125,2.3
23.4,55.4,1013.2,False,35.2,125,3.9
23.5,55.1,1013.1,False,35.0,121,2.3
23.5,55.7,1013.1,False,35.9,123,2.3
23.7,55.5,1013.1,False,37.1,124,1.5
23.7,54.5,1013.1,False,37.6,100,2.7
23.8,54.3,1013.1,False,39.1,117,2.0
23.9,54.3,1013.0,False,39.1,116,2.4
23.9,54.3,1013.1,False,38.9,120,2.6
23.9,55.1,1013.0,False,38.0,99,1.8
23.9,54.9,1012.9,False,37.8,103,1.1
24.0,55.1,1013.0,False,37.2,137,3.7
24.0,54.0,1013.0,False,37.0,95,1.2
24.0,54.2,1012.8,False,36.8,156,2.0
23.9,54.5,1012.9,False,37.3,126,1.5
24.0,54.0,1012.8,False,36.5,74,1.0
24.0,54.2,1012.8,False,36.0,116,4.6
23.9,53.8,1013.0,False,35.4,93,3.1
23.9,54.3,1012.8,False,35.7,100,2.1
23.9,54.2,1012.9,False,35.3,185,1.8
23.9,54.2,1012.8,False,37.5,99,2.5
24.0,54.0,1012.9,False,38.0,129,3.4
24.2,54.0,1012.8,False,36.6,104,4.4
24.2,54.4,1012.8,False,36.0,135,2.3
24.1,54.1,1012.9,False,36.1,112,1.6
24.1,54.1,1012.9,False,36.1,112,1.6
24.1,54.1,1012.9,False,36.1,112,1.6
24.1,54.1,1012.9,False,36.1,112,1.6
24.2,54.2,1012.8,False,35.1,127,2.2
24.2,54.3,1012.6,False,35.3,114,2.7
24.2,54.7,1012.6,False,35.1,99,3.4
24.3,54.6,1012.5,False,35.8,121,2.0
24.5,54.3,1012.6,False,36.6,104,2.4
24.4,53.7,1012.6,False,38.1,121,3.1
24.4,53.1,1012.5,False,37.6,122,2.4
24.5,53.3,1012.6,False,36.7,119,1.6
24.4,53.1,1012.4,False,36.6,128,2.7
24.4,53.3,1012.5,False,36.4,113,2.2
24.5,53.5,1012.4,False,36.5,128,2.0
24.5,53.5,1012.4,False,36.5,128,2.0
24.6,52.3,1012.4,False,36.8,113,2.0
24.4,52.4,1012.4,False,36.6,95,3.8
24.3,53.3,1012.4,False,36.6,114,2.5
24.3,53.7,1012.3,False,37.3,125,2.0
24.3,53.9,1012.3,False,38.4,140,3.5
24.5,53.5,1012.3,False,39.1,119,3.0
24.6,53.1,1012.3,False,37.7,111,3.0
24.6,52.5,1012.3,False,36.7,138,4.1
24.6,53.1,1012.3,False,36.3,137,3.6
24.7,53.0,1012.3,False,35.9,142,2.9
24.7,53.3,1012.1,False,35.9,133,1.9
24.6,53.4,1012.2,False,35.8,126,2.8
24.6,53.3,1012.1,False,35.7,119,3.8
24.6,53.1,1012.2,False,35.9,123,2.7
24.6,52.8,1012.1,False,36.4,111,2.9
24.5,52.9,1012.2,False,36.6,95,1.4
24.6,53.4,1012.1,False,37.0,114,2.1
24.7,53.0,1012.0,False,37.5,113,1.8
24.8,52.6,1012.1,False,37.6,147,3.1
24.8,52.7,1012.0,False,37.4,106,3.3
24.9,52.1,1012.0,False,37.1,105,3.3
24.8,52.0,1012.0,False,36.5,98,2.5
24.8,52.8,1012.0,False,36.3,98,4.0
24.8,52.8,1012.1,False,36.1,120,3.0
24.9,53.4,1012.0,False,36.1,115,2.8
25.3,53.7,1012.0,False,36.1,123,2.5
25.2,53.5,1011.9,False,37.3,184,1.0
25.3,53.0,1011.8,False,37.6,131,4.2
25.2,53.1,1012.0,False,37.0,125,4.0
25.1,53.0,1012.0,False,37.2,147,3.0
25.1,53.2,1011.8,False,37.7,107,2.5
25.0,53.1,1011.9,False,37.3,123,3.0
25.2,52.4,1011.9,False,37.2,105,3.7
25.3,52.3,1011.8,False,37.6,113,3.0
25.2,52.5,1011.8,False,37.8,119,3.8
25.2,52.8,1011.8,False,37.0,120,3.8
25.1,53.4,1011.8,False,36.7,112,1.7
25.1,53.0,1011.8,False,35.9,115,3.0
25.0,52.1,1011.8,False,35.7,98,2.5
25.0,52.7,1011.8,False,35.5,140,3.1
25.0,52.5,1011.8,False,35.4,116,1.7
25.0,52.8,1011.7,False,35.5,136,3.6
25.0,52.8,1011.8,False,35.4,96,2.8
25.1,52.6,1011.6,False,35.5,99,1.3
25.2,53.2,1011.6,False,36.1,100,4.3
25.2,52.7,1011.7,False,36.2,93,1.0
25.1,52.5,1011.7,False,36.6,110,2.0
25.1,51.4,1011.7,False,36.2,104,4.2
25.1,51.4,1011.6,False,35.7,118,3.9
25.1,51.4,1011.6,False,35.6,140,2.9
25.1,52.4,1011.6,False,35.4,106,4.0
25.2,52.5,1011.7,False,35.8,116,2.2
25.1,52.9,1011.6,False,36.8,110,2.4
25.2,53.0,1011.6,False,36.5,116,2.6
25.2,52.0,1011.6,False,36.4,110,2.2
25.3,52.0,1011.6,False,35.9,125,2.3
25.3,52.2,1011.5,False,35.6,106,3.1
25.3,51.1,1011.5,False,35.3,121,3.0
25.3,51.5,1011.6,False,35.0,131,3.6
25.3,51.9,1011.5,False,34.8,115,3.0
25.3,51.7,1011.5,False,34.7,130,4.2
25.2,51.6,1011.6,False,34.6,126,3.2
25.2,51.9,1011.5,False,34.6,127,3.7
25.2,52.0,1011.5,False,34.4,105,2.9
25.1,51.7,1011.5,False,34.5,103,2.9
25.0,52.2,1011.5,False,34.3,114,2.5
25.0,52.7,1011.5,False,34.5,117,1.9
