AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
33.6,30.3,941.8,False,53.2,67,1.0
33.8,29.8,941.8,False,53.3,285,0.9
33.8,30.5,941.8,False,52.9,0,0.0
33.8,29.7,941.8,False,52.5,286,1.4
33.7,30.5,941.8,False,52.0,334,0.6
33.8,30.6,941.8,False,53.0,293,2.2
33.9,28.7,941.7,False,52.7,276,2.0
33.8,29.8,941.7,False,49.1,287,2.2
33.7,30.0,941.7,False,51.5,303,1.7
33.8,30.6,941.7,False,50.7,45,0.8
34.0,30.6,941.7,False,50.7,45,0.8
34.2,29.1,941.8,False,52.4,306,1.9
34.2,29.3,941.7,False,52.0,315,1.2
34.2,29.6,941.6,False,52.5,295,1.0
34.4,28.0,941.7,False,50.3,10,1.5
34.4,28.0,941.6,False,49.2,298,2.9
34.2,28.4,941.6,False,48.3,287,2.5
34.2,28.9,941.6,False,48.6,255,2.1
34.2,29.3,941.7,False,48.5,0,0.0
34.3,27.9,941.5,False,49.2,274,1.5
34.5,27.0,941.6,False,50.3,256,2.0
34.5,26.9,941.6,False,49.4,271,1.6
34.5,27.0,941.6,False,47.5,224,1.1
34.6,26.7,941.6,False,48.8,271,2.3
34.7,27.4,941.6,False,49.0,285,3.1
34.7,27.8,941.6,False,48.9,277,2.5
34.6,28.1,941.5,False,48.5,287,1.3
34.6,27.9,941.5,False,48.0,263,2.9
34.6,26.6,941.5,False,46.7,300,2.8
34.5,27.2,941.5,False,47.5,295,1.3
34.5,27.1,941.5,False,42.6,238,0.4
34.6,27.4,941.5,False,46.5,249,2.3
34.6,26.2,941.5,False,46.7,279,1.6
34.5,26.1,941.6,False,46.2,274,0.7
34.5,26.1,941.5,False,46.5,266,0.7
34.5,26.7,941.5,False,46.8,243,1.0
34.7,26.0,941.4,False,46.9,291,0.9
34.8,25.3,941.5,False,46.7,278,2.7
34.8,25.6,941.4,False,48.9,284,2.5
34.7,25.5,941.5,False,48.8,276,2.9
34.5,26.7,941.4,False,48.5,255,2.5
34.6,27.2,941.5,False,46.6,286,2.1
34.4,27.7,941.5,False,45.2,44,0.7
34.3,27.8,941.4,False,44.2,24,0.6
34.3,27.7,941.5,False,45.5,66,1.6
34.3,27.5,941.5,False,44.8,0,0.0
34.3,27.6,941.4,False,47.1,310,0.7
34.4,27.5,941.5,False,46.1,293,1.3
34.5,27.9,941.4,False,46.3,255,0.6
34.6,28.1,941.4,False,47.3,342,1.6
34.6,28.7,941.3,False,47.0,320,2.0
34.6,28.3,941.4,False,48.4,301,0.6
34.5,28.6,941.4,False,48.7,294,1.0
34.6,28.8,941.4,False,49.4,1,1.5
34.8,30.1,941.3,False,49.2,216,1.8
34.7,30.2,941.4,False,50.0,352,0.4
34.7,29.3,941.3,False,49.0,310,0.8
34.6,29.8,941.4,False,49.2,36,1.5
34.5,30.0,941.4,False,49.5,299,3.5
34.4,30.5,941.4,False,49.7,324,1.2
34.5,30.3,941.3,False,50.7,57,1.1
34.6,30.3,941.4,False,50.7,98,2.1
34.4,29.9,941.3,False,50.3,94,2.4
34.4,30.2,941.3,False,50.2,101,0.8
34.5,30.8,941.3,False,50.7,356,1.9
34.6,30.8,941.3,False,50.7,356,1.9
34.7,30.6,941.3,False,51.1,68,1.8
34.7,30.0,941.2,False,51.2,326,0.9
34.8,29.6,941.2,False,50.9,0,0.0
34.8,29.2,941.3,False,50.6,26,1.2
34.7,29.9,941.2,False,51.1,287,1.7
34.8,29.5,941.3,False,51.6,329,0.6
34.7,29.6,941.3,False,51.2,331,1.0
34.6,29.5,941.2,False,51.2,68,2.5
34.7,28.9,941.3,False,51.6,332,2.1
34.7,28.5,941.3,False,51.6,10,2.4
34.6,28.5,941.3,False,51.3,25,2.2
34.6,28.6,941.3,False,51.3,63,1.8
34.5,29.6,941.3,False,51.1,36,0.6
34.7,28.7,941.3,False,51.0,288,2.1
34.7,28.8,941.3,False,51.4,331,1.2
34.8,29.0,941.3,False,51.4,59,1.0
34.9,29.3,941.3,False,50.9,60,1.0
35.1,29.2,941.3,False,51.3,10,1.3
35.1,30.3,941.4,False,50.8,27,2.7
34.9,31.6,941.3,False,49.9,20,3.0
34.9,31.5,941.3,False,51.3,348,1.2
34.8,31.5,941.3,False,51.3,348,1.2
34.9,29.9,941.3,False,50.8,69,1.3
34.7,29.8,941.4,False,50.7,12,1.8
34.5,29.9,941.2,False,51.0,0,2.4
34.5,30.1,941.2,False,51.2,11,1.8
34.3,30.5,941.2,False,51.5,325,1.7
34.5,31.5,941.2,False,51.4,346,1.2
34.7,31.1,941.2,False,51.2,351,2.6
34.6,31.5,941.2,False,51.0,331,2.2
34.5,31.8,941.2,False,51.4,337,1.5
34.5,32.0,941.3,False,50.5,358,2.3
34.5,30.9,941.3,False,51.5,49,1.3
34.6,31.7,941.3,False,51.4,51,2.7
34.7,31.7,941.2,False,50.9,0,0.0
34.7,31.7,941.3,False,51.1,326,1.0
34.6,32.3,941.1,False,51.3,62,2.2
34.5,32.1,941.3,False,51.1,8,1.8
34.5,32.1,941.3,False,50.8,326,1.9
34.5,32.3,941.2,False,51.0,350,2.5
34.4,32.4,941.3,False,51.3,360,2.0
34.4,32.2,941.3,False,51.6,81,1.4
34.5,31.6,941.3,False,51.9,65,1.3
34.5,31.1,941.3,False,52.0,312,0.9
34.5,30.7,941.3,False,52.1,141,1.6
34.5,30.7,941.3,False,51.9,116,2.6
34.7,30.2,941.3,False,52.0,283,0.9
34.8,30.1,941.2,False,51.9,144,0.8
34.8,31.0,941.2,False,52.0,324,0.9
34.8,30.6,941.1,False,52.0,55,2.0
34.8,30.9,941.2,False,51.6,278,1.3
34.7,31.5,941.3,False,51.6,37,1.2
34.7,31.9,941.1,False,51.3,0,0.0
34.6,30.7,941.2,False,51.3,332,1.4
34.5,30.7,941.2,False,51.5,352,0.8
34.5,30.5,941.2,False,51.6,43,1.2
34.4,30.2,941.2,False,50.6,329,2.2
34.3,31.3,941.2,False,50.6,315,2.5
34.3,31.9,941.2,False,51.2,360,1.5
34.3,31.4,941.1,False,51.0,316,1.3
34.2,31.4,941.2,False,50.8,321,3.4
34.4,32.0,941.1,False,51.0,95,1.0
34.3,31.1,941.1,False,50.7,333,1.5
33.5,31.1,941.1,False,50.7,333,1.5
34.3,32.3,941.1,False,51.1,97,0.7
33.4,32.3,941.1,False,51.1,97,0.7
34.6,31.4,941.2,False,51.2,36,0.9
34.6,31.5,941.2,False,51.2,330,2.2
34.6,32.1,941.1,False,51.3,309,1.3
34.6,32.2,941.2,False,51.4,301,1.8
34.5,30.9,941.2,False,51.0,97,2.3
34.5,32.2,941.1,False,50.8,37,2.3
34.1,32.2,941.1,False,50.8,37,2.3
34.5,31.3,941.2,False,51.2,352,0.9
34.5,30.9,941.0,False,51.0,123,2.3
34.4,31.0,941.2,False,51.1,231,0.4
34.5,31.0,941.1,False,51.0,39,0.9
34.2,31.2,941.1,False,50.8,76,1.4
34.3,31.1,941.1,False,50.5,148,0.9
34.0,31.1,941.1,False,50.5,148,0.9
34.2,31.2,941.2,False,50.2,55,0.9
34.1,32.9,941.1,False,50.1,39,0.9
34.0,32.9,941.1,False,50.0,328,1.0
