AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
18.8,81.0,965.0,False,26.7,328,1.8
18.9,82.0,965.0,False,26.5,301,1.6
19.0,80.0,965.1,False,26.1,320,1.3
18.9,81.0,965.0,False,25.9,338,1.2
18.6,81.0,965.1,False,25.9,316,1.7
18.5,79.0,965.1,False,25.6,296,1.3
18.4,82.0,965.1,False,25.3,347,1.1
18.4,82.0,965.0,True,25.2,298,1.2
18.3,83.0,965.0,True,25.3,295,1.1
18.3,80.0,965.0,True,25.6,260,1.5
18.2,82.0,965.0,False,26.2,0,0.6
18.2,83.0,965.0,False,26.3,330,1.0
18.3,82.0,965.0,False,26.8,275,2.0
18.3,79.0,965.1,False,27.3,355,1.1
18.4,77.0,965.1,False,27.6,338,1.7
18.5,76.0,965.0,True,27.3,315,1.4
18.5,78.0,965.0,True,26.8,356,1.6
18.6,78.0,965.1,True,26.3,332,1.2
18.7,76.0,964.9,True,26.2,332,1.4
18.8,78.0,964.9,True,25.8,334,1.2
18.8,80.0,964.9,True,25.7,276,0.7
18.9,78.0,965.0,True,25.4,358,1.5
18.8,79.0,964.9,True,25.1,0,1.7
18.8,80.0,965.1,True,25.0,10,1.0
18.7,79.0,965.0,True,24.9,2,1.7
18.6,80.0,965.0,True,24.1,331,1.7
18.5,81.0,965.1,True,24.0,330,2.0
18.3,84.0,965.0,True,23.5,311,0.9
18.1,82.0,965.1,True,23.3,109,1.3
17.9,84.0,965.1,True,22.6,175,1.1
17.7,86.0,965.1,True,22.7,341,0.9
17.5,86.0,965.0,True,22.7,333,1.1
17.4,86.0,965.0,True,22.7,246,0.6
17.3,87.0,965.1,True,22.4,14,1.0
17.2,89.0,965.0,True,22.6,340,0.4
17.2,88.0,965.1,True,22.7,0,1.2
17.1,90.0,965.0,True,22.8,323,0.4
17.1,90.0,965.0,True,23.2,346,1.3
17.0,88.0,965.0,True,23.3,334,2.2
17.1,89.0,965.0,True,23.1,305,1.4
17.1,88.0,965.0,True,23.1,302,2.3
17.0,88.0,965.1,True,23.1,343,1.8
17.1,88.0,965.0,True,23.1,345,1.7
17.1,88.0,965.1,True,23.4,296,1.1
17.0,90.0,965.0,True,23.4,297,0.9
17.0,89.0,965.0,True,23.6,310,0.5
17.1,89.0,965.0,True,23.7,285,0.8
17.1,89.0,965.1,True,23.7,311,2.4
17.1,88.0,965.0,True,23.7,319,1.8
17.0,89.0,965.1,True,23.6,324,1.4
17.1,90.0,965.1,True,23.8,347,0.9
17.1,88.0,965.0,True,23.8,352,1.8
17.1,88.0,964.9,True,23.8,313,1.1
17.0,90.0,965.0,True,23.8,290,1.3
17.0,88.0,965.1,True,23.8,291,1.8
17.0,90.0,965.0,True,23.8,297,1.6
17.0,89.0,964.9,True,24.0,343,1.3
17.0,89.0,965.0,True,24.0,350,1.3
17.1,89.0,965.1,True,24.1,347,1.6
17.2,88.0,965.0,True,24.1,302,1.7
17.1,88.0,965.0,True,23.9,344,2.1
17.1,89.0,965.0,True,24.0,308,1.5
17.1,88.0,965.0,True,24.0,280,1.4
17.1,88.0,965.0,False,24.0,0,1.5
17.2,90.0,965.1,True,24.5,337,0.7
17.3,90.0,965.1,True,24.5,278,0.6
17.2,88.0,965.1,False,24.4,330,1.1
17.2,88.0,965.1,False,24.3,334,0.9
17.3,89.0,965.0,False,24.3,339,1.1
17.3,88.0,965.1,False,24.1,323,1.1
17.4,89.0,965.1,True,23.7,319,1.4
17.4,89.0,965.2,True,23.5,342,1.7
17.3,86.0,965.3,True,22.6,354,3.2
17.2,87.0,965.3,True,22.5,314,2.5
17.0,84.0,965.3,True,21.6,320,3.0
16.8,87.0,965.3,True,21.3,321,2.2
16.7,87.0,965.3,True,21.3,320,2.8
16.5,88.0,965.3,True,21.2,334,1.7
16.2,88.0,965.3,True,21.1,340,2.0
16.0,87.0,965.4,True,20.9,338,0.9
15.7,88.0,965.4,True,20.8,337,1.8
15.6,87.0,965.4,True,20.7,339,2.2
15.4,87.0,965.4,True,20.7,305,2.1
15.2,90.0,965.3,True,20.7,312,1.6
15.1,88.0,965.4,True,20.8,287,1.8
14.9,89.0,965.4,True,20.8,292,2.1
14.8,90.0,965.2,True,20.7,320,2.0
14.8,90.0,965.3,True,20.7,298,1.4
14.8,90.0,965.2,True,20.8,324,1.6
14.7,91.0,965.2,True,20.9,332,1.1
14.7,91.0,965.1,True,20.9,284,1.7
14.7,89.0,965.1,True,20.9,272,0.9
14.6,90.0,965.1,True,20.9,238,1.3
14.6,90.0,965.0,True,21.1,267,0.7
14.5,89.0,965.0,True,21.1,266,0.7
14.5,90.0,965.0,True,21.1,302,0.8
14.6,90.0,965.0,True,21.1,309,1.0
14.5,90.0,965.0,True,21.0,290,0.5
14.6,91.0,964.9,True,21.1,351,1.1
14.5,90.0,964.9,True,21.2,305,0.9
14.6,91.0,964.8,True,21.2,307,0.7
14.6,91.0,964.7,True,21.2,356,0.9
14.6,91.0,964.7,True,21.2,313,0.7
14.6,90.0,964.7,True,21.2,290,0.9
14.6,91.0,964.7,True,21.4,310,1.1
14.6,91.0,964.7,True,21.4,285,1.3
14.6,90.0,964.7,True,21.5,317,1.2
14.6,91.0,964.6,True,21.7,273,1.1
14.6,91.0,964.7,True,22.1,0,1.2
14.8,93.0,964.8,True,22.3,317,0.8
14.9,93.0,964.7,True,22.9,281,1.1
15.0,90.0,964.7,True,23.1,330,1.4
15.2,91.0,964.7,True,23.1,315,1.8
15.3,91.0,964.7,True,23.2,287,1.5
15.3,91.0,964.7,True,23.2,306,1.5
15.5,90.0,964.6,False,24.3,303,2.0
15.6,93.0,964.7,False,25.0,302,0.7
15.6,92.0,964.7,True,25.2,321,0.8
15.8,90.0,964.7,True,25.4,330,1.5
15.9,89.0,964.7,False,25.5,318,1.2
16.0,89.0,964.7,False,25.9,282,1.6
16.1,87.0,964.7,False,26.0,311,1.8
16.2,90.0,964.7,False,26.2,313,2.0
16.4,86.0,964.7,False,26.3,328,1.5
16.4,86.0,964.8,True,26.3,325,1.3
16.5,87.0,964.7,True,26.3,287,0.6
16.7,83.0,964.8,False,26.3,347,1.8
16.8,86.0,964.8,False,26.6,356,1.9
16.9,85.0,964.8,False,26.8,333,1.6
