AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
17.9,70.0,929.9,False,32.7,124,1.0
17.9,70.0,929.9,False,32.7,160,1.3
17.9,70.0,930.0,False,32.8,178,1.5
18.0,70.0,929.9,False,32.8,158,2.0
17.9,70.0,930.0,False,32.3,177,1.9
17.9,71.0,930.0,False,32.2,194,1.8
17.9,71.0,929.9,False,31.6,181,2.0
17.9,71.0,929.9,False,31.2,154,2.7
17.8,72.0,930.0,False,30.7,203,2.2
17.8,73.0,929.9,False,30.4,194,2.1
17.6,74.0,929.9,False,30.0,141,1.7
17.5,73.0,929.9,False,29.8,203,2.4
17.4,73.0,929.9,False,29.7,196,2.2
17.2,73.0,929.8,False,29.7,206,1.7
17.1,73.0,929.8,False,29.7,153,1.7
17.0,73.0,930.0,False,29.6,189,2.4
17.0,73.0,929.9,False,29.5,156,2.2
17.0,74.0,929.9,False,29.5,200,1.5
17.0,74.0,929.9,False,29.5,190,1.6
17.1,75.0,929.9,False,29.5,0,0.8
17.1,74.0,929.9,False,29.8,335,0.6
17.0,73.0,929.9,False,29.8,147,1.0
17.0,73.0,929.9,False,29.7,181,0.9
17.0,73.0,929.9,False,29.6,183,1.3
16.9,74.0,929.9,False,29.4,128,1.2
16.8,75.0,930.0,False,29.4,202,1.8
16.8,74.0,929.9,False,29.3,177,1.0
16.8,75.0,929.9,False,29.4,199,1.0
16.7,75.0,930.0,False,29.5,161,1.7
16.7,75.0,929.9,False,29.8,194,0.9
16.6,73.0,929.9,False,29.8,206,1.6
16.6,73.0,929.9,False,29.8,176,1.8
16.6,72.0,929.9,False,29.9,177,1.6
16.7,72.0,929.9,False,30.1,167,2.2
16.9,72.0,929.8,False,30.4,161,0.7
17.0,71.0,929.9,False,30.4,129,1.3
17.0,71.0,929.9,False,30.4,178,1.2
17.1,72.0,929.9,False,30.5,138,2.1
17.1,72.0,929.9,False,30.4,197,2.4
17.1,73.0,929.9,False,30.4,133,1.6
17.2,72.0,929.9,False,30.7,171,0.7
17.3,71.0,929.8,False,31.0,162,0.6
17.3,70.0,929.8,False,31.1,125,1.0
17.4,70.0,929.8,False,30.9,203,1.1
17.5,71.0,929.8,False,30.8,154,0.9
17.4,70.0,929.9,False,31.0,170,0.9
17.4,70.0,929.8,False,31.2,144,1.1
17.5,70.0,929.8,False,31.1,212,1.1
17.5,70.0,929.8,False,30.7,149,1.9
17.5,70.0,929.9,False,30.7,162,1.1
17.5,70.0,929.8,False,30.8,122,0.9
17.5,69.0,929.7,False,30.9,130,0.4
17.5,69.0,929.8,False,30.9,149,1.4
17.5,70.0,929.8,False,30.8,171,1.1
17.5,70.0,929.9,False,31.1,162,0.6
17.5,70.0,929.8,False,30.7,0,1.7
17.5,69.0,929.8,False,30.8,123,0.4
17.5,70.0,929.9,False,30.7,158,1.7
17.5,70.0,929.8,False,30.7,161,1.9
17.5,70.0,929.9,False,30.6,140,1.1
