AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
23.0,28.0,1019.1,False,47.1,53,1.3
23.0,28.0,1019.1,False,47.0,153,0.7
23.0,28.0,1019.1,False,47.0,153,0.7
23.0,27.0,1019.0,False,47.3,3,0.8
23.1,28.0,1019.1,False,47.0,345,1.0
23.1,28.0,1019.0,False,47.3,326,1.2
23.1,30.0,1018.9,False,47.3,7,0.5
23.3,29.0,1019.0,False,47.1,8,0.8
23.3,26.0,1019.0,False,48.0,12,1.1
23.4,26.0,1019.0,False,48.0,40,1.2
23.4,26.0,1018.9,False,47.9,43,1.2
23.3,26.0,1018.9,False,47.9,27,1.2
23.3,25.0,1018.9,False,48.3,28,1.5
23.3,25.0,1019.0,False,48.1,357,1.1
23.3,25.0,1018.9,False,48.0,11,1.5
23.2,26.0,1019.0,False,47.8,62,0.4
23.2,25.0,1019.0,False,47.9,39,0.7
23.1,25.0,1019.0,False,48.0,291,0.6
23.2,26.0,1019.1,False,48.0,340,0.7
23.1,26.0,1019.0,False,48.4,354,1.0
23.1,28.0,1019.1,False,48.0,34,1.2
23.1,32.0,1019.0,False,47.5,329,0.5
23.3,30.0,1019.0,False,47.5,305,0.6
23.3,32.0,1019.0,False,48.2,127,0.0
23.2,30.0,1019.0,False,47.9,0,0.0
23.3,30.0,1019.1,False,48.0,248,0.3
23.3,29.0,1019.1,False,47.9,198,0.8
23.3,29.0,1019.0,False,47.9,211,1.1
23.3,30.0,1019.0,False,47.9,190,1.1
23.1,30.0,1019.1,False,48.0,177,1.4
23.1,31.0,1019.0,False,48.0,173,2.0
22.8,31.0,1019.1,False,48.2,149,0.7
22.8,31.0,1019.1,False,48.2,276,1.2
22.8,32.0,1019.2,False,48.1,202,1.0
22.9,34.0,1019.0,False,48.4,175,1.5
22.8,33.0,1019.1,False,48.4,175,1.9
22.8,34.0,1019.0,False,48.7,180,1.8
22.8,31.0,1019.1,False,49.0,157,2.2
22.8,33.0,1019.0,False,49.1,172,1.6
22.8,33.0,1019.0,False,49.3,160,0.6
23.0,33.0,1019.0,False,49.3,147,1.0
23.0,32.0,1018.9,False,48.9,19,0.8
23.0,31.0,1019.0,False,48.7,334,0.8
23.0,31.0,1019.0,False,48.7,344,0.7
23.1,30.0,1019.1,False,48.7,104,0.4
23.2,31.0,1019.0,False,48.7,353,0.6
23.0,31.0,1019.0,False,48.9,140,0.6
23.0,30.0,1019.0,False,49.3,192,0.7
23.0,29.0,1018.9,False,49.3,169,1.4
23.0,28.0,1019.0,False,50.0,194,1.8
23.0,28.0,1019.0,False,49.5,133,1.0
23.0,29.0,1019.0,False,49.5,175,1.0
23.0,29.0,1019.0,False,49.4,174,1.2
23.0,29.0,1019.0,False,49.8,238,1.4
23.1,29.0,1019.1,False,49.9,211,1.3
23.4,29.0,1019.1,False,49.7,333,1.0
23.4,29.0,1019.0,False,49.6,344,1.0
23.3,30.0,1018.9,False,49.6,18,0.6
23.3,30.0,1019.1,False,49.7,2,0.7
23.4,30.0,1019.1,False,50.0,104,0.5
23.6,29.0,1018.9,False,50.1,3,1.0
23.6,29.0,1019.0,False,50.2,353,0.9
23.6,29.0,1019.1,False,50.2,343,1.6
23.7,28.0,1019.1,False,50.3,158,1.4
23.9,28.0,1019.1,False,50.1,103,0.8
24.0,27.0,1019.1,False,50.0,29,0.8
24.0,27.0,1019.0,False,49.9,19,1.3
23.9,26.0,1019.0,False,49.9,354,2.2
23.8,26.0,1019.0,False,49.9,4,2.9
23.6,26.0,1019.0,False,49.9,4,2.9
23.8,26.0,1019.0,False,50.4,263,1.1
23.8,27.0,1019.1,False,50.3,202,1.5
23.7,26.0,1019.1,False,50.2,262,2.0
23.8,27.0,1019.0,False,50.1,253,1.6
23.8,26.0,1019.0,False,50.1,159,1.6
23.7,26.0,1019.1,False,50.1,239,1.9
23.8,29.0,1019.0,False,50.0,292,0.9
23.8,29.0,1019.0,False,50.0,124,0.9
23.9,27.0,1019.1,False,49.8,106,1.1
23.8,27.0,1019.1,False,49.8,106,1.1
23.7,29.0,1019.0,False,50.0,326,1.9
23.8,28.0,1019.0,False,50.2,32,0.8
23.8,27.0,1019.0,False,49.9,31,1.3
23.8,28.0,1019.0,False,49.7,324,1.1
23.9,27.0,1019.0,False,49.7,0,0.5
24.0,29.0,1018.9,False,49.4,151,0.8
24.0,29.0,1018.9,False,49.4,151,0.8
24.0,28.0,1018.9,False,49.4,0,1.1
23.9,30.0,1018.9,False,49.6,0,1.1
24.0,29.0,1019.1,False,49.6,166,0.9
24.1,30.0,1019.1,False,49.7,230,2.0
24.1,29.0,1019.0,False,49.9,10,0.7
24.3,29.0,1019.0,False,49.8,27,0.7
24.3,29.0,1018.9,False,49.9,197,0.8
24.4,28.0,1018.9,False,50.0,123,0.8
