AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
16.3,51.1,1024.6,False,26.5,91,2.1
16.3,51.1,1024.6,False,26.0,111,1.5
16.3,51.3,1024.6,False,26.1,99,2.0
16.3,51.4,1024.6,False,25.4,91,1.8
16.3,51.3,1024.6,False,25.4,65,2.7
16.2,51.6,1024.5,False,25.4,56,1.8
16.2,51.7,1024.5,False,25.2,60,1.4
16.1,51.9,1024.4,False,25.2,55,1.5
16.2,51.8,1024.5,False,25.1,108,1.4
16.2,51.8,1024.4,False,24.8,120,0.7
16.1,52.5,1024.5,False,25.3,99,0.9
16.1,52.1,1024.4,False,25.1,109,1.8
16.1,51.2,1024.4,False,24.6,129,1.3
16.1,52.2,1024.4,False,25.1,87,1.1
16.2,52.2,1024.4,False,24.8,110,2.5
16.1,52.3,1024.5,False,25.1,92,1.3
16.1,52.1,1024.5,False,24.9,70,1.9
16.1,52.5,1024.4,False,24.7,104,2.1
16.1,52.6,1024.4,False,25.0,115,1.5
16.1,53.1,1024.4,False,25.4,43,0.3
16.1,53.5,1024.5,False,25.7,174,1.5
16.2,53.2,1024.5,False,25.6,166,1.0
16.3,52.5,1024.6,False,27.6,79,1.9
16.3,50.8,1024.5,False,26.8,84,3.0
16.4,50.5,1024.6,False,25.3,70,2.0
16.3,52.0,1024.5,False,25.0,97,1.8
16.2,51.9,1024.5,False,24.7,72,1.4
16.2,52.0,1024.6,False,24.6,97,2.4
16.1,52.5,1024.6,False,24.4,100,2.6
16.0,52.8,1024.6,False,24.2,93,1.7
15.9,52.9,1024.6,False,24.5,102,2.0
15.9,52.9,1024.6,False,24.5,102,2.0
15.8,53.4,1024.6,False,24.1,103,2.3
15.8,54.1,1024.6,False,24.2,94,1.8
15.9,54.1,1024.6,False,24.0,99,1.6
16.0,54.1,1024.5,False,24.1,88,1.6
16.0,54.1,1024.5,False,24.5,88,1.0
16.0,54.3,1024.5,False,24.4,111,1.4
16.0,53.2,1024.5,False,24.5,87,0.9
16.0,53.6,1024.5,False,24.2,70,1.0
15.9,53.7,1024.6,False,24.6,101,1.3
15.9,53.7,1024.4,False,24.0,145,1.1
15.9,54.2,1024.5,False,24.0,100,1.0
15.9,53.6,1024.6,False,24.2,100,1.9
15.9,53.4,1024.6,False,24.4,87,1.6
16.0,52.9,1024.5,False,24.5,103,1.2
16.0,53.1,1024.4,False,24.8,89,0.9
16.1,52.8,1024.4,False,24.7,63,3.1
16.2,52.3,1024.4,False,24.3,81,1.1
16.1,52.4,1024.4,False,24.3,55,2.9
16.1,52.9,1024.3,False,23.9,91,3.8
16.0,52.9,1024.4,False,23.5,92,2.0
15.8,53.6,1024.4,False,23.6,108,2.0
15.8,54.6,1024.3,False,23.5,96,2.0
15.7,54.2,1024.4,False,23.0,94,1.9
15.7,54.8,1024.4,False,23.2,90,2.6
15.6,55.2,1024.4,False,23.3,72,2.8
15.6,55.5,1024.5,False,22.7,105,2.5
15.6,55.3,1024.5,False,22.5,102,4.5
15.5,55.8,1024.4,False,23.0,107,1.8
15.5,55.4,1024.5,False,23.3,98,3.3
15.5,55.4,1024.5,False,23.0,105,2.5
15.5,55.7,1024.4,False,23.2,85,2.2
15.5,55.3,1024.5,False,23.1,92,3.7
15.6,55.6,1024.5,False,22.9,107,2.2
15.6,55.6,1024.5,False,22.9,96,3.3
15.6,55.8,1024.5,False,22.4,111,2.4
15.6,55.9,1024.3,False,22.8,88,2.1
15.6,55.9,1024.5,False,22.6,111,2.1
15.6,56.0,1024.5,False,22.6,110,2.6
15.5,55.9,1024.6,False,22.5,104,3.3
15.5,56.2,1024.6,False,22.4,92,1.5
15.5,56.0,1024.3,False,22.5,70,2.0
15.5,55.5,1024.6,False,22.8,77,0.8
15.5,55.4,1024.5,False,22.8,96,1.9
15.5,55.3,1024.7,False,22.7,0,0.0
15.5,55.6,1024.6,False,22.5,140,0.9
15.5,55.2,1024.7,False,22.0,98,2.1
