AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
26.0,44.0,997.5,False,43.5,263,2.5
26.1,44.0,997.4,False,43.6,246,1.6
26.1,45.0,997.3,False,43.7,210,1.5
26.1,45.0,997.4,False,43.7,202,1.5
26.0,43.0,997.4,False,43.7,182,1.7
26.0,44.0,997.4,False,43.9,239,1.2
25.9,45.0,997.5,False,43.9,302,1.6
26.0,44.0,997.4,False,43.9,97,0.9
26.1,43.0,997.3,False,43.6,196,0.5
26.1,44.0,997.3,False,43.3,255,0.8
26.1,43.0,997.2,False,43.6,0,0.4
26.1,43.0,997.2,False,43.7,101,0.0
26.0,44.0,997.3,False,44.4,151,0.9
26.1,43.0,997.2,False,44.9,108,2.0
26.1,44.0,997.3,False,44.9,177,1.0
26.1,44.0,997.2,False,44.8,211,1.5
26.3,44.0,997.1,False,44.8,244,1.1
26.3,44.0,997.2,False,44.3,0,0.9
26.3,43.0,997.2,False,44.0,205,1.3
26.4,44.0,997.2,False,44.1,199,1.9
26.4,43.0,997.2,False,44.1,190,2.3
26.5,43.0,997.1,False,44.3,239,1.5
26.5,43.0,997.1,False,44.4,258,0.8
26.5,43.0,997.1,False,44.4,161,1.7
26.6,43.0,997.0,False,44.7,219,0.6
26.5,43.0,997.1,False,45.0,189,0.8
26.6,43.0,997.0,False,45.5,205,2.3
26.6,42.0,997.0,False,45.8,164,2.7
26.5,43.0,997.1,False,45.8,166,2.0
26.5,43.0,997.0,False,45.6,175,2.4
26.5,44.0,997.0,False,45.2,163,2.2
26.5,45.0,997.0,False,45.6,172,2.1
26.5,43.0,997.1,False,45.6,153,2.3
26.7,44.0,996.9,False,45.7,179,1.9
26.7,43.0,997.0,False,45.9,208,2.2
26.6,42.0,997.0,False,45.9,168,2.5
26.6,43.0,996.9,False,45.8,192,2.0
26.6,42.0,996.9,False,45.6,211,1.9
26.6,43.0,996.9,False,45.8,160,1.1
26.5,44.0,997.0,False,45.8,167,1.3
26.5,43.0,997.0,False,45.8,122,1.7
26.5,43.0,997.0,False,45.3,176,0.8
26.5,45.0,996.9,False,45.3,131,1.9
26.4,43.0,996.9,False,44.2,209,2.0
26.4,44.0,996.8,False,43.9,92,2.0
26.4,45.0,996.8,False,43.6,82,1.4
26.3,45.0,996.9,False,43.9,87,1.2
26.3,45.0,996.9,False,43.9,200,1.5
26.3,45.0,996.9,False,43.9,188,1.3
26.3,45.0,996.9,False,44.1,237,1.5
26.4,45.0,996.9,False,44.1,237,1.5
26.5,42.0,996.9,False,43.7,336,0.6
26.6,43.0,997.0,False,43.7,284,1.2
26.6,42.0,996.9,False,44.2,40,0.7
26.6,41.0,996.8,False,44.2,8,0.6
26.6,42.0,996.8,False,44.3,331,0.7
26.6,42.0,996.8,False,44.1,5,0.9
26.8,42.0,996.8,False,43.8,214,0.4
26.6,42.0,996.9,False,43.7,325,0.6
26.6,43.0,996.8,False,44.2,310,1.8
26.7,42.0,996.8,False,44.4,321,1.3
26.6,42.0,996.8,False,44.5,210,1.4
26.6,43.0,996.9,False,44.5,179,1.4
26.6,43.0,996.9,False,44.4,198,2.6
26.6,41.0,996.8,False,44.1,254,1.8
26.6,43.0,996.6,False,44.2,186,1.8
26.6,43.0,996.6,False,44.2,186,1.8
26.7,43.0,996.6,False,44.2,186,1.8
26.7,41.0,996.7,False,44.4,201,3.6
26.8,42.0,996.9,False,44.4,174,3.0
26.8,44.0,996.9,False,44.3,177,2.8
26.9,42.0,996.8,False,44.3,211,2.4
27.0,43.0,996.8,False,44.3,226,1.6
27.0,43.0,996.8,False,43.9,204,2.5
27.1,41.0,996.8,False,44.2,194,2.1
27.2,41.0,996.8,False,44.7,198,3.1
27.1,41.0,996.7,False,44.6,194,4.0
27.1,41.0,996.9,False,43.9,195,2.9
27.1,42.0,996.9,False,44.0,204,2.6
27.0,41.0,996.7,False,44.2,190,3.6
27.0,41.0,996.7,False,44.0,188,3.1
27.0,43.0,996.8,False,43.8,171,3.0
27.0,42.0,996.7,False,44.1,205,3.6
