AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
14.6,76.0,1009.9,False,22.5,324,1.1
14.5,75.0,1009.9,False,22.6,121,0.4
14.4,75.0,1009.9,False,22.8,132,1.5
14.5,76.0,1010.0,False,23.0,136,0.6
14.6,74.0,1009.9,False,22.9,152,0.9
14.6,75.0,1009.9,False,23.0,196,1.6
14.6,74.0,1009.8,False,23.0,113,1.3
14.6,74.0,1009.8,False,22.9,167,1.1
14.6,75.0,1009.9,False,22.9,157,0.8
14.6,75.0,1009.9,False,23.0,170,1.6
14.7,73.0,1009.9,False,23.0,184,1.7
14.6,74.0,1009.8,False,22.7,175,1.3
14.5,74.0,1009.9,False,22.7,0,1.0
14.5,76.0,1009.8,False,22.5,343,0.4
14.5,75.0,1009.8,False,22.3,194,0.7
14.5,74.0,1009.8,False,22.2,246,1.8
14.5,74.0,1009.8,False,21.9,340,2.1
14.5,74.0,1009.8,False,21.2,355,1.1
14.5,74.0,1009.8,False,20.9,6,1.3
14.4,75.0,1009.8,False,20.9,286,1.1
14.4,76.0,1009.7,False,21.0,201,0.9
14.4,76.0,1009.8,False,21.0,242,1.7
14.4,76.0,1009.8,False,20.8,322,0.5
14.4,75.0,1009.8,False,20.8,156,1.3
14.4,75.0,1009.8,False,20.9,219,1.2
14.4,74.0,1009.8,False,20.8,231,1.4
14.3,75.0,1009.8,False,20.5,292,1.1
14.2,75.0,1009.7,False,20.2,4,0.9
14.2,75.0,1009.7,False,20.1,326,1.3
14.2,76.0,1009.7,False,20.2,336,0.9
14.2,76.0,1009.7,False,20.4,324,1.4
14.2,76.0,1009.6,False,20.4,324,0.6
14.2,76.0,1009.6,False,20.5,310,1.1
14.2,75.0,1009.6,False,20.5,281,1.0
14.2,75.0,1009.6,False,20.5,340,0.9
14.2,76.0,1009.6,False,20.6,3,1.2
14.3,76.0,1009.5,False,20.7,17,1.1
14.3,76.0,1009.5,False,21.2,0,0.8
14.4,75.0,1009.4,False,21.5,100,0.6
14.4,75.0,1009.5,False,21.7,169,0.7
14.5,74.0,1009.5,False,21.7,0,0.7
14.4,75.0,1009.5,False,21.7,349,0.7
14.4,74.0,1009.5,False,21.7,232,1.2
14.5,74.0,1009.5,False,21.5,334,1.6
14.5,74.0,1009.4,False,21.3,319,1.5
