AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
25.5,26.0,781.8,False,51.4,288,2.3
25.6,26.0,781.8,False,51.4,303,1.8
25.5,26.0,781.8,False,51.6,0,1.0
25.5,25.0,781.7,False,51.8,22,0.4
25.5,25.0,781.8,False,52.1,135,1.0
25.6,25.0,781.8,False,52.1,162,2.2
25.6,25.0,781.7,False,52.3,117,2.3
25.5,25.0,781.7,False,52.8,120,2.5
25.5,25.0,781.6,False,53.1,131,1.3
25.4,25.0,781.6,False,53.1,113,2.8
25.4,25.0,781.7,False,53.1,132,1.6
25.4,25.0,781.6,False,53.1,148,1.3
25.4,25.0,781.5,False,53.2,291,2.3
25.5,24.0,781.6,False,53.1,317,1.8
25.6,24.0,781.6,False,53.1,216,2.0
25.6,24.0,781.6,False,53.1,287,1.4
25.7,24.0,781.6,False,52.8,337,1.4
25.8,24.0,781.5,False,52.8,310,0.8
25.6,24.0,781.6,False,52.8,244,0.6
25.6,24.0,781.5,False,53.1,238,1.4
25.6,25.0,781.5,False,53.1,226,1.6
25.8,25.0,781.4,False,52.6,0,1.3
25.9,24.0,781.4,False,53.1,149,1.5
26.0,24.0,781.4,False,52.5,141,1.3
26.0,25.0,781.4,False,52.5,144,1.8
25.9,25.0,781.3,False,52.7,43,1.1
25.9,25.0,781.4,False,52.7,219,1.4
25.9,25.0,781.4,False,52.9,330,1.6
25.8,25.0,781.4,False,53.0,302,1.7
25.8,24.0,781.3,False,53.0,300,2.1
25.9,24.0,781.4,False,53.0,279,1.8
25.8,25.0,781.4,False,52.6,318,1.0
25.9,24.0,781.4,False,52.8,228,0.9
26.0,24.0,781.3,False,52.8,270,1.6
25.8,24.0,781.3,False,52.7,293,1.1
25.9,24.0,781.3,False,52.4,293,2.2
25.9,25.0,781.2,False,52.4,268,2.6
26.0,26.0,781.3,False,52.5,259,2.2
25.9,26.0,781.1,False,52.6,250,2.4
25.9,26.0,781.3,False,53.0,246,1.8
25.8,25.0,781.2,False,53.0,142,1.9
25.6,25.0,781.2,False,52.8,193,1.6
25.6,24.0,781.2,False,52.8,170,2.7
25.6,25.0,781.2,False,52.9,230,1.3
25.6,25.0,781.2,False,53.1,121,0.0
25.7,25.0,781.1,False,52.8,162,1.6
25.8,25.0,781.1,False,52.7,39,2.5
25.9,26.0,781.1,False,52.8,308,1.2
26.0,25.0,781.1,False,53.1,207,2.3
26.1,25.0,781.0,False,52.9,224,2.7
26.1,25.0,781.0,False,52.8,228,2.3
26.2,25.0,781.1,False,52.6,129,3.4
26.1,26.0,781.1,False,52.5,256,2.4
26.3,26.0,781.2,False,52.2,265,1.0
26.2,25.0,781.0,False,52.3,274,1.4
26.2,25.0,781.1,False,52.2,283,2.3
26.2,25.0,781.0,False,52.1,212,1.6
26.3,25.0,781.0,False,52.0,168,1.3
26.3,26.0,781.0,False,51.9,243,2.3
26.1,26.0,781.0,False,52.0,238,1.0
26.2,25.0,780.9,False,52.0,165,1.7
26.3,26.0,781.0,False,52.1,103,1.9
26.4,25.0,780.8,False,52.7,108,1.8
26.4,25.0,781.0,False,52.6,299,1.7
26.4,24.0,780.9,False,52.2,237,1.8
26.4,25.0,780.9,False,52.2,278,1.9
26.4,24.0,780.9,False,52.0,267,1.5
26.4,25.0,780.9,False,51.9,258,2.7
26.4,24.0,780.9,False,51.8,273,3.1
26.5,24.0,780.8,False,51.7,297,1.9
26.5,24.0,780.8,False,51.7,297,1.9
26.6,24.0,780.8,False,51.7,297,1.9
26.6,24.0,780.8,False,51.1,289,2.6
26.8,24.0,780.8,False,51.5,273,1.6
26.8,24.0,780.8,False,51.4,268,2.4
26.6,24.0,780.9,False,51.3,274,3.0
26.6,24.0,780.9,False,51.4,275,1.8
26.6,24.0,780.7,False,51.4,300,1.4
26.8,24.0,780.8,False,51.3,256,1.7
26.8,24.0,780.7,False,51.4,237,2.7
26.6,24.0,780.8,False,51.5,249,1.7
26.6,23.0,780.8,False,51.5,248,3.6
26.8,24.0,780.9,False,51.4,249,2.2
26.8,24.0,780.9,False,51.4,263,2.1
26.9,24.0,780.9,False,51.3,285,3.6
26.8,24.0,780.8,False,50.7,242,1.8
26.7,24.0,780.8,False,50.4,286,1.4
26.7,23.0,780.8,False,50.4,298,1.0
26.7,24.0,780.7,False,50.3,292,0.6
26.6,24.0,780.8,False,50.4,199,1.4
26.6,23.0,780.8,False,50.7,180,1.7
26.5,23.0,780.7,False,50.7,248,1.6
26.5,23.0,780.7,False,50.7,296,1.9
26.5,23.0,780.8,False,51.0,145,1.6
26.5,23.0,780.7,False,51.0,151,1.5
26.6,23.0,780.7,False,50.6,256,1.8
26.6,23.0,780.6,False,50.6,279,2.6
26.6,23.0,780.6,False,50.7,233,2.9
26.5,23.0,780.7,False,50.7,183,3.2
26.4,23.0,780.6,False,50.3,254,1.7
26.5,23.0,780.5,False,50.3,239,1.5
26.6,23.0,780.5,False,50.6,158,1.1
26.7,22.0,780.6,False,50.8,246,2.2
27.0,22.0,780.7,False,50.6,21,0.7
26.9,21.0,780.6,False,50.5,306,1.4
26.8,21.0,780.5,False,50.4,252,1.6
26.6,21.0,780.5,False,50.4,283,2.1
26.8,21.0,780.5,False,50.6,262,2.1
26.8,21.0,780.6,False,50.6,203,2.1
26.8,20.0,780.6,False,50.4,237,2.3
26.6,21.0,780.6,False,49.9,201,2.7
26.5,21.0,780.6,False,49.6,178,1.7
26.5,21.0,780.6,False,50.2,247,1.1
26.5,21.0,780.5,False,50.1,243,1.7
26.6,21.0,780.5,False,49.7,144,1.2
26.8,20.0,780.6,False,49.6,126,1.5
26.9,20.0,780.5,False,49.4,113,1.1
27.0,20.0,780.5,False,49.3,201,0.6
27.0,21.0,780.5,False,49.1,333,0.6
26.9,21.0,780.5,False,49.1,295,1.6
26.8,21.0,780.5,False,49.1,300,1.1
26.8,22.0,780.5,False,49.1,272,2.5
27.0,22.0,780.5,False,49.1,265,2.3
27.1,21.0,780.5,False,48.9,246,2.9
27.1,21.0,780.5,False,48.3,249,2.1
27.1,22.0,780.5,False,48.1,262,3.2
27.1,22.0,780.5,False,48.1,261,2.1
27.1,21.0,780.5,False,48.1,245,3.9
27.1,22.0,780.5,False,48.0,277,3.2
27.0,22.0,780.6,False,47.9,280,2.7
26.9,22.0,780.5,False,47.8,262,3.0
26.9,22.0,780.5,False,47.8,259,2.2
26.9,22.0,780.5,False,48.0,294,2.0
26.9,22.0,780.5,False,48.0,253,2.0
26.8,22.0,780.5,False,47.8,273,2.2
26.8,22.0,780.4,False,47.9,288,1.5
26.8,22.0,780.5,False,47.5,285,2.5
26.8,22.0,780.6,False,47.5,237,1.6
26.9,22.0,780.5,False,47.7,275,0.9
27.0,22.0,780.4,False,47.7,284,2.6
27.1,22.0,780.4,False,47.6,288,3.3
27.1,22.0,780.5,False,47.4,287,3.4
27.0,22.0,780.5,False,46.9,247,1.4
27.0,22.0,780.4,False,47.0,222,1.4
27.0,21.0,780.4,False,47.1,277,2.1
26.9,20.0,780.4,False,47.1,245,1.2
27.0,21.0,780.4,False,46.8,287,1.2
27.0,21.0,780.5,False,46.7,257,1.4
27.1,21.0,780.5,False,46.7,249,3.0
27.0,20.0,780.4,False,46.7,157,1.5
26.9,20.0,780.4,False,46.7,146,2.3
26.9,20.0,780.3,False,46.5,264,1.0
26.9,20.0,780.4,False,46.5,117,1.5
26.8,20.0,780.4,False,46.1,174,1.7
26.8,21.0,780.4,False,45.8,237,2.0
26.8,21.0,780.5,False,45.8,308,1.6
26.9,21.0,780.4,False,45.7,147,1.0
26.9,20.0,780.3,False,45.7,264,1.2
26.9,20.0,780.4,False,45.7,247,2.2
26.9,20.0,780.4,False,45.7,245,2.4
27.0,21.0,780.4,False,45.7,285,0.8
27.0,20.0,780.3,False,45.8,284,1.4
