AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
20.3,67.0,1006.6,False,28.5,227,3.5
20.3,68.0,1006.5,False,28.4,179,3.1
20.3,68.0,1006.5,False,28.4,212,2.4
20.3,68.0,1006.5,False,28.7,196,2.4
20.3,69.0,1006.6,False,28.3,251,2.1
20.3,69.0,1006.5,False,28.3,233,2.2
20.3,68.0,1006.4,False,27.9,225,2.5
20.3,69.0,1006.4,False,28.2,203,1.8
20.3,69.0,1006.5,False,28.4,221,2.8
20.2,69.0,1006.4,False,27.7,229,3.0
20.2,70.0,1006.4,False,27.7,233,3.3
20.2,71.0,1006.4,False,27.7,204,1.9
20.2,71.0,1006.4,False,28.5,208,1.1
20.3,71.0,1006.4,False,28.5,228,1.8
20.3,71.0,1006.4,False,28.4,198,1.7
20.2,70.0,1006.6,False,28.2,207,1.7
20.2,72.0,1006.4,False,28.2,176,1.8
20.3,71.0,1006.5,False,28.2,204,2.1
20.3,69.0,1006.5,False,28.1,205,2.7
20.3,71.0,1006.5,False,28.1,210,2.5
20.4,71.0,1006.5,False,28.3,222,1.9
20.5,71.0,1006.5,False,28.0,221,3.1
20.5,72.0,1006.4,False,28.0,219,2.7
20.5,71.0,1006.4,False,28.4,233,2.7
20.4,72.0,1006.3,False,28.6,182,1.6
20.5,71.0,1006.3,False,28.8,205,2.4
20.4,71.0,1006.4,False,28.8,203,1.4
20.4,70.0,1006.3,False,28.7,234,1.9
20.4,71.0,1006.3,False,28.2,193,1.3
20.3,70.0,1006.3,False,28.2,201,2.0
20.3,70.0,1006.3,False,28.2,210,2.0
20.3,71.0,1006.3,False,28.2,207,2.5
20.3,70.0,1006.4,False,28.2,189,2.2
20.2,71.0,1006.3,False,28.3,225,2.0
20.2,71.0,1006.3,False,28.3,225,2.0
20.2,70.0,1006.3,False,28.3,205,1.5
20.2,69.0,1006.3,False,28.6,174,1.7
20.2,69.0,1006.3,False,28.6,174,1.7
20.2,69.0,1006.3,False,28.7,27,1.1
20.4,68.0,1006.3,False,28.8,255,1.9
20.4,68.0,1006.3,False,28.8,255,1.9
20.3,69.0,1006.3,False,29.1,122,0.7
20.3,68.0,1006.3,False,29.1,219,2.0
20.4,68.0,1006.4,False,29.0,262,1.7
20.4,69.0,1006.2,False,28.9,192,1.1
20.4,68.0,1006.4,False,28.9,232,2.2
20.5,68.0,1006.3,False,28.9,201,1.7
20.5,69.0,1006.4,False,29.0,233,2.4
20.6,68.0,1006.4,False,29.1,244,1.0
20.7,67.0,1006.3,False,29.2,239,0.8
20.7,67.0,1006.2,False,28.8,298,1.7
20.6,68.0,1006.3,False,28.8,200,1.7
20.6,68.0,1006.2,False,28.8,187,1.5
20.6,69.0,1006.2,False,28.7,187,1.0
20.6,69.0,1006.2,False,28.7,112,1.0
20.6,69.0,1006.2,False,29.1,190,1.1
20.6,68.0,1006.3,False,29.3,194,1.7
20.7,68.0,1006.4,False,29.3,226,1.2
20.7,68.0,1006.3,False,28.9,176,2.2
20.6,68.0,1006.3,False,28.8,204,1.4
20.7,68.0,1006.2,False,28.8,208,3.0
20.7,67.0,1006.2,False,27.8,243,3.2
20.7,68.0,1006.3,False,27.5,210,2.0
20.6,68.0,1006.3,False,27.5,210,2.0
20.6,68.0,1006.2,False,27.7,186,2.5
20.6,68.0,1006.3,False,27.7,204,2.1
20.5,69.0,1006.2,False,27.5,193,2.4
20.6,69.0,1006.3,False,27.8,211,2.2
20.6,69.0,1006.3,False,27.7,177,2.3
20.6,69.0,1006.2,False,27.7,205,2.7
20.6,69.0,1006.2,False,27.7,205,2.7
20.6,69.0,1006.3,False,27.4,192,2.5
20.6,69.0,1006.5,False,27.3,190,1.8
20.5,70.0,1006.4,False,27.3,206,2.1
20.5,70.0,1006.4,False,27.3,166,1.9
20.5,70.0,1006.5,False,27.1,195,2.8
20.6,70.0,1006.3,False,27.1,215,2.2
20.6,69.0,1006.3,False,27.1,210,2.3
20.7,70.0,1006.4,False,27.2,208,2.3
20.7,69.0,1006.4,False,27.1,197,2.2
20.6,70.0,1006.3,False,26.7,193,2.3
20.6,70.0,1006.4,False,26.6,190,2.7
20.5,71.0,1006.5,False,26.6,204,3.2
20.4,71.0,1006.5,False,26.5,190,3.0
20.3,72.0,1006.6,False,25.9,191,3.0
20.3,73.0,1006.5,False,25.8,212,3.0
20.1,73.0,1006.6,False,25.9,222,3.4
20.0,71.0,1006.6,False,25.9,194,3.5
19.9,71.0,1006.6,False,25.8,193,3.2
19.8,71.0,1006.5,False,25.6,172,2.8
19.7,72.0,1006.5,False,25.7,199,3.6
19.6,72.0,1006.4,False,25.8,200,3.5
19.5,72.0,1006.4,False,25.6,199,3.6
19.5,72.0,1006.3,False,25.6,201,3.4
19.5,73.0,1006.4,False,25.8,207,3.9
19.5,73.0,1006.4,False,26.2,202,3.0
19.5,72.0,1006.4,False,26.2,187,3.0
19.6,72.0,1006.4,False,26.3,175,3.4
19.6,73.0,1006.2,False,26.7,185,3.3
19.6,73.0,1006.2,False,27.0,189,2.5
19.6,73.0,1006.1,False,27.1,172,2.8
19.7,74.0,1006.0,False,27.6,200,3.9
19.8,74.0,1006.1,False,28.4,170,3.4
19.8,73.0,1006.0,False,28.4,179,2.9
19.8,73.0,1005.9,False,28.0,170,3.2
19.8,73.0,1005.9,False,28.0,177,3.1
19.8,73.0,1005.9,False,28.0,189,2.4
19.8,73.0,1005.8,False,28.3,171,2.6
19.9,74.0,1005.9,False,28.8,190,2.8
19.8,73.0,1005.9,False,28.8,177,2.6
19.8,73.0,1005.8,False,28.5,192,2.9
19.8,73.0,1005.9,False,28.0,178,2.1
19.8,74.0,1005.8,False,28.0,192,2.1
19.8,74.0,1005.8,False,28.0,208,1.9
