AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
23.7,65.0,1015.6,False,29.8,356,2.6
23.6,65.0,1015.6,False,29.8,348,2.1
23.6,65.0,1015.6,False,29.6,335,2.2
23.6,66.0,1015.6,False,29.6,359,2.5
23.6,65.0,1015.6,False,29.5,353,2.6
23.6,66.0,1015.6,False,29.5,343,1.8
23.5,66.0,1015.5,False,29.4,358,2.3
23.5,66.0,1015.6,False,29.4,344,2.4
23.5,66.0,1015.7,False,29.4,343,2.3
23.5,66.0,1015.6,False,29.4,8,1.9
23.5,66.0,1015.7,False,29.7,351,2.1
23.5,66.0,1015.6,False,29.6,356,2.0
23.5,66.0,1015.7,False,29.4,344,2.7
23.4,66.0,1015.8,False,29.6,4,2.1
23.4,66.0,1015.7,False,29.6,355,2.3
23.4,66.0,1015.8,False,29.5,351,2.4
23.4,66.0,1015.7,False,29.3,341,2.3
23.4,66.0,1015.8,False,29.3,343,1.9
23.3,66.0,1015.8,False,29.4,359,1.4
23.4,66.0,1015.8,False,29.4,359,1.4
23.4,66.0,1015.8,False,29.4,359,1.4
23.4,65.0,1015.8,False,29.6,340,1.6
23.4,65.0,1015.8,False,29.8,16,1.6
23.4,65.0,1015.9,False,29.7,343,1.9
23.4,65.0,1015.9,False,29.6,325,1.4
23.3,65.0,1016.0,False,29.6,327,1.6
23.3,65.0,1015.8,False,29.7,334,1.4
23.3,65.0,1015.9,False,29.8,334,1.6
23.3,65.0,1016.0,False,29.5,353,2.2
23.3,65.0,1016.0,False,29.5,353,2.2
23.2,66.0,1016.0,False,29.3,331,1.4
23.2,66.0,1016.0,False,29.2,334,1.1
23.2,66.0,1016.0,False,29.1,358,1.2
23.1,66.0,1016.0,False,28.9,353,2.2
23.1,66.0,1016.1,False,28.7,351,1.4
23.1,66.0,1016.1,False,28.9,345,1.7
23.1,66.0,1016.0,False,28.9,338,1.5
23.0,67.0,1016.0,False,28.9,4,2.0
23.0,67.0,1016.1,False,28.6,9,1.9
23.0,67.0,1016.1,False,28.6,359,1.9
23.0,67.0,1016.1,False,28.6,335,1.8
23.0,67.0,1016.1,False,28.6,336,1.8
23.0,67.0,1016.1,False,28.7,9,1.8
22.9,67.0,1016.0,False,28.7,348,1.9
22.9,67.0,1016.0,False,29.1,348,2.0
22.9,67.0,1016.1,False,28.5,359,1.6
22.9,67.0,1016.0,False,28.5,355,1.5
22.9,67.0,1016.0,False,28.5,344,1.8
22.9,68.0,1016.2,False,28.5,351,1.5
22.8,68.0,1016.1,False,28.4,352,1.6
22.8,67.0,1016.1,False,28.5,347,1.7
22.8,68.0,1016.1,False,28.7,4,1.3
22.8,67.0,1016.0,False,28.5,353,1.3
22.8,68.0,1016.1,False,28.6,337,1.2
22.7,68.0,1016.1,False,28.6,354,1.3
22.7,68.0,1016.0,False,28.6,337,1.0
22.7,68.0,1016.1,False,28.3,342,1.8
22.7,68.0,1016.1,False,28.3,343,1.3
22.7,68.0,1016.0,False,28.5,345,1.3
22.6,68.0,1016.1,False,28.6,348,1.6
22.6,69.0,1016.1,False,28.5,343,1.6
22.7,69.0,1016.1,False,28.4,332,1.4
22.7,69.0,1016.2,False,28.3,342,1.3
22.7,69.0,1016.2,False,28.1,155,1.4
22.7,69.0,1016.1,False,28.3,331,1.5
22.7,69.0,1016.1,False,28.4,329,1.2
22.7,68.0,1016.1,False,28.5,202,0.6
22.7,68.0,1016.2,False,28.4,11,0.6
22.7,68.0,1016.2,False,28.4,301,0.6
22.7,68.0,1016.1,False,28.4,276,1.2
