AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
28.7,71.0,1006.3,False,39.4,315,1.2
28.7,71.0,1006.3,False,39.4,284,1.4
28.7,70.0,1006.4,False,39.4,261,0.9
28.7,71.0,1006.3,False,39.4,265,0.9
28.7,70.0,1006.3,False,39.2,283,1.8
28.7,70.0,1006.3,False,39.2,265,2.2
28.6,71.0,1006.4,False,39.0,284,1.6
28.6,71.0,1006.4,False,39.0,285,1.3
28.6,71.0,1006.3,False,38.9,287,1.1
28.6,71.0,1006.3,False,38.9,290,0.9
28.6,71.0,1006.4,False,39.1,283,0.9
28.6,71.0,1006.4,False,39.2,335,1.0
28.5,71.0,1006.4,False,39.2,287,0.8
28.5,70.0,1006.4,False,39.1,338,1.4
28.5,69.0,1006.3,False,39.1,321,1.4
28.5,69.0,1006.3,False,38.8,348,1.4
28.6,69.0,1006.3,False,39.0,317,0.9
28.7,68.0,1006.3,False,39.0,255,1.2
28.7,68.0,1006.3,False,39.0,353,1.2
28.8,69.0,1006.4,False,38.6,302,1.1
28.8,69.0,1006.4,False,38.4,282,1.1
28.8,70.0,1006.4,False,38.3,303,1.2
28.7,70.0,1006.4,False,38.6,278,1.1
28.7,70.0,1006.4,False,38.6,268,2.0
28.7,71.0,1006.4,False,38.5,285,1.3
28.6,71.0,1006.4,False,38.4,272,1.3
28.6,71.0,1006.4,False,38.6,273,1.0
28.6,71.0,1006.4,False,38.7,323,1.1
28.6,71.0,1006.4,False,38.7,285,0.9
28.6,71.0,1006.5,False,38.7,284,0.9
28.6,71.0,1006.5,False,38.8,301,0.9
28.6,71.0,1006.5,False,38.8,265,1.1
28.6,71.0,1006.3,False,38.7,287,1.3
28.6,72.0,1006.4,False,38.7,337,1.3
28.5,72.0,1006.4,False,38.5,287,0.8
28.5,72.0,1006.4,False,38.5,30,0.5
28.5,71.0,1006.4,False,38.6,234,1.1
28.5,71.0,1006.5,False,38.7,263,0.8
28.5,71.0,1006.4,False,38.7,329,1.3
28.5,70.0,1006.4,False,38.2,289,0.8
28.5,71.0,1006.5,False,38.4,266,1.2
28.5,71.0,1006.5,False,38.3,267,1.1
28.6,72.0,1006.4,False,38.3,275,1.4
28.6,72.0,1006.5,False,38.0,290,1.5
28.6,73.0,1006.4,False,37.6,279,1.9
28.5,74.0,1006.4,False,37.6,284,1.5
28.5,74.0,1006.5,False,37.4,281,1.5
28.4,74.0,1006.6,False,37.6,268,1.3
28.4,74.0,1006.5,False,37.9,287,1.3
28.3,74.0,1006.5,False,38.2,285,1.1
28.4,74.0,1006.5,False,37.9,298,1.2
28.4,74.0,1006.6,False,37.9,277,1.0
28.4,73.0,1006.5,False,37.9,282,0.8
28.4,73.0,1006.5,False,38.1,290,1.1
28.4,72.0,1006.5,False,38.1,298,0.7
28.5,71.0,1006.5,False,38.4,266,0.7
28.5,71.0,1006.5,False,38.4,274,0.8
28.5,70.0,1006.6,False,38.1,269,0.9
28.5,70.0,1006.5,False,38.2,345,1.1
28.6,69.0,1006.6,False,38.4,318,0.8
28.6,69.0,1006.5,False,38.4,274,0.8
28.7,69.0,1006.6,False,37.9,0,0.6
28.7,68.0,1006.7,False,38.1,268,1.0
28.8,67.0,1006.7,False,38.3,300,1.2
28.8,67.0,1006.7,False,38.6,300,0.8
28.9,67.0,1006.6,False,38.1,330,1.0
28.9,67.0,1006.7,False,38.1,158,0.4
28.9,67.0,1006.7,False,38.3,0,1.2
28.9,67.0,1006.8,False,38.3,139,0.0
28.9,66.0,1006.7,False,38.2,213,1.5
29.0,66.0,1006.7,False,38.2,258,0.9
29.1,66.0,1006.7,False,38.2,258,0.9
29.1,65.0,1006.7,False,38.1,280,0.8
29.2,65.0,1006.8,False,38.2,265,1.3
29.2,66.0,1006.7,False,38.0,176,1.2
29.2,66.0,1006.8,False,38.0,280,1.1
29.3,66.0,1006.9,False,38.0,264,0.9
29.2,66.0,1006.8,False,37.4,251,1.0
29.3,65.0,1006.9,False,37.3,0,0.8
29.2,66.0,1007.0,False,37.1,149,0.4
29.2,66.0,1007.0,False,37.1,270,0.9
29.2,65.0,1006.9,False,37.9,260,0.9
29.2,65.0,1006.9,False,37.3,0,0.0
29.3,65.0,1006.9,False,37.5,280,0.4
29.2,65.0,1006.9,False,37.7,85,0.7
29.3,64.0,1006.9,False,37.7,271,0.7
29.3,64.0,1006.9,False,37.7,152,0.8
29.3,64.0,1006.9,False,37.7,152,0.8
29.4,64.0,1007.0,False,37.3,271,1.1
29.4,62.0,1006.9,False,37.7,229,0.9
29.4,63.0,1007.0,False,37.7,169,0.9
29.5,64.0,1007.0,False,37.7,0,0.5
29.5,63.0,1007.1,False,38.2,220,0.5
29.5,63.0,1007.0,False,37.8,156,0.5
29.5,58.0,1006.9,False,37.9,124,1.5
29.6,57.0,1007.1,False,38.1,148,0.6
29.6,56.0,1007.0,False,38.1,128,1.6
29.7,56.0,1007.1,False,38.1,96,0.9
29.8,55.0,1007.0,False,37.6,176,0.5
29.9,54.0,1007.1,False,37.5,110,1.0
29.9,54.0,1007.2,False,37.6,0,1.2
29.9,54.0,1007.1,False,37.7,65,0.6
29.9,54.0,1007.1,False,37.7,48,1.8
30.0,53.0,1007.2,False,37.3,171,1.6
30.0,53.0,1007.0,False,37.2,110,1.3
30.0,54.0,1007.1,False,37.4,148,1.5
30.0,53.0,1007.1,False,37.4,153,1.5
30.1,52.0,1007.1,False,37.3,182,0.4
30.1,52.0,1007.1,False,37.1,141,1.1
30.3,51.0,1007.1,False,36.9,178,1.2
30.3,52.0,1007.1,False,36.7,197,0.8
30.4,52.0,1007.1,False,36.6,0,0.8
30.5,51.0,1007.2,False,36.6,0,0.9
30.5,52.0,1007.1,False,36.9,239,0.3
30.7,51.0,1007.1,False,37.0,157,0.9
31.0,50.0,1007.1,False,37.0,178,1.2
31.1,49.0,1007.1,False,37.0,121,1.6
31.3,48.0,1007.2,False,36.9,150,1.0
31.4,48.0,1007.1,False,36.7,236,0.7
31.4,48.0,1007.2,False,36.6,163,1.1
