AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
28.5,75.0,1009.9,False,34.0,151,1.6
28.6,75.0,1009.8,False,34.4,156,1.2
28.8,74.0,1009.8,False,34.8,167,1.3
28.7,73.0,1009.9,False,34.5,141,1.1
28.8,74.0,1009.9,True,34.3,149,1.0
28.8,75.0,1009.9,True,34.3,145,1.0
28.8,74.0,1009.9,True,34.2,161,1.4
28.7,73.0,1009.9,True,34.2,154,1.3
28.7,72.0,1010.0,False,34.1,167,1.4
28.6,72.0,1010.1,False,33.9,152,1.2
28.7,72.0,1010.0,False,34.1,152,1.3
28.8,71.0,1009.9,False,34.1,152,1.1
28.8,73.0,1010.0,True,34.0,159,1.2
28.8,72.0,1010.0,True,33.7,155,1.3
28.7,73.0,1010.1,False,33.7,153,1.4
28.8,74.0,1010.1,False,33.7,165,1.1
28.8,76.0,1010.1,False,33.6,165,1.1
28.9,75.0,1010.0,False,34.3,159,0.8
28.9,76.0,1009.9,False,34.8,144,0.7
28.8,75.0,1009.9,False,34.8,84,0.6
28.8,71.0,1009.8,False,34.9,0,0.4
28.9,77.0,1009.9,False,37.0,341,0.4
28.9,77.0,1010.0,False,37.0,0,0.0
28.9,76.0,1010.0,False,38.8,76,0.0
29.0,74.0,1010.1,False,37.7,151,0.5
29.0,74.0,1010.2,False,33.5,160,0.9
28.8,77.0,1010.4,False,32.8,150,0.7
28.8,78.0,1010.4,False,34.1,168,0.7
28.8,78.0,1010.3,False,34.6,139,0.4
28.7,76.0,1010.3,False,34.5,169,1.1
28.6,77.0,1010.3,False,32.9,187,1.5
28.7,78.0,1010.4,False,32.7,191,1.3
28.7,78.0,1010.4,False,32.9,184,1.2
28.7,78.0,1010.5,False,33.2,183,1.3
28.7,78.0,1010.4,False,33.0,168,1.3
28.8,79.0,1010.4,False,32.5,152,1.6
28.8,79.0,1010.5,False,32.5,146,1.6
28.8,81.0,1010.5,False,33.2,171,1.1
28.8,81.0,1010.6,False,33.2,163,1.3
28.8,80.0,1010.6,False,32.6,163,1.4
28.8,81.0,1010.7,False,32.6,162,1.4
28.7,81.0,1010.5,False,32.7,164,1.1
28.7,81.0,1010.6,False,32.8,165,1.2
28.7,81.0,1010.6,False,32.8,157,1.1
28.7,81.0,1010.7,False,33.4,164,1.1
28.7,81.0,1010.6,False,33.0,151,1.0
28.6,80.0,1010.7,False,33.0,166,1.0
28.6,81.0,1010.6,False,33.0,167,1.1
28.6,81.0,1010.7,False,33.1,181,0.9
28.6,81.0,1010.7,False,33.4,188,1.1
28.6,81.0,1010.7,False,33.2,190,1.0
28.6,82.0,1010.6,False,33.2,154,0.5
28.6,81.0,1010.7,False,33.4,0,0.4
28.6,81.0,1010.6,False,36.1,142,0.4
28.7,81.0,1010.6,False,34.1,0,0.5
28.7,80.0,1010.6,False,33.6,0,0.4
28.9,81.0,1010.6,False,34.2,103,0.5
28.9,80.0,1010.7,False,34.2,0,0.6
28.9,81.0,1010.6,False,33.3,262,0.5
28.9,80.0,1010.7,False,34.2,181,0.6
29.1,80.0,1010.7,False,34.5,233,0.8
29.1,80.0,1010.6,False,34.5,178,0.8
29.1,78.0,1010.7,False,34.1,148,1.0
29.0,78.0,1010.7,False,33.8,165,1.0
29.1,78.0,1010.7,False,33.6,144,0.8
29.1,78.0,1010.7,False,33.8,160,1.4
29.0,78.0,1010.7,False,33.8,165,1.9
29.1,77.0,1010.6,False,33.9,182,1.2
29.1,77.0,1010.7,False,34.1,167,1.4
29.1,77.0,1010.6,False,34.0,153,1.7
29.1,76.0,1010.7,False,34.0,156,1.8
29.1,75.0,1010.7,False,34.2,151,1.7
29.1,74.0,1010.7,False,34.3,159,1.7
29.0,74.0,1010.8,False,34.3,155,1.9
29.0,73.0,1010.8,False,34.0,162,1.9
29.0,74.0,1010.7,False,33.9,159,2.2
29.0,73.0,1010.8,False,34.0,168,1.6
29.1,71.0,1010.8,False,33.9,159,2.0
29.1,72.0,1010.9,False,34.3,146,1.6
29.1,72.0,1010.8,False,34.0,162,2.1
29.1,71.0,1010.7,False,34.0,153,2.0
29.2,72.0,1010.8,False,33.8,157,2.1
29.2,72.0,1010.7,False,33.8,148,1.8
29.2,72.0,1010.8,False,34.1,151,1.9
29.3,72.0,1010.8,False,34.1,161,1.1
29.2,72.0,1010.8,False,33.8,140,1.5
29.2,73.0,1010.9,False,33.8,147,0.9
29.2,73.0,1010.9,False,33.8,158,1.0
29.2,72.0,1010.9,False,34.0,148,1.2
29.2,71.0,1010.9,False,34.0,162,1.3
29.2,72.0,1010.9,False,33.7,175,1.5
29.2,72.0,1010.9,False,33.8,163,1.1
29.2,72.0,1010.9,False,33.7,168,1.3
29.3,72.0,1010.9,False,33.7,135,1.3
29.3,72.0,1010.9,False,33.8,160,1.4
29.3,71.0,1010.9,False,33.7,149,1.4
29.3,72.0,1011.0,False,33.7,157,1.5
29.2,72.0,1011.0,False,33.7,152,1.4
29.2,72.0,1011.0,False,33.7,150,1.2
29.2,72.0,1011.0,False,33.7,160,1.1
29.2,73.0,1011.0,False,33.7,143,1.1
29.2,73.0,1011.0,False,33.9,163,1.1
29.2,72.0,1011.1,False,33.9,161,1.3
29.3,72.0,1011.1,False,33.7,157,1.1
29.2,72.0,1011.1,False,33.8,150,1.1
29.2,72.0,1011.1,False,33.8,162,1.3
29.2,72.0,1011.2,False,34.0,164,1.1
29.2,71.0,1011.0,False,33.9,149,1.3
29.2,72.0,1011.0,False,33.9,153,1.3
29.2,71.0,1011.1,False,33.7,141,1.2
29.1,72.0,1011.1,False,34.0,168,1.3
29.1,72.0,1011.2,False,34.1,160,1.0
29.1,71.0,1011.1,False,34.0,143,1.0
29.2,71.0,1011.1,False,33.9,145,1.4
29.2,71.0,1011.1,False,34.0,172,1.1
29.2,71.0,1011.1,False,34.0,130,1.0
29.2,72.0,1011.1,False,34.0,156,0.8
29.2,72.0,1011.2,False,33.7,104,0.5
29.2,72.0,1011.1,False,33.9,96,0.8
29.2,72.0,1011.2,False,34.3,137,0.8
29.3,71.0,1011.1,False,34.3,350,1.5
29.3,71.0,1011.0,False,34.1,110,0.8
29.3,71.0,1011.1,False,34.1,112,0.5
29.4,71.0,1011.1,False,34.1,112,0.9
29.4,71.0,1011.2,False,33.9,158,1.0
29.3,71.0,1011.2,False,33.5,30,0.6
29.4,71.0,1011.2,False,33.9,34,0.7
29.4,71.0,1011.1,False,33.6,56,0.0
29.4,71.0,1011.1,False,33.9,0,0.6
29.4,71.0,1011.2,False,34.1,154,0.5
29.4,70.0,1011.2,False,34.1,144,1.0
29.5,70.0,1011.3,False,33.6,200,0.9
29.5,70.0,1011.3,False,34.0,156,0.8
29.5,70.0,1011.3,False,34.0,201,1.2
29.5,72.0,1011.3,False,33.5,213,0.7
29.5,73.0,1011.3,False,33.4,236,0.7
29.4,73.0,1011.3,False,33.6,0,0.9
29.4,73.0,1011.3,False,34.0,217,0.6
29.4,73.0,1011.3,False,33.3,225,0.9
29.4,72.0,1011.3,False,33.3,0,0.6
29.3,73.0,1011.4,False,33.3,141,0.6
29.3,74.0,1011.3,False,33.6,175,1.1
29.4,74.0,1011.3,False,33.6,188,1.3
29.4,74.0,1011.4,False,33.2,174,0.9
29.5,72.0,1011.3,False,33.1,162,1.1
29.5,73.0,1011.4,False,33.1,138,0.9
29.5,73.0,1011.3,False,33.3,132,0.3
29.5,72.0,1011.3,False,33.3,161,0.9
29.5,72.0,1011.5,False,33.5,155,1.5
29.5,72.0,1011.3,False,33.5,173,1.2
29.4,71.0,1011.4,False,33.5,156,1.4
29.4,71.0,1011.4,False,33.4,159,1.6
29.4,72.0,1011.4,False,33.3,155,1.7
29.4,71.0,1011.4,False,33.4,159,1.6
29.4,72.0,1011.5,False,33.6,153,1.4
29.4,72.0,1011.4,False,33.2,159,1.6
29.4,72.0,1011.4,False,33.6,157,1.2
29.4,72.0,1011.5,False,33.6,161,1.0
29.4,72.0,1011.4,False,33.6,143,1.3
29.4,72.0,1011.4,False,33.6,143,1.3
29.4,72.0,1011.4,False,33.6,143,1.3
