AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
29.9,49.0,1003.5,False,48.2,224,2.3
30.0,49.0,1003.6,False,48.4,221,1.1
30.0,49.0,1003.5,False,48.6,291,1.6
30.0,49.0,1003.5,False,48.8,217,1.1
30.0,49.0,1003.4,False,48.8,6,1.1
30.0,50.0,1003.4,False,48.1,34,1.1
30.0,50.0,1003.4,False,49.2,345,1.1
29.7,49.0,1003.4,False,49.2,345,1.4
29.6,49.0,1003.4,False,49.0,324,1.3
29.6,49.0,1003.5,False,48.9,212,1.8
29.6,49.0,1003.3,False,48.5,166,1.2
29.5,50.0,1003.4,False,48.5,191,1.9
29.6,49.0,1003.5,False,49.1,234,1.8
29.5,49.0,1003.4,False,48.7,217,1.6
29.5,49.0,1003.4,False,49.4,187,1.2
29.5,49.0,1003.4,False,49.4,205,0.8
29.6,48.0,1003.4,False,49.4,163,1.4
29.6,48.0,1003.4,False,48.6,166,1.3
29.5,48.0,1003.3,False,48.3,302,1.6
29.4,49.0,1003.3,False,48.3,306,1.5
29.3,49.0,1003.3,False,48.7,1,1.1
29.3,49.0,1003.3,False,49.4,0,1.1
29.2,49.0,1003.3,False,49.4,311,0.8
29.3,48.0,1003.3,False,49.6,188,1.3
29.3,48.0,1003.4,False,48.9,236,1.5
29.4,48.0,1003.1,False,49.4,163,0.9
29.5,48.0,1003.3,False,49.4,310,1.1
29.5,48.0,1003.3,False,49.7,35,1.3
29.5,49.0,1003.3,False,49.2,242,1.1
29.5,49.0,1003.1,False,49.3,238,1.4
29.6,49.0,1003.1,False,49.3,199,2.5
29.4,50.0,1003.3,False,49.2,170,1.8
29.2,51.0,1003.2,False,48.8,203,1.7
29.2,52.0,1003.2,False,49.1,265,0.7
29.1,51.0,1003.3,False,50.3,32,1.4
29.3,50.0,1003.1,False,50.4,265,1.5
29.3,51.0,1003.1,False,50.3,35,1.1
29.4,50.0,1003.2,False,50.1,6,1.9
29.4,51.0,1003.1,False,48.8,291,1.1
29.3,52.0,1003.0,False,48.8,83,2.8
