AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
18.0,85.0,988.6,False,24.2,174,0.7
18.0,83.0,988.5,False,24.6,111,0.9
18.1,82.0,988.6,False,24.6,61,2.2
18.0,81.0,988.6,False,24.1,71,3.1
18.0,79.0,988.5,False,23.9,28,3.0
17.9,82.0,988.7,False,24.0,23,0.9
18.0,78.0,988.6,False,24.2,248,1.9
18.1,79.0,988.5,False,25.4,25,1.3
18.3,78.0,988.6,False,25.9,310,1.3
18.4,78.0,988.5,False,26.0,344,1.1
18.4,78.0,988.6,False,26.0,210,1.2
18.5,77.0,988.7,False,24.9,78,1.6
18.5,77.0,988.6,False,24.6,63,1.9
18.4,78.0,988.6,False,24.0,316,1.7
18.3,78.0,988.7,True,24.0,82,1.2
18.3,78.0,988.8,True,23.9,352,2.6
18.3,77.0,988.6,True,22.6,319,1.0
18.1,78.0,988.7,True,22.3,0,1.9
18.1,79.0,988.7,True,21.8,6,1.0
18.0,79.0,988.7,True,21.4,296,1.2
17.8,81.0,988.6,True,21.4,18,2.0
17.6,81.0,988.7,True,21.6,13,1.1
17.6,82.0,988.8,True,21.7,15,1.0
17.5,83.0,988.7,True,21.9,62,0.9
17.5,84.0,988.8,True,21.9,94,0.7
17.5,85.0,988.7,True,23.4,284,1.2
17.4,85.0,988.8,True,22.3,69,1.1
17.3,85.0,988.8,True,22.3,89,1.0
17.3,85.0,988.7,True,22.8,52,1.7
17.2,86.0,988.8,True,22.8,42,1.8
17.2,86.0,988.8,True,22.2,72,0.5
17.2,87.0,988.7,False,22.2,287,0.6
17.3,87.0,988.7,False,22.8,52,0.8
17.3,87.0,988.6,False,24.4,301,1.0
17.4,88.0,988.7,False,23.9,154,0.7
17.5,87.0,988.7,False,23.5,334,0.7
17.4,87.0,988.6,False,23.4,318,0.8
17.4,85.0,988.6,False,23.4,266,0.9
17.2,86.0,988.7,False,23.6,350,0.7
17.1,85.0,988.6,False,24.5,81,1.1
17.2,85.0,988.6,False,25.9,70,1.3
17.1,85.0,988.7,False,26.4,102,1.0
17.1,84.0,988.7,False,24.5,9,1.4
17.1,84.0,988.6,False,24.5,313,0.6
17.3,83.0,988.6,False,25.2,238,1.2
17.3,83.0,988.6,False,24.2,213,0.6
17.4,84.0,988.6,False,24.3,261,0.8
17.5,83.0,988.7,False,24.7,301,0.8
17.7,83.0,988.7,False,26.1,148,0.8
17.7,84.0,988.7,False,26.0,7,0.9
17.7,83.0,988.7,False,26.0,167,0.7
17.7,82.0,988.7,False,26.5,272,1.3
18.0,84.0,988.6,False,26.8,205,0.6
17.9,82.0,988.7,False,27.7,285,1.0
18.1,83.0,988.7,False,29.6,89,1.1
18.2,82.0,988.7,False,26.3,93,1.3
18.3,80.0,988.7,False,24.1,0,0.9
18.3,80.0,988.7,False,24.1,260,1.2
18.5,82.0,988.6,False,24.5,8,1.0
18.5,78.0,988.6,False,24.5,289,1.1
18.4,80.0,988.6,False,24.5,66,1.5
18.5,80.0,988.7,False,24.8,121,1.2
18.6,78.0,988.7,False,24.8,332,1.1
18.7,75.0,988.7,False,24.8,0,1.3
18.6,75.0,988.7,False,24.9,313,0.9
18.6,75.0,988.7,False,24.9,156,0.7
18.8,77.0,988.8,False,25.2,93,1.2
19.1,74.0,988.7,False,25.0,274,1.5
19.1,75.0,988.7,False,24.4,82,1.3
19.1,73.0,988.6,False,24.0,16,2.6
19.2,74.0,988.7,False,24.0,186,1.1
19.2,75.0,988.6,False,24.2,40,1.0
19.2,74.0,988.4,False,24.8,238,1.1
19.2,74.0,988.6,False,24.8,71,0.7
19.2,72.0,988.6,False,24.3,29,1.9
19.0,74.0,988.6,False,24.1,275,0.7
19.0,74.0,988.8,True,24.0,292,1.2
18.9,73.0,988.8,True,23.3,105,1.1
18.7,72.0,988.7,True,22.5,70,3.1
18.5,72.0,988.6,True,21.5,69,5.8
18.1,74.0,988.8,True,21.0,67,4.5
17.8,77.0,988.8,True,20.5,65,3.9
17.4,78.0,988.8,True,20.1,71,5.4
17.1,80.0,988.9,True,20.0,75,4.2
16.7,82.0,988.9,True,20.0,89,2.9
16.5,83.0,988.9,True,20.2,63,3.0
16.3,84.0,989.0,True,20.3,71,2.1
16.2,85.0,988.9,False,20.5,67,2.8
16.1,85.0,989.0,False,20.8,73,2.3
16.0,85.0,989.0,False,21.1,51,1.4
16.1,85.0,989.0,False,21.3,74,1.8
16.1,84.0,988.9,False,21.5,72,1.9
16.1,84.0,989.0,False,21.7,60,1.0
16.1,85.0,989.0,False,21.7,67,1.2
16.2,84.0,989.0,False,22.8,66,1.1
16.4,85.0,989.0,False,23.9,44,1.5
16.5,84.0,988.9,False,24.2,326,0.9
16.6,83.0,988.9,False,24.3,110,0.7
16.6,83.0,989.0,False,24.3,80,0.8
16.8,82.0,988.8,False,23.8,55,1.6
16.7,81.0,988.8,False,23.4,79,2.5
16.8,80.0,988.8,False,23.3,56,2.3
16.7,82.0,988.9,False,23.1,62,1.9
16.9,81.0,988.9,False,23.1,62,2.4
17.0,80.0,988.8,False,22.9,68,2.2
17.0,81.0,988.9,False,22.8,57,2.4
17.0,82.0,988.9,False,22.9,58,1.6
17.1,80.0,988.9,False,22.9,65,1.8
17.2,80.0,988.9,False,22.8,0,0.9
17.1,81.0,988.9,False,22.7,64,1.2
17.2,80.0,988.9,False,22.5,115,1.3
17.1,81.0,988.9,False,22.5,222,0.8
17.2,82.0,988.9,False,22.6,53,0.8
17.4,81.0,988.8,False,22.6,325,0.7
17.4,82.0,989.0,False,22.8,263,0.8
17.5,82.0,988.9,False,22.8,330,1.3
17.5,81.0,988.9,False,22.4,22,1.3
17.6,80.0,988.8,False,22.4,262,0.8
17.7,82.0,988.8,False,22.4,346,1.7
17.7,80.0,988.8,False,23.0,230,1.1
17.9,80.0,988.7,False,23.3,72,1.5
17.9,80.0,988.9,False,23.5,101,0.5
18.0,77.0,988.8,False,23.6,217,1.1
18.0,76.0,988.9,False,23.5,127,1.2
18.0,73.0,988.9,False,23.3,144,1.3
18.2,74.0,988.9,False,23.2,248,0.7
18.3,74.0,988.9,False,23.3,87,0.9
18.5,73.0,988.9,False,23.2,68,1.9
18.5,72.0,988.8,False,23.2,275,1.4
18.5,73.0,988.8,False,23.4,101,0.6
18.5,72.0,988.9,False,23.7,59,1.5
18.6,72.0,989.0,False,24.5,80,2.1
18.7,70.0,988.9,False,24.1,123,2.1
18.7,70.0,988.9,False,23.7,44,2.0
18.8,70.0,988.9,False,23.6,47,1.5
18.9,68.0,988.9,False,23.6,307,2.3
18.9,69.0,989.0,False,23.6,0,0.0
19.0,69.0,988.8,False,23.5,296,2.5
18.9,68.0,988.9,False,23.2,54,1.4
19.0,68.0,988.9,False,22.8,59,1.1
19.0,69.0,988.9,False,23.2,40,2.0
18.9,68.0,988.8,False,23.7,50,2.3
19.0,67.0,988.8,False,24.0,269,2.2
19.1,66.0,988.8,False,24.0,320,1.8
19.1,66.0,988.9,False,23.8,271,2.1
19.2,67.0,989.0,False,23.6,51,1.5
19.2,67.0,989.0,False,23.6,302,0.9
19.2,67.0,988.9,False,23.6,25,1.3
19.1,67.0,988.9,False,23.7,245,1.1
19.2,68.0,988.9,False,24.4,92,1.9
19.3,65.0,989.1,False,24.4,95,1.1
19.4,64.0,989.0,False,24.4,230,1.9
19.5,65.0,989.0,False,24.6,287,1.5
19.5,64.0,989.0,False,24.6,48,1.6
19.6,63.0,988.9,False,24.3,99,1.7
