Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,2.0,0 days 01:15:38.205000,,INTERMEDIATE,2.0
VER,3.0,0 days 01:18:20.223000,0 days 01:15:51.658000,INTERMEDIATE,3.0
VER,4.0,0 days 01:20:56.543000,0 days 01:18:34.029000,INTERMEDIATE,4.0
VER,34.0,0 days 02:09:24.559000,,INTERMEDIATE,34.0
VER,46.0,0 days 02:32:42.968000,,MEDIUM,12.0
GAS,2.0,0 days 01:15:53.611000,,INTERMEDIATE,2.0
GAS,3.0,0 days 01:18:36.076000,0 days 01:16:08.591000,INTERMEDIATE,3.0
GAS,4.0,0 days 01:21:12.398000,0 days 01:18:51.914000,INTERMEDIATE,4.0
GAS,33.0,0 days 02:08:17.990000,,INTERMEDIATE,33.0
GAS,46.0,0 days 02:32:55.194000,,HARD,13.0
ANT,2.0,0 days 01:16:01.429000,,INTERMEDIATE,2.0
ANT,3.0,0 days 01:18:43.529000,0 days 01:16:16.265000,INTERMEDIATE,3.0
ANT,4.0,0 days 01:21:21.148000,0 days 01:18:59.964000,INTERMEDIATE,4.0
ANT,33.0,0 days 02:08:23.095000,,INTERMEDIATE,33.0
ANT,44.0,0 days 02:29:44.044000,,HARD,11.0
ALO,2.0,0 days 01:15:54.830000,,INTERMEDIATE,2.0
ALO,3.0,0 days 01:18:37.191000,0 days 01:16:10.400000,INTERMEDIATE,3.0
ALO,4.0,0 days 01:21:13.968000,0 days 01:18:53.529000,INTERMEDIATE,4.0
LEC,2.0,0 days 01:15:44.366000,,INTERMEDIATE,2.0
LEC,3.0,0 days 01:18:26.003000,0 days 01:15:58.544000,INTERMEDIATE,3.0
LEC,4.0,0 days 01:21:02.246000,0 days 01:18:40.624000,INTERMEDIATE,4.0
LEC,34.0,0 days 02:09:55.018000,,INTERMEDIATE,34.0
LEC,47.0,0 days 02:35:06.901000,,HARD,14.0
STR,2.0,0 days 01:15:57.307000,,INTERMEDIATE,2.0
STR,3.0,0 days 01:18:40.020000,0 days 01:16:13.028000,INTERMEDIATE,1.0
STR,4.0,0 days 01:21:17.105000,0 days 01:18:56.155000,INTERMEDIATE,1.0
STR,33.0,0 days 02:08:44.912000,,INTERMEDIATE,29.0
STR,44.0,0 days 02:29:44.983000,,HARD,12.0
TSU,2.0,0 days 01:15:46.618000,,INTERMEDIATE,2.0
TSU,3.0,0 days 01:18:29.345000,0 days 01:16:01.530000,INTERMEDIATE,3.0
TSU,4.0,0 days 01:21:06.137000,0 days 01:18:44.490000,INTERMEDIATE,4.0
TSU,33.0,0 days 02:08:13.310000,,INTERMEDIATE,33.0
TSU,47.0,0 days 02:35:13.664000,,MEDIUM,14.0
ALB,2.0,0 days 01:15:48.835000,,INTERMEDIATE,2.0
ALB,3.0,0 days 01:18:31.238000,0 days 01:16:03.745000,INTERMEDIATE,1.0
ALB,4.0,0 days 01:21:07.775000,0 days 01:18:48.304000,INTERMEDIATE,2.0
ALB,33.0,0 days 02:08:14.228000,,INTERMEDIATE,31.0
ALB,44.0,0 days 02:29:41.637000,,MEDIUM,11.0
HUL,2.0,0 days 01:15:59.421000,,INTERMEDIATE,2.0
HUL,3.0,0 days 01:18:41.760000,0 days 01:16:14.730000,INTERMEDIATE,3.0
HUL,4.0,0 days 01:21:19.330000,0 days 01:18:57.772000,INTERMEDIATE,4.0
HUL,33.0,0 days 02:08:53.146000,,INTERMEDIATE,33.0
HUL,44.0,0 days 02:29:46.305000,,MEDIUM,11.0
LAW,2.0,0 days 01:16:07.402000,,INTERMEDIATE,2.0
LAW,3.0,0 days 01:18:50.242000,0 days 01:16:22.171000,INTERMEDIATE,3.0
LAW,4.0,0 days 01:21:27.905000,0 days 01:19:06.403000,INTERMEDIATE,1.0
LAW,33.0,0 days 02:09:10.507000,,INTERMEDIATE,32.0
OCO,2.0,0 days 01:16:05.054000,,INTERMEDIATE,2.0
OCO,3.0,0 days 01:18:47.469000,0 days 01:16:19.513000,INTERMEDIATE,3.0
OCO,4.0,0 days 01:21:25.943000,0 days 01:19:04.029000,INTERMEDIATE,4.0
OCO,39.0,0 days 02:22:37.662000,,INTERMEDIATE,35.0
OCO,46.0,0 days 02:34:14.801000,,MEDIUM,7.0
NOR,2.0,0 days 01:15:36.644000,,INTERMEDIATE,2.0
NOR,3.0,0 days 01:18:18.691000,0 days 01:15:50.143000,INTERMEDIATE,3.0
NOR,4.0,0 days 01:20:54.690000,0 days 01:18:31.544000,INTERMEDIATE,4.0
NOR,34.0,0 days 02:09:00.096000,,INTERMEDIATE,34.0
NOR,44.0,0 days 02:29:33.442000,,HARD,11.0
HAM,2.0,0 days 01:15:51.246000,,INTERMEDIATE,2.0
HAM,3.0,0 days 01:18:33.930000,0 days 01:16:05.978000,INTERMEDIATE,3.0
HAM,4.0,0 days 01:21:09.633000,0 days 01:18:50.272000,INTERMEDIATE,4.0
HAM,33.0,0 days 02:08:16.061000,,INTERMEDIATE,33.0
HAM,47.0,0 days 02:35:04.708000,,HARD,15.0
BOR,2.0,0 days 01:16:03.063000,,INTERMEDIATE,2.0
BOR,3.0,0 days 01:18:45.520000,0 days 01:16:17.705000,INTERMEDIATE,3.0
BOR,4.0,0 days 01:21:23.257000,0 days 01:19:01.883000,INTERMEDIATE,4.0
BOR,33.0,0 days 02:08:59.204000,,INTERMEDIATE,33.0
BOR,44.0,0 days 02:29:55.899000,,MEDIUM,11.0
RUS,2.0,0 days 01:15:41.818000,,INTERMEDIATE,2.0
RUS,3.0,0 days 01:18:23.749000,0 days 01:15:55.644000,INTERMEDIATE,3.0
RUS,4.0,0 days 01:21:00.668000,0 days 01:18:37.950000,INTERMEDIATE,4.0
RUS,34.0,0 days 02:09:45.950000,,INTERMEDIATE,34.0
RUS,44.0,0 days 02:29:40.154000,,HARD,10.0
PIA,2.0,0 days 01:15:40.060000,,INTERMEDIATE,2.0
PIA,3.0,0 days 01:18:21.675000,0 days 01:15:53.106000,INTERMEDIATE,3.0
PIA,4.0,0 days 01:20:58.263000,0 days 01:18:35.632000,INTERMEDIATE,4.0
PIA,34.0,0 days 02:09:07.101000,,INTERMEDIATE,34.0
PIA,44.0,0 days 02:30:59.848000,,HARD,11.0
BEA,2.0,0 days 01:16:08.478000,,INTERMEDIATE,2.0
BEA,3.0,0 days 01:18:51.042000,0 days 01:16:23.180000,INTERMEDIATE,3.0
BEA,4.0,0 days 01:21:30.664000,0 days 01:19:07.407000,INTERMEDIATE,4.0
BEA,39.0,0 days 02:22:42.794000,,INTERMEDIATE,35.0
BEA,44.0,0 days 02:31:10.506000,,MEDIUM,
