Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
NOR,McLaren,1.0,0 days 00:01:36.458000,MEDIUM,1.0,6.0,,
NOR,McLaren,2.0,0 days 00:01:27.344000,MEDIUM,2.0,6.0,,
NOR,McLaren,3.0,0 days 00:01:26.863000,MEDIUM,3.0,7.0,,
NOR,McLaren,4.0,0 days 00:01:25.857000,MEDIUM,4.0,7.0,,
NOR,McLaren,5.0,0 days 00:01:25.573000,MEDIUM,5.0,7.0,,
NOR,McLaren,6.0,0 days 00:01:25.036000,MEDIUM,6.0,7.0,,
NOR,McLaren,7.0,0 days 00:01:24.978000,MEDIUM,7.0,7.0,,
NOR,McLaren,8.0,0 days 00:01:25.299000,MEDIUM,8.0,7.0,,
NOR,McLaren,9.0,0 days 00:01:25.639000,MEDIUM,9.0,7.0,,
NOR,McLaren,10.0,0 days 00:01:25.295000,MEDIUM,10.0,7.0,,
NOR,McLaren,11.0,0 days 00:01:43.391000,MEDIUM,11.0,9.0,0 days 01:18:15.593000,
NOR,McLaren,12.0,0 days 00:01:58.075000,HARD,1.0,9.0,,0 days 01:18:34.141000
NOR,McLaren,13.0,0 days 00:01:51.932000,HARD,2.0,9.0,,
NOR,McLaren,14.0,0 days 00:01:24.233000,HARD,3.0,9.0,,
NOR,McLaren,15.0,0 days 00:01:23.784000,HARD,4.0,9.0,,
NOR,McLaren,16.0,0 days 00:01:23.912000,HARD,5.0,9.0,,
NOR,McLaren,17.0,0 days 00:01:24.053000,HARD,6.0,9.0,,
NOR,McLaren,18.0,0 days 00:01:35.404000,HARD,7.0,5.0,,
NOR,McLaren,19.0,0 days 00:01:56.070000,HARD,8.0,5.0,,
NOR,McLaren,20.0,0 days 00:01:25.774000,HARD,9.0,5.0,,
NOR,McLaren,21.0,0 days 00:01:23.972000,HARD,10.0,5.0,,
NOR,McLaren,22.0,0 days 00:01:23.687000,HARD,11.0,5.0,,
NOR,McLaren,23.0,0 days 00:01:23.534000,HARD,12.0,5.0,,
NOR,McLaren,24.0,0 days 00:01:23.394000,HARD,13.0,5.0,,
NOR,McLaren,25.0,0 days 00:01:23.500000,HARD,14.0,5.0,,
NOR,McLaren,26.0,0 days 00:01:23.403000,HARD,15.0,5.0,,
NOR,McLaren,27.0,0 days 00:01:23.896000,HARD,16.0,5.0,,
NOR,McLaren,28.0,0 days 00:01:24.040000,HARD,17.0,5.0,,
NOR,McLaren,29.0,0 days 00:01:24.080000,HARD,18.0,5.0,,
NOR,McLaren,30.0,0 days 00:01:23.961000,HARD,19.0,5.0,,
NOR,McLaren,31.0,0 days 00:01:24.094000,HARD,20.0,5.0,,
NOR,McLaren,32.0,0 days 00:01:24.075000,HARD,21.0,5.0,,
NOR,McLaren,33.0,0 days 00:01:24.790000,HARD,22.0,5.0,,
NOR,McLaren,34.0,0 days 00:01:52.732000,HARD,23.0,6.0,0 days 01:52:42.584000,
NOR,McLaren,35.0,0 days 00:01:29.434000,MEDIUM,1.0,8.0,,0 days 01:53:00.323000
NOR,McLaren,36.0,0 days 00:01:23.324000,MEDIUM,2.0,8.0,,
NOR,McLaren,37.0,0 days 00:01:23.448000,MEDIUM,3.0,8.0,,
NOR,McLaren,38.0,0 days 00:01:23.423000,MEDIUM,4.0,7.0,,
NOR,McLaren,39.0,0 days 00:01:24.001000,MEDIUM,5.0,6.0,,
NOR,McLaren,40.0,0 days 00:01:23.397000,MEDIUM,6.0,6.0,,
NOR,McLaren,41.0,0 days 00:01:23.762000,MEDIUM,7.0,6.0,,
NOR,McLaren,42.0,0 days 00:01:23.347000,MEDIUM,8.0,5.0,,
NOR,McLaren,43.0,0 days 00:01:23.286000,MEDIUM,9.0,5.0,,
NOR,McLaren,44.0,0 days 00:01:23.192000,MEDIUM,10.0,5.0,,
NOR,McLaren,45.0,0 days 00:01:22.886000,MEDIUM,11.0,5.0,,
NOR,McLaren,46.0,0 days 00:01:22.908000,MEDIUM,12.0,5.0,,
NOR,McLaren,47.0,0 days 00:01:22.778000,MEDIUM,13.0,5.0,,
NOR,McLaren,48.0,0 days 00:01:22.953000,MEDIUM,14.0,5.0,,
NOR,McLaren,49.0,0 days 00:01:22.804000,MEDIUM,15.0,5.0,,
NOR,McLaren,50.0,0 days 00:01:22.763000,MEDIUM,16.0,5.0,,
NOR,McLaren,51.0,0 days 00:01:22.598000,MEDIUM,17.0,5.0,,
