Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
NOR,McLaren,20.0,0 days 01:36:20.748000,,MEDIUM,20.0
NOR,McLaren,52.0,0 days 02:13:56.072000,,HARD,32.0
PIA,McLaren,24.0,0 days 01:41:05.817000,,MEDIUM,24.0
PIA,McLaren,53.0,0 days 02:15:09.047000,,HARD,29.0
LEC,Ferrari,25.0,0 days 01:42:24.220000,,MEDIUM,25.0
LEC,Ferrari,49.0,0 days 02:10:42.750000,,HARD,24.0
HAM,Ferrari,26.0,0 days 01:43:38.541000,,MEDIUM,26.0
HAM,Ferrari,50.0,0 days 02:12:01.834000,,HARD,24.0
RUS,Mercedes,18.0,0 days 01:34:16.444000,,MEDIUM,18.0
RUS,Mercedes,45.0,0 days 02:06:29.755000,,MEDIUM,27.0
LAW,Racing Bulls,32.0,0 days 01:51:06.939000,,MEDIUM,32.0
ALO,Aston Martin,33.0,0 days 01:52:20.826000,,MEDIUM,34.0
BOR,Kick Sauber,21.0,0 days 01:37:54.269000,,MEDIUM,21.0
BOR,Kick Sauber,49.0,0 days 02:11:18.413000,,MEDIUM,28.0
HUL,Kick Sauber,12.0,0 days 01:27:15.761000,,SOFT,12.0
HUL,Kick Sauber,42.0,0 days 02:03:06.602000,,MEDIUM,30.0
OCO,Haas F1 Team,19.0,0 days 01:35:37.593000,,MEDIUM,19.0
OCO,Haas F1 Team,50.0,0 days 02:12:35.021000,,HARD,31.0
BEA,Haas F1 Team,11.0,0 days 01:26:00.232000,,SOFT,11.0
BEA,Haas F1 Team,39.0,0 days 01:59:41.314000,,HARD,28.0
HAD,Racing Bulls,2.0,0 days 01:14:44.738000,,SOFT,2.0
HAD,Racing Bulls,28.0,0 days 01:46:30.897000,,MEDIUM,26.0
GAS,Alpine,12.0,0 days 01:27:10.734000,,SOFT,15.0
GAS,Alpine,38.0,0 days 01:58:33.205000,,HARD,26.0
STR,Aston Martin,26.0,0 days 01:44:11.971000,,MEDIUM,27.0
STR,Aston Martin,53.0,0 days 02:16:33.467000,,HARD,28.0
COL,Alpine,13.0,0 days 01:28:26.973000,,SOFT,13.0
COL,Alpine,39.0,0 days 01:59:54.939000,,MEDIUM,26.0
TSU,Red Bull Racing,18.0,0 days 01:34:28.493000,,MEDIUM,18.0
TSU,Red Bull Racing,30.0,0 days 01:49:05.703000,,HARD,12.0
TSU,Red Bull Racing,60.0,0 days 02:24:58.946000,,MEDIUM,30.0
ALB,Williams,13.0,0 days 01:28:19.065000,,MEDIUM,13.0
ALB,Williams,15.0,0 days 01:31:05.506000,,MEDIUM,2.0
