Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
NOR,McLaren,1.0,0 days 00:01:18.505000,MEDIUM,1.0,7.0,,
NOR,McLaren,2.0,0 days 00:01:13.406000,MEDIUM,2.0,7.0,,
NOR,McLaren,3.0,0 days 00:01:13.015000,MEDIUM,3.0,7.0,,
NOR,McLaren,4.0,0 days 00:01:12.630000,MEDIUM,4.0,7.0,,
NOR,McLaren,5.0,0 days 00:01:12.439000,MEDIUM,5.0,7.0,,
NOR,McLaren,6.0,0 days 00:01:12.493000,MEDIUM,6.0,7.0,,
NOR,McLaren,7.0,0 days 00:01:13.459000,MEDIUM,7.0,7.0,,
NOR,McLaren,8.0,0 days 00:01:13.025000,MEDIUM,8.0,7.0,,
NOR,McLaren,9.0,0 days 00:01:13.013000,MEDIUM,9.0,7.0,,
NOR,McLaren,10.0,0 days 00:01:13.197000,MEDIUM,10.0,7.0,,
NOR,McLaren,11.0,0 days 00:01:13.335000,MEDIUM,11.0,7.0,,
NOR,McLaren,12.0,0 days 00:01:13.250000,MEDIUM,12.0,7.0,,
NOR,McLaren,13.0,0 days 00:01:13.591000,MEDIUM,13.0,5.0,,
NOR,McLaren,14.0,0 days 00:01:13.423000,MEDIUM,14.0,5.0,,
NOR,McLaren,15.0,0 days 00:01:13.419000,MEDIUM,15.0,5.0,,
NOR,McLaren,16.0,0 days 00:01:13.323000,MEDIUM,16.0,5.0,,
NOR,McLaren,17.0,0 days 00:01:13.157000,MEDIUM,17.0,5.0,,
NOR,McLaren,18.0,0 days 00:01:13.381000,MEDIUM,18.0,5.0,,
NOR,McLaren,19.0,0 days 00:01:14.330000,MEDIUM,19.0,3.0,,
NOR,McLaren,20.0,0 days 00:01:13.655000,MEDIUM,20.0,2.0,,
NOR,McLaren,21.0,0 days 00:01:18.354000,MEDIUM,21.0,5.0,0 days 01:22:52.191000,
NOR,McLaren,22.0,0 days 00:01:30.005000,HARD,1.0,8.0,,0 days 01:23:13.743000
NOR,McLaren,23.0,0 days 00:01:12.148000,HARD,2.0,8.0,,
NOR,McLaren,24.0,0 days 00:01:18.463000,HARD,3.0,8.0,,
NOR,McLaren,25.0,0 days 00:01:36.995000,HARD,4.0,8.0,,
NOR,McLaren,26.0,0 days 00:01:24.972000,HARD,5.0,8.0,,
NOR,McLaren,27.0,0 days 00:01:11.773000,HARD,6.0,8.0,,
NOR,McLaren,28.0,0 days 00:01:11.568000,HARD,7.0,8.0,,
NOR,McLaren,29.0,0 days 00:01:11.843000,HARD,8.0,8.0,,
NOR,McLaren,30.0,0 days 00:01:11.797000,HARD,9.0,8.0,,
NOR,McLaren,31.0,0 days 00:01:11.666000,HARD,10.0,8.0,,
NOR,McLaren,32.0,0 days 00:01:11.593000,HARD,11.0,8.0,,
NOR,McLaren,33.0,0 days 00:01:11.542000,HARD,12.0,8.0,,
NOR,McLaren,34.0,0 days 00:01:11.916000,HARD,13.0,8.0,,
NOR,McLaren,35.0,0 days 00:01:11.547000,HARD,14.0,8.0,,
NOR,McLaren,36.0,0 days 00:01:11.824000,HARD,15.0,8.0,,
NOR,McLaren,37.0,0 days 00:01:12.345000,HARD,16.0,8.0,,
NOR,McLaren,38.0,0 days 00:01:11.788000,HARD,17.0,7.0,,
NOR,McLaren,39.0,0 days 00:01:12.229000,HARD,18.0,7.0,,
NOR,McLaren,40.0,0 days 00:01:12.078000,HARD,19.0,6.0,,
NOR,McLaren,41.0,0 days 00:01:12.134000,HARD,20.0,6.0,,
NOR,McLaren,42.0,0 days 00:01:11.746000,HARD,21.0,6.0,,
NOR,McLaren,43.0,0 days 00:01:12.194000,HARD,22.0,4.0,,
NOR,McLaren,44.0,0 days 00:01:12.353000,HARD,23.0,4.0,,
NOR,McLaren,45.0,0 days 00:01:12.274000,HARD,24.0,4.0,,
NOR,McLaren,46.0,0 days 00:01:12.465000,HARD,25.0,4.0,,
NOR,McLaren,47.0,0 days 00:01:16.801000,HARD,26.0,4.0,0 days 01:55:10.367000,
NOR,McLaren,48.0,0 days 00:01:28.640000,HARD,1.0,8.0,,0 days 01:55:32.272000
NOR,McLaren,49.0,0 days 00:01:10.994000,HARD,2.0,8.0,,
NOR,McLaren,50.0,0 days 00:01:10.865000,HARD,3.0,8.0,,
NOR,McLaren,51.0,0 days 00:01:11.170000,HARD,4.0,8.0,,
NOR,McLaren,52.0,0 days 00:01:22.848000,HARD,5.0,8.0,,
NOR,McLaren,53.0,0 days 00:01:10.659000,HARD,6.0,8.0,,
NOR,McLaren,54.0,0 days 00:01:10.983000,HARD,7.0,8.0,,
NOR,McLaren,55.0,0 days 00:01:10.652000,HARD,8.0,8.0,,
NOR,McLaren,56.0,0 days 00:01:10.907000,HARD,9.0,8.0,,
NOR,McLaren,57.0,0 days 00:01:10.979000,HARD,10.0,8.0,,
NOR,McLaren,58.0,0 days 00:01:11.465000,HARD,11.0,8.0,,
NOR,McLaren,59.0,0 days 00:01:11.584000,HARD,12.0,7.0,,
NOR,McLaren,60.0,0 days 00:01:11.216000,HARD,13.0,7.0,,
NOR,McLaren,61.0,0 days 00:01:11.205000,HARD,14.0,7.0,,
NOR,McLaren,62.0,0 days 00:01:11.586000,HARD,15.0,7.0,,
NOR,McLaren,63.0,0 days 00:01:11.385000,HARD,16.0,7.0,,
NOR,McLaren,64.0,0 days 00:01:11.318000,HARD,17.0,7.0,,
NOR,McLaren,65.0,0 days 00:01:11.409000,HARD,18.0,7.0,,
NOR,McLaren,66.0,0 days 00:01:11.497000,HARD,19.0,7.0,,
NOR,McLaren,67.0,0 days 00:01:12.490000,HARD,20.0,7.0,,
NOR,McLaren,68.0,0 days 00:01:11.939000,HARD,21.0,7.0,,
NOR,McLaren,69.0,0 days 00:01:11.821000,HARD,22.0,7.0,,
NOR,McLaren,70.0,0 days 00:01:12.674000,HARD,23.0,7.0,,
NOR,McLaren,71.0,0 days 00:01:12.739000,HARD,24.0,7.0,,
GAS,Alpine,1.0,0 days 00:01:20.728000,MEDIUM,1.0,13.0,,
GAS,Alpine,2.0,0 days 00:01:14.455000,MEDIUM,2.0,13.0,,
GAS,Alpine,3.0,0 days 00:01:13.713000,MEDIUM,3.0,13.0,,
GAS,Alpine,4.0,0 days 00:01:14.015000,MEDIUM,4.0,13.0,,
GAS,Alpine,5.0,0 days 00:01:14.023000,MEDIUM,5.0,13.0,,
GAS,Alpine,6.0,0 days 00:01:14.065000,MEDIUM,6.0,13.0,,
GAS,Alpine,7.0,0 days 00:01:14.705000,MEDIUM,7.0,13.0,,
GAS,Alpine,8.0,0 days 00:01:14.513000,MEDIUM,8.0,13.0,,
GAS,Alpine,9.0,0 days 00:01:14.864000,MEDIUM,9.0,13.0,,
GAS,Alpine,10.0,0 days 00:01:15.154000,MEDIUM,10.0,13.0,,
GAS,Alpine,11.0,0 days 00:01:15.588000,MEDIUM,11.0,13.0,,
GAS,Alpine,12.0,0 days 00:01:14.943000,MEDIUM,12.0,13.0,,
GAS,Alpine,13.0,0 days 00:01:19.306000,MEDIUM,13.0,16.0,0 days 01:13:23.966000,
GAS,Alpine,14.0,0 days 00:01:30.469000,HARD,1.0,20.0,,0 days 01:13:45.569000
GAS,Alpine,15.0,0 days 00:01:12.983000,HARD,2.0,19.0,,
GAS,Alpine,16.0,0 days 00:01:13.349000,HARD,3.0,18.0,,
GAS,Alpine,17.0,0 days 00:01:13.244000,HARD,4.0,17.0,,
GAS,Alpine,18.0,0 days 00:01:13.040000,HARD,5.0,17.0,,
GAS,Alpine,19.0,0 days 00:01:12.932000,HARD,6.0,15.0,,
GAS,Alpine,20.0,0 days 00:01:12.916000,HARD,7.0,14.0,,
GAS,Alpine,21.0,0 days 00:01:12.772000,HARD,8.0,14.0,,
GAS,Alpine,22.0,0 days 00:01:12.985000,HARD,9.0,13.0,,
GAS,Alpine,23.0,0 days 00:01:13.890000,HARD,10.0,12.0,,
GAS,Alpine,24.0,0 days 00:01:23.514000,HARD,11.0,12.0,,
GAS,Alpine,25.0,0 days 00:01:36.491000,HARD,12.0,12.0,,
GAS,Alpine,26.0,0 days 00:01:22.551000,HARD,13.0,12.0,,
GAS,Alpine,27.0,0 days 00:01:13.061000,HARD,14.0,12.0,,
