Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
NOR,21.0,0 days 01:22:52.191000,,MEDIUM,21.0
NOR,47.0,0 days 01:55:10.367000,,HARD,26.0
GAS,13.0,0 days 01:13:23.966000,,MEDIUM,13.0
GAS,38.0,0 days 01:45:00.666000,,HARD,25.0
GAS,51.0,0 days 02:01:07.572000,,MEDIUM,13.0
PER,4.0,0 days 01:02:21.090000,,MEDIUM,4.0
ANT,24.0,0 days 01:26:21.234000,,MEDIUM,24.0
ANT,51.0,0 days 01:59:40.957000,,HARD,27.0
ALO,24.0,0 days 01:27:47.339000,,MEDIUM,24.0
ALO,49.0,0 days 01:59:48.137000,,SOFT,25.0
LEC,13.0,0 days 01:13:00.677000,,MEDIUM,13.0
LEC,37.0,0 days 01:43:03.214000,,HARD,24.0
LEC,59.0,0 days 02:09:58.995000,,HARD,22.0
STR,24.0,0 days 01:27:54.886000,,MEDIUM,24.0
STR,45.0,0 days 01:55:10.577000,,SOFT,21.0
ALB,18.0,0 days 01:19:43.679000,,MEDIUM,18.0
ALB,37.0,0 days 01:44:12.705000,,MEDIUM,19.0
HUL,21.0,0 days 01:23:21.914000,,MEDIUM,21.0
HUL,45.0,0 days 01:53:34.837000,,MEDIUM,24.0
VER,18.0,0 days 01:18:58.999000,,MEDIUM,18.0
VER,49.0,0 days 01:57:15.103000,,HARD,31.0
LAW,19.0,0 days 01:20:34.797000,,MEDIUM,19.0
LAW,45.0,0 days 01:53:19.988000,,HARD,26.0
OCO,18.0,0 days 01:19:40.837000,,MEDIUM,18.0
OCO,33.0,0 days 01:39:09.060000,,MEDIUM,15.0
LIN,18.0,0 days 01:19:23.285000,,MEDIUM,18.0
LIN,46.0,0 days 01:54:32.575000,,HARD,28.0
COL,20.0,0 days 01:22:14.960000,,MEDIUM,20.0
COL,46.0,0 days 01:55:16.062000,,HARD,26.0
HAM,12.0,0 days 01:11:42.509000,,MEDIUM,12.0
HAM,25.0,0 days 01:28:07.856000,,HARD,13.0
HAM,42.0,0 days 01:49:03.970000,,SOFT,19.0
BOR,17.0,0 days 01:18:12.454000,,SOFT,17.0
BOR,44.0,0 days 01:52:13.124000,,MEDIUM,27.0
SAI,14.0,0 days 01:14:41.917000,,SOFT,14.0
HAD,18.0,0 days 01:19:12.237000,,MEDIUM,18.0
HAD,40.0,0 days 01:46:43.054000,,MEDIUM,22.0
RUS,19.0,0 days 01:20:07.318000,,MEDIUM,19.0
RUS,43.0,0 days 01:49:58.395000,,HARD,24.0
BOT,2.0,0 days 00:59:55.755000,,MEDIUM,2.0
PIA,19.0,0 days 01:20:22.383000,,MEDIUM,19.0
PIA,42.0,0 days 01:49:02.559000,,HARD,23.0
BEA,24.0,0 days 01:27:19.994000,,MEDIUM,24.0
BEA,45.0,0 days 01:53:53.818000,,HARD,21.0
