Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:02:08.681000,HARD,1.0,1.0,,
VER,Red Bull Racing,2.0,,HARD,2.0,1.0,,
VER,Red Bull Racing,3.0,,HARD,3.0,1.0,,
VER,Red Bull Racing,4.0,,HARD,4.0,1.0,,
VER,Red Bull Racing,5.0,0 days 00:01:47.655000,HARD,5.0,1.0,,
VER,Red Bull Racing,6.0,0 days 00:01:47.127000,HARD,6.0,1.0,,
VER,Red Bull Racing,7.0,0 days 00:01:46.484000,HARD,7.0,1.0,,
VER,Red Bull Racing,8.0,0 days 00:01:46.133000,HARD,8.0,1.0,,
VER,Red Bull Racing,9.0,0 days 00:01:46.376000,HARD,9.0,1.0,,
VER,Red Bull Racing,10.0,0 days 00:01:46.172000,HARD,10.0,1.0,,
VER,Red Bull Racing,11.0,0 days 00:01:46.245000,HARD,11.0,1.0,,
VER,Red Bull Racing,12.0,0 days 00:01:46.123000,HARD,12.0,1.0,,
VER,Red Bull Racing,13.0,0 days 00:01:46.102000,HARD,13.0,1.0,,
VER,Red Bull Racing,14.0,0 days 00:01:45.817000,HARD,14.0,1.0,,
VER,Red Bull Racing,15.0,0 days 00:01:45.617000,HARD,15.0,1.0,,
VER,Red Bull Racing,16.0,0 days 00:01:45.641000,HARD,16.0,1.0,,
VER,Red Bull Racing,17.0,0 days 00:01:45.699000,HARD,17.0,1.0,,
VER,Red Bull Racing,18.0,0 days 00:01:46.208000,HARD,18.0,1.0,,
VER,Red Bull Racing,19.0,0 days 00:01:45.414000,HARD,19.0,1.0,,
VER,Red Bull Racing,20.0,0 days 00:01:45.492000,HARD,20.0,1.0,,
VER,Red Bull Racing,21.0,0 days 00:01:45.558000,HARD,21.0,1.0,,
VER,Red Bull Racing,22.0,0 days 00:01:45.473000,HARD,22.0,1.0,,
VER,Red Bull Racing,23.0,0 days 00:01:45.362000,HARD,23.0,1.0,,
VER,Red Bull Racing,24.0,0 days 00:01:45.411000,HARD,24.0,1.0,,
VER,Red Bull Racing,25.0,0 days 00:01:45.303000,HARD,25.0,1.0,,
VER,Red Bull Racing,26.0,0 days 00:01:44.967000,HARD,26.0,1.0,,
VER,Red Bull Racing,27.0,0 days 00:01:44.820000,HARD,27.0,1.0,,
VER,Red Bull Racing,28.0,0 days 00:01:44.900000,HARD,28.0,1.0,,
VER,Red Bull Racing,29.0,0 days 00:01:45.010000,HARD,29.0,1.0,,
VER,Red Bull Racing,30.0,0 days 00:01:44.843000,HARD,30.0,1.0,,
VER,Red Bull Racing,31.0,0 days 00:01:44.784000,HARD,31.0,1.0,,
VER,Red Bull Racing,32.0,0 days 00:01:44.726000,HARD,32.0,1.0,,
VER,Red Bull Racing,33.0,0 days 00:01:44.653000,HARD,33.0,1.0,,
VER,Red Bull Racing,34.0,0 days 00:01:44.790000,HARD,34.0,1.0,,
