Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,40.0,0 days 02:11:32.561000,,HARD,40.0
RUS,Mercedes,39.0,0 days 02:10:00.892000,,HARD,39.0
SAI,Williams,27.0,0 days 01:48:59.466000,,MEDIUM,32.0
ANT,Mercedes,18.0,0 days 01:33:11.151000,,MEDIUM,23.0
LAW,Racing Bulls,20.0,0 days 01:36:43.539000,,MEDIUM,26.0
TSU,Red Bull Racing,38.0,0 days 02:08:25.366000,,HARD,38.0
NOR,McLaren,37.0,0 days 02:06:41.705000,,MEDIUM,37.0
HAM,Ferrari,36.0,0 days 02:05:04.310000,,HARD,36.0
LEC,Ferrari,19.0,0 days 01:35:01.298000,,MEDIUM,22.0
HAD,Racing Bulls,29.0,0 days 01:52:53.495000,,MEDIUM,33.0
BOR,Kick Sauber,26.0,0 days 01:47:39.716000,,HARD,26.0
BEA,Haas F1 Team,28.0,0 days 01:51:28.382000,,HARD,28.0
ALB,Williams,1.0,0 days 01:00:03.038000,,MEDIUM,1.0
ALB,Williams,15.0,0 days 01:28:14.747000,,MEDIUM,14.0
OCO,Haas F1 Team,1.0,0 days 00:59:59.603000,,HARD,1.0
OCO,Haas F1 Team,2.0,0 days 01:02:46.419000,0 days 01:00:20.341000,MEDIUM,1.0
ALO,Aston Martin,21.0,0 days 01:38:47.667000,,MEDIUM,24.0
HUL,Kick Sauber,36.0,0 days 02:05:45.149000,,HARD,36.0
STR,Aston Martin,37.0,0 days 02:07:29.077000,,MEDIUM,40.0
GAS,Alpine,35.0,0 days 02:04:04.673000,,HARD,35.0
COL,Alpine,16.0,0 days 01:30:00.346000,,MEDIUM,16.0
