Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
PIA,McLaren,1.0,0 days 00:01:38.693000,SOFT,4.0,1.0,,
PIA,McLaren,2.0,0 days 00:01:37.492000,SOFT,5.0,1.0,,
PIA,McLaren,3.0,0 days 00:01:38.083000,SOFT,6.0,1.0,,
PIA,McLaren,4.0,0 days 00:01:38.133000,SOFT,7.0,1.0,,
PIA,McLaren,5.0,0 days 00:01:38.043000,SOFT,8.0,1.0,,
PIA,McLaren,6.0,0 days 00:01:38.363000,SOFT,9.0,1.0,,
PIA,McLaren,7.0,0 days 00:01:38.498000,SOFT,10.0,1.0,,
PIA,McLaren,8.0,0 days 00:01:38.567000,SOFT,11.0,1.0,,
PIA,McLaren,9.0,0 days 00:01:38.800000,SOFT,12.0,1.0,,
PIA,McLaren,10.0,0 days 00:01:38.549000,SOFT,13.0,1.0,,
PIA,McLaren,11.0,0 days 00:01:38.681000,SOFT,14.0,1.0,,
PIA,McLaren,12.0,0 days 00:01:39.028000,SOFT,15.0,1.0,,
PIA,McLaren,13.0,0 days 00:01:38.763000,SOFT,16.0,1.0,,
PIA,McLaren,14.0,0 days 00:01:41.297000,SOFT,17.0,1.0,0 days 01:18:34.427000,
PIA,McLaren,15.0,0 days 00:01:58.856000,MEDIUM,1.0,3.0,,0 days 01:18:58.980000
PIA,McLaren,16.0,0 days 00:01:38.063000,MEDIUM,2.0,3.0,,
PIA,McLaren,17.0,0 days 00:01:37.733000,MEDIUM,3.0,3.0,,
PIA,McLaren,18.0,0 days 00:01:37.688000,MEDIUM,4.0,1.0,,
PIA,McLaren,19.0,0 days 00:01:37.891000,MEDIUM,5.0,1.0,,
PIA,McLaren,20.0,0 days 00:01:37.504000,MEDIUM,6.0,1.0,,
PIA,McLaren,21.0,0 days 00:01:37.712000,MEDIUM,7.0,1.0,,
PIA,McLaren,22.0,0 days 00:01:37.142000,MEDIUM,8.0,1.0,,
PIA,McLaren,23.0,0 days 00:01:37.933000,MEDIUM,9.0,1.0,,
PIA,McLaren,24.0,0 days 00:01:37.634000,MEDIUM,10.0,1.0,,
PIA,McLaren,25.0,0 days 00:01:37.811000,MEDIUM,11.0,1.0,,
PIA,McLaren,26.0,0 days 00:01:37.390000,MEDIUM,12.0,1.0,,
PIA,McLaren,27.0,0 days 00:01:37.579000,MEDIUM,13.0,1.0,,
PIA,McLaren,28.0,0 days 00:01:37.693000,MEDIUM,14.0,1.0,,
PIA,McLaren,29.0,0 days 00:01:37.677000,MEDIUM,15.0,1.0,,
PIA,McLaren,30.0,0 days 00:01:37.811000,MEDIUM,16.0,1.0,,
PIA,McLaren,31.0,0 days 00:01:37.556000,MEDIUM,17.0,1.0,,
PIA,McLaren,32.0,0 days 00:01:48.702000,MEDIUM,18.0,1.0,0 days 01:48:24.783000,
PIA,McLaren,33.0,,MEDIUM,1.0,1.0,,0 days 01:48:49.751000
PIA,McLaren,34.0,0 days 00:02:20.563000,MEDIUM,2.0,1.0,,
PIA,McLaren,35.0,0 days 00:02:26.233000,MEDIUM,3.0,1.0,,
PIA,McLaren,36.0,0 days 00:01:35.140000,MEDIUM,4.0,1.0,,
PIA,McLaren,37.0,0 days 00:01:35.375000,MEDIUM,5.0,1.0,,
PIA,McLaren,38.0,0 days 00:01:35.997000,MEDIUM,6.0,1.0,,
PIA,McLaren,39.0,0 days 00:01:36.174000,MEDIUM,7.0,1.0,,
PIA,McLaren,40.0,0 days 00:01:36.360000,MEDIUM,8.0,1.0,,
PIA,McLaren,41.0,0 days 00:01:36.326000,MEDIUM,9.0,1.0,,
PIA,McLaren,42.0,0 days 00:01:36.249000,MEDIUM,10.0,1.0,,
PIA,McLaren,43.0,0 days 00:01:36.118000,MEDIUM,11.0,1.0,,
PIA,McLaren,44.0,0 days 00:01:36.289000,MEDIUM,12.0,1.0,,
PIA,McLaren,45.0,0 days 00:01:36.035000,MEDIUM,13.0,1.0,,
PIA,McLaren,46.0,0 days 00:01:35.898000,MEDIUM,14.0,1.0,,
PIA,McLaren,47.0,0 days 00:01:36.090000,MEDIUM,15.0,1.0,,
PIA,McLaren,48.0,0 days 00:01:36.357000,MEDIUM,16.0,1.0,,
PIA,McLaren,49.0,0 days 00:01:36.815000,MEDIUM,17.0,1.0,,
PIA,McLaren,50.0,0 days 00:01:36.263000,MEDIUM,18.0,1.0,,
PIA,McLaren,51.0,0 days 00:01:36.105000,MEDIUM,19.0,1.0,,
PIA,McLaren,52.0,0 days 00:01:35.961000,MEDIUM,20.0,1.0,,
PIA,McLaren,53.0,0 days 00:01:36.333000,MEDIUM,21.0,1.0,,
PIA,McLaren,54.0,0 days 00:01:36.229000,MEDIUM,22.0,1.0,,
PIA,McLaren,55.0,0 days 00:01:36.259000,MEDIUM,23.0,1.0,,
PIA,McLaren,56.0,0 days 00:01:36.243000,MEDIUM,24.0,1.0,,
PIA,McLaren,57.0,0 days 00:01:36.588000,MEDIUM,25.0,1.0,,
RUS,Mercedes,1.0,0 days 00:01:39.582000,SOFT,4.0,2.0,,
RUS,Mercedes,2.0,0 days 00:01:37.817000,SOFT,5.0,2.0,,
RUS,Mercedes,3.0,0 days 00:01:38.286000,SOFT,6.0,2.0,,
RUS,Mercedes,4.0,0 days 00:01:38.378000,SOFT,7.0,2.0,,
RUS,Mercedes,5.0,0 days 00:01:38.604000,SOFT,8.0,2.0,,
RUS,Mercedes,6.0,0 days 00:01:38.467000,SOFT,9.0,2.0,,
RUS,Mercedes,7.0,0 days 00:01:38.686000,SOFT,10.0,2.0,,
RUS,Mercedes,8.0,0 days 00:01:39.007000,SOFT,11.0,2.0,,
RUS,Mercedes,9.0,0 days 00:01:38.900000,SOFT,12.0,2.0,,
RUS,Mercedes,10.0,0 days 00:01:38.889000,SOFT,13.0,2.0,,
RUS,Mercedes,11.0,0 days 00:01:39.152000,SOFT,14.0,2.0,,
RUS,Mercedes,12.0,0 days 00:01:39.098000,SOFT,15.0,2.0,,
RUS,Mercedes,13.0,0 days 00:01:41.867000,SOFT,16.0,3.0,0 days 01:17:00.288000,
RUS,Mercedes,14.0,0 days 00:01:57.315000,MEDIUM,1.0,6.0,,0 days 01:17:24.227000
RUS,Mercedes,15.0,0 days 00:01:37.828000,MEDIUM,2.0,4.0,,
