Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
PIA,McLaren,1.0,0 days 00:03:05.558000,INTERMEDIATE,1.0,2.0,,0 days 02:14:45.252000
PIA,McLaren,2.0,,INTERMEDIATE,2.0,2.0,,
PIA,McLaren,3.0,,INTERMEDIATE,3.0,2.0,,
PIA,McLaren,4.0,,INTERMEDIATE,4.0,2.0,,
PIA,McLaren,5.0,0 days 00:01:59.092000,INTERMEDIATE,5.0,1.0,,
PIA,McLaren,6.0,0 days 00:01:59.215000,INTERMEDIATE,6.0,1.0,,
PIA,McLaren,7.0,0 days 00:01:59.768000,INTERMEDIATE,7.0,1.0,,
PIA,McLaren,8.0,0 days 00:02:00.611000,INTERMEDIATE,8.0,1.0,,
PIA,McLaren,9.0,0 days 00:02:01.409000,INTERMEDIATE,9.0,1.0,,
PIA,McLaren,10.0,0 days 00:02:02.104000,INTERMEDIATE,10.0,1.0,,
PIA,McLaren,11.0,0 days 00:02:01.466000,INTERMEDIATE,11.0,1.0,,
PIA,McLaren,12.0,0 days 00:02:06.019000,INTERMEDIATE,12.0,2.0,0 days 02:42:31.751000,
PIA,McLaren,13.0,0 days 00:02:10.324000,MEDIUM,1.0,2.0,,0 days 02:42:55.576000
PIA,McLaren,14.0,0 days 00:01:50.884000,MEDIUM,2.0,1.0,,
PIA,McLaren,15.0,0 days 00:01:49.089000,MEDIUM,3.0,1.0,,
PIA,McLaren,16.0,0 days 00:01:47.694000,MEDIUM,4.0,1.0,,
PIA,McLaren,17.0,0 days 00:01:47.251000,MEDIUM,5.0,1.0,,
PIA,McLaren,18.0,0 days 00:01:47.032000,MEDIUM,6.0,1.0,,
PIA,McLaren,19.0,0 days 00:01:46.762000,MEDIUM,7.0,1.0,,
PIA,McLaren,20.0,0 days 00:01:46.790000,MEDIUM,8.0,1.0,,
PIA,McLaren,21.0,0 days 00:01:46.486000,MEDIUM,9.0,1.0,,
PIA,McLaren,22.0,0 days 00:01:46.300000,MEDIUM,10.0,1.0,,
PIA,McLaren,23.0,0 days 00:01:46.433000,MEDIUM,11.0,1.0,,
PIA,McLaren,24.0,0 days 00:01:46.474000,MEDIUM,12.0,1.0,,
PIA,McLaren,25.0,0 days 00:01:46.415000,MEDIUM,13.0,1.0,,
PIA,McLaren,26.0,0 days 00:01:46.407000,MEDIUM,14.0,1.0,,
PIA,McLaren,27.0,0 days 00:01:46.243000,MEDIUM,15.0,1.0,,
PIA,McLaren,28.0,0 days 00:01:46.462000,MEDIUM,16.0,1.0,,
PIA,McLaren,29.0,0 days 00:01:46.171000,MEDIUM,17.0,1.0,,
PIA,McLaren,30.0,0 days 00:01:46.205000,MEDIUM,18.0,1.0,,
PIA,McLaren,31.0,0 days 00:01:46.242000,MEDIUM,19.0,1.0,,
PIA,McLaren,32.0,0 days 00:01:46.358000,MEDIUM,20.0,1.0,,
PIA,McLaren,33.0,0 days 00:01:46.663000,MEDIUM,21.0,1.0,,
PIA,McLaren,34.0,0 days 00:01:46.358000,MEDIUM,22.0,1.0,,
PIA,McLaren,35.0,0 days 00:01:46.444000,MEDIUM,23.0,1.0,,
PIA,McLaren,36.0,0 days 00:01:46.577000,MEDIUM,24.0,1.0,,
PIA,McLaren,37.0,0 days 00:01:46.483000,MEDIUM,25.0,1.0,,
PIA,McLaren,38.0,0 days 00:01:46.347000,MEDIUM,26.0,1.0,,
PIA,McLaren,39.0,0 days 00:01:46.498000,MEDIUM,27.0,1.0,,
PIA,McLaren,40.0,0 days 00:01:46.326000,MEDIUM,28.0,1.0,,
PIA,McLaren,41.0,0 days 00:01:46.144000,MEDIUM,29.0,1.0,,
PIA,McLaren,42.0,0 days 00:01:45.933000,MEDIUM,30.0,1.0,,
PIA,McLaren,43.0,0 days 00:01:45.706000,MEDIUM,31.0,1.0,,
PIA,McLaren,44.0,0 days 00:01:47.821000,MEDIUM,32.0,1.0,,
NOR,McLaren,1.0,0 days 00:03:04.619000,INTERMEDIATE,1.0,1.0,,0 days 02:14:41.752000
NOR,McLaren,2.0,,INTERMEDIATE,2.0,1.0,,
NOR,McLaren,3.0,,INTERMEDIATE,3.0,1.0,,
NOR,McLaren,4.0,,INTERMEDIATE,4.0,1.0,,
NOR,McLaren,5.0,0 days 00:02:00.568000,INTERMEDIATE,5.0,2.0,,
NOR,McLaren,6.0,0 days 00:01:59.136000,INTERMEDIATE,6.0,2.0,,
NOR,McLaren,7.0,0 days 00:01:59.859000,INTERMEDIATE,7.0,2.0,,
NOR,McLaren,8.0,0 days 00:02:00.747000,INTERMEDIATE,8.0,2.0,,
NOR,McLaren,9.0,0 days 00:02:01.841000,INTERMEDIATE,9.0,2.0,,
NOR,McLaren,10.0,0 days 00:02:02.285000,INTERMEDIATE,10.0,2.0,,
NOR,McLaren,11.0,0 days 00:02:01.576000,INTERMEDIATE,11.0,2.0,,
NOR,McLaren,12.0,0 days 00:02:00.458000,INTERMEDIATE,12.0,1.0,,
NOR,McLaren,13.0,0 days 00:02:02.962000,INTERMEDIATE,13.0,1.0,0 days 02:44:31.199000,
NOR,McLaren,14.0,0 days 00:02:10.916000,HARD,1.0,2.0,,0 days 02:44:55.556000
NOR,McLaren,15.0,0 days 00:01:48.961000,HARD,2.0,2.0,,
