Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
PIA,McLaren,12.0,0 days 02:42:31.751000,,INTERMEDIATE,12.0
NOR,McLaren,13.0,0 days 02:44:31.199000,,INTERMEDIATE,13.0
LEC,Ferrari,12.0,0 days 02:42:42.092000,,INTERMEDIATE,12.0
VER,Red Bull Racing,12.0,0 days 02:42:42.509000,,INTERMEDIATE,12.0
RUS,Mercedes,12.0,0 days 02:42:46.609000,,INTERMEDIATE,12.0
ALB,Williams,12.0,0 days 02:42:48.435000,,INTERMEDIATE,12.0
HAM,Ferrari,11.0,0 days 02:40:59.936000,,INTERMEDIATE,11.0
LAW,Racing Bulls,12.0,0 days 02:42:55.029000,,INTERMEDIATE,12.0
BOR,Kick Sauber,12.0,0 days 02:42:57.217000,,INTERMEDIATE,12.0
GAS,Alpine,11.0,0 days 02:41:02.999000,,INTERMEDIATE,11.0
BEA,Haas F1 Team,12.0,0 days 02:42:58.076000,,INTERMEDIATE,12.0
HUL,Kick Sauber,11.0,0 days 02:41:03.577000,,INTERMEDIATE,11.0
HUL,Kick Sauber,32.0,0 days 03:19:34.128000,,MEDIUM,21.0
TSU,Red Bull Racing,13.0,0 days 02:44:54.915000,,INTERMEDIATE,13.0
STR,Aston Martin,12.0,0 days 02:43:10.435000,,INTERMEDIATE,12.0
OCO,Haas F1 Team,13.0,0 days 02:45:06.946000,,INTERMEDIATE,13.0
ANT,Mercedes,12.0,0 days 02:43:09.607000,,INTERMEDIATE,12.0
ANT,Mercedes,30.0,0 days 03:16:05.447000,,MEDIUM,18.0
ALO,Aston Martin,11.0,0 days 02:41:06.983000,,INTERMEDIATE,11.0
ALO,Aston Martin,29.0,0 days 03:14:19.358000,,MEDIUM,18.0
SAI,Williams,12.0,0 days 02:43:07.529000,,INTERMEDIATE,12.0
SAI,Williams,26.0,0 days 03:09:04.295000,,MEDIUM,14.0
COL,Alpine,12.0,0 days 02:43:07.154000,,INTERMEDIATE,12.0
COL,Alpine,28.0,0 days 03:12:40.319000,,MEDIUM,16.0
HAD,Racing Bulls,13.0,0 days 02:44:56.400000,,INTERMEDIATE,13.0
HAD,Racing Bulls,20.0,0 days 02:58:13.418000,,MEDIUM,10.0
