Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:27.191000,HARD,1.0,18.0,,0 days 00:57:08.347000
VER,Red Bull Racing,2.0,0 days 00:02:00.413000,HARD,2.0,17.0,,
VER,Red Bull Racing,3.0,0 days 00:01:49.007000,HARD,3.0,16.0,,
VER,Red Bull Racing,4.0,0 days 00:01:46.620000,HARD,4.0,16.0,,
VER,Red Bull Racing,5.0,0 days 00:01:47.889000,HARD,5.0,16.0,,
VER,Red Bull Racing,6.0,0 days 00:01:18.495000,HARD,6.0,13.0,,
VER,Red Bull Racing,7.0,0 days 00:01:47.461000,HARD,7.0,17.0,0 days 01:08:48.918000,
VER,Red Bull Racing,8.0,0 days 00:01:44.348000,MEDIUM,1.0,18.0,,0 days 01:09:12.204000
VER,Red Bull Racing,9.0,0 days 00:01:13.141000,MEDIUM,2.0,16.0,,
VER,Red Bull Racing,10.0,0 days 00:01:13.049000,MEDIUM,3.0,16.0,,
VER,Red Bull Racing,11.0,0 days 00:01:13.735000,MEDIUM,4.0,16.0,,
VER,Red Bull Racing,12.0,0 days 00:01:14.816000,MEDIUM,5.0,16.0,,
VER,Red Bull Racing,13.0,0 days 00:01:15.065000,MEDIUM,6.0,14.0,,
VER,Red Bull Racing,14.0,0 days 00:01:15.081000,MEDIUM,7.0,14.0,,
VER,Red Bull Racing,15.0,0 days 00:01:15.354000,MEDIUM,8.0,13.0,,
VER,Red Bull Racing,16.0,0 days 00:01:15.725000,MEDIUM,9.0,13.0,,
VER,Red Bull Racing,17.0,0 days 00:01:15.809000,MEDIUM,10.0,10.0,,
VER,Red Bull Racing,18.0,0 days 00:01:15.048000,MEDIUM,11.0,8.0,,
VER,Red Bull Racing,19.0,0 days 00:01:15.170000,MEDIUM,12.0,6.0,,
VER,Red Bull Racing,20.0,0 days 00:01:15.162000,MEDIUM,13.0,6.0,,
VER,Red Bull Racing,21.0,0 days 00:01:14.829000,MEDIUM,14.0,5.0,,
VER,Red Bull Racing,22.0,0 days 00:01:14.948000,MEDIUM,15.0,4.0,,
VER,Red Bull Racing,23.0,0 days 00:01:14.727000,MEDIUM,16.0,4.0,,
VER,Red Bull Racing,24.0,0 days 00:01:14.769000,MEDIUM,17.0,4.0,,
VER,Red Bull Racing,25.0,0 days 00:01:14.828000,MEDIUM,18.0,4.0,,
VER,Red Bull Racing,26.0,0 days 00:01:15.193000,MEDIUM,19.0,4.0,,
VER,Red Bull Racing,27.0,0 days 00:01:14.912000,MEDIUM,20.0,4.0,,
VER,Red Bull Racing,28.0,0 days 00:01:15.306000,MEDIUM,21.0,4.0,,
VER,Red Bull Racing,29.0,0 days 00:01:15.165000,MEDIUM,22.0,4.0,,
VER,Red Bull Racing,30.0,0 days 00:01:14.965000,MEDIUM,23.0,4.0,,
VER,Red Bull Racing,31.0,0 days 00:01:15.164000,MEDIUM,24.0,3.0,,
VER,Red Bull Racing,32.0,0 days 00:01:15.330000,MEDIUM,25.0,4.0,,
VER,Red Bull Racing,33.0,0 days 00:01:16.145000,MEDIUM,26.0,4.0,,
VER,Red Bull Racing,34.0,0 days 00:01:19.344000,MEDIUM,27.0,5.0,0 days 01:43:06.142000,
VER,Red Bull Racing,35.0,0 days 00:01:31.337000,MEDIUM,1.0,11.0,,0 days 01:43:29.172000
VER,Red Bull Racing,36.0,0 days 00:01:13.307000,MEDIUM,2.0,9.0,,
VER,Red Bull Racing,37.0,0 days 00:01:14.006000,MEDIUM,3.0,6.0,,
VER,Red Bull Racing,38.0,0 days 00:01:13.528000,MEDIUM,4.0,6.0,,
VER,Red Bull Racing,39.0,0 days 00:01:13.586000,MEDIUM,5.0,5.0,,
VER,Red Bull Racing,40.0,0 days 00:01:13.678000,MEDIUM,6.0,5.0,,
VER,Red Bull Racing,41.0,0 days 00:01:13.659000,MEDIUM,7.0,5.0,,
VER,Red Bull Racing,42.0,0 days 00:01:13.689000,MEDIUM,8.0,4.0,,
VER,Red Bull Racing,43.0,0 days 00:01:13.415000,MEDIUM,9.0,4.0,,
VER,Red Bull Racing,44.0,0 days 00:01:13.552000,MEDIUM,10.0,4.0,,
VER,Red Bull Racing,45.0,0 days 00:01:13.844000,MEDIUM,11.0,4.0,,
VER,Red Bull Racing,46.0,0 days 00:01:13.843000,MEDIUM,12.0,4.0,,
VER,Red Bull Racing,47.0,0 days 00:01:14.022000,MEDIUM,13.0,4.0,,
VER,Red Bull Racing,48.0,0 days 00:01:13.810000,MEDIUM,14.0,2.0,,
VER,Red Bull Racing,49.0,0 days 00:01:13.717000,MEDIUM,15.0,2.0,,
VER,Red Bull Racing,50.0,0 days 00:01:13.848000,MEDIUM,16.0,2.0,,
VER,Red Bull Racing,51.0,0 days 00:01:13.658000,MEDIUM,17.0,1.0,,
VER,Red Bull Racing,52.0,0 days 00:01:13.992000,MEDIUM,18.0,1.0,,
VER,Red Bull Racing,53.0,0 days 00:01:14.128000,MEDIUM,19.0,1.0,,
VER,Red Bull Racing,54.0,0 days 00:01:17.514000,MEDIUM,20.0,1.0,0 days 02:08:02.145000,
VER,Red Bull Racing,55.0,0 days 00:01:30.317000,SOFT,1.0,4.0,,0 days 02:08:25.635000
VER,Red Bull Racing,56.0,0 days 00:01:12.447000,SOFT,2.0,4.0,,
VER,Red Bull Racing,57.0,0 days 00:01:12.582000,SOFT,3.0,4.0,,
VER,Red Bull Racing,58.0,0 days 00:01:12.966000,SOFT,4.0,4.0,,
VER,Red Bull Racing,59.0,0 days 00:01:12.833000,SOFT,5.0,4.0,,
VER,Red Bull Racing,60.0,0 days 00:01:13.212000,SOFT,6.0,4.0,,
VER,Red Bull Racing,61.0,0 days 00:01:13.136000,SOFT,7.0,4.0,,
VER,Red Bull Racing,62.0,0 days 00:01:13.296000,SOFT,8.0,4.0,,
VER,Red Bull Racing,63.0,0 days 00:01:13.401000,SOFT,9.0,3.0,,
VER,Red Bull Racing,64.0,0 days 00:01:13.216000,SOFT,10.0,3.0,,
VER,Red Bull Racing,65.0,0 days 00:01:13.124000,SOFT,11.0,3.0,,
VER,Red Bull Racing,66.0,0 days 00:01:13.469000,SOFT,12.0,3.0,,
VER,Red Bull Racing,67.0,0 days 00:01:13.463000,SOFT,13.0,3.0,,
