Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:22.549000,MEDIUM,4.0,2.0,,
VER,Red Bull Racing,2.0,0 days 00:01:16.418000,MEDIUM,5.0,2.0,,
VER,Red Bull Racing,3.0,0 days 00:01:16.094000,MEDIUM,6.0,2.0,,
VER,Red Bull Racing,4.0,0 days 00:01:15.925000,MEDIUM,7.0,2.0,,
VER,Red Bull Racing,5.0,0 days 00:01:15.901000,MEDIUM,8.0,2.0,,
VER,Red Bull Racing,6.0,0 days 00:01:16.531000,MEDIUM,9.0,2.0,,
VER,Red Bull Racing,7.0,0 days 00:01:16.600000,MEDIUM,10.0,2.0,,
VER,Red Bull Racing,8.0,0 days 00:01:16.640000,MEDIUM,11.0,2.0,,
VER,Red Bull Racing,9.0,0 days 00:01:16.762000,MEDIUM,12.0,2.0,,
VER,Red Bull Racing,10.0,0 days 00:01:16.680000,MEDIUM,13.0,2.0,,
VER,Red Bull Racing,11.0,0 days 00:01:16.991000,MEDIUM,14.0,2.0,,
VER,Red Bull Racing,12.0,0 days 00:01:33.110000,MEDIUM,15.0,9.0,0 days 01:13:18.038000,
VER,Red Bull Racing,13.0,0 days 00:01:19.048000,HARD,1.0,9.0,,0 days 01:13:41.716000
VER,Red Bull Racing,14.0,0 days 00:01:15.943000,HARD,2.0,8.0,,
VER,Red Bull Racing,15.0,0 days 00:01:16.352000,HARD,3.0,5.0,,
VER,Red Bull Racing,16.0,0 days 00:01:16.004000,HARD,4.0,4.0,,
VER,Red Bull Racing,17.0,0 days 00:01:15.903000,HARD,5.0,4.0,,
VER,Red Bull Racing,18.0,0 days 00:01:16.005000,HARD,6.0,4.0,,
VER,Red Bull Racing,19.0,0 days 00:01:15.787000,HARD,7.0,4.0,,
VER,Red Bull Racing,20.0,0 days 00:01:15.769000,HARD,8.0,4.0,,
VER,Red Bull Racing,21.0,0 days 00:01:15.715000,HARD,9.0,4.0,,
VER,Red Bull Racing,22.0,0 days 00:01:15.716000,HARD,10.0,4.0,,
VER,Red Bull Racing,23.0,0 days 00:01:15.824000,HARD,11.0,4.0,,
VER,Red Bull Racing,24.0,0 days 00:01:15.774000,HARD,12.0,4.0,,
VER,Red Bull Racing,25.0,0 days 00:01:15.738000,HARD,13.0,4.0,,
VER,Red Bull Racing,26.0,0 days 00:01:15.715000,HARD,14.0,4.0,,
