Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,12.0,0 days 01:13:18.038000,,MEDIUM,15.0
VER,37.0,0 days 01:45:15.788000,,HARD,25.0
VER,67.0,0 days 02:23:20.428000,,HARD,30.0
VER,68.0,0 days 02:25:24.736000,0 days 02:23:38.616000,HARD,31.0
VER,69.0,0 days 02:27:29.424000,0 days 02:25:43.895000,HARD,32.0
GAS,53.0,0 days 02:06:49.789000,,HARD,53.0
GAS,66.0,0 days 02:24:02.772000,,MEDIUM,13.0
GAS,67.0,0 days 02:25:58.223000,0 days 02:24:20.976000,MEDIUM,14.0
GAS,68.0,0 days 02:27:44.940000,0 days 02:26:16.438000,MEDIUM,15.0
ANT,14.0,0 days 01:15:53.561000,,MEDIUM,20.0
ANT,38.0,0 days 01:46:31.523000,,HARD,25.0
ANT,67.0,0 days 02:23:23.475000,,HARD,29.0
ANT,68.0,0 days 02:25:26.109000,0 days 02:23:41.725000,HARD,30.0
ANT,69.0,0 days 02:27:30.534000,0 days 02:25:45.036000,HARD,31.0
ALO,15.0,0 days 01:17:24.467000,,MEDIUM,19.0
ALO,50.0,0 days 02:02:31.159000,,HARD,36.0
ALO,66.0,0 days 02:23:10.069000,,HARD,17.0
ALO,67.0,0 days 02:25:03.867000,0 days 02:23:28.382000,HARD,18.0
ALO,68.0,0 days 02:26:43.158000,0 days 02:25:22.095000,HARD,19.0
ALO,69.0,0 days 02:28:19.831000,0 days 02:27:01.471000,HARD,20.0
LEC,28.0,0 days 01:33:50.589000,,HARD,28.0
LEC,53.0,0 days 02:05:34.226000,,HARD,25.0
LEC,67.0,0 days 02:23:50.538000,,MEDIUM,14.0
LEC,68.0,0 days 02:25:45.567000,0 days 02:24:08.835000,MEDIUM,15.0
LEC,69.0,0 days 02:27:36.331000,0 days 02:26:03.817000,MEDIUM,16.0
STR,24.0,0 days 01:29:22.003000,,HARD,25.0
STR,51.0,0 days 02:04:15.569000,,HARD,28.0
STR,66.0,0 days 02:24:06.116000,,MEDIUM,15.0
STR,67.0,0 days 02:26:07.598000,0 days 02:24:29.937000,SOFT,1.0
STR,68.0,0 days 02:27:49.487000,0 days 02:26:25.908000,SOFT,2.0
TSU,56.0,0 days 02:10:27.400000,,HARD,56.0
TSU,66.0,0 days 02:23:55.772000,,MEDIUM,10.0
TSU,67.0,0 days 02:25:53.130000,0 days 02:24:14.022000,MEDIUM,11.0
TSU,68.0,0 days 02:27:39.424000,0 days 02:26:11.377000,MEDIUM,12.0
ALB,23.0,0 days 01:28:05.116000,,MEDIUM,27.0
HUL,19.0,0 days 01:22:39.677000,,MEDIUM,19.0
HUL,66.0,0 days 02:23:14.178000,,HARD,47.0
HUL,67.0,0 days 02:25:06.621000,0 days 02:23:32.538000,HARD,48.0
HUL,68.0,0 days 02:26:45.690000,0 days 02:25:24.880000,HARD,49.0
HUL,69.0,0 days 02:28:22.597000,0 days 02:27:04.096000,HARD,50.0
LAW,38.0,0 days 01:47:31.321000,,HARD,39.0
LAW,54.0,0 days 02:08:45.587000,,MEDIUM,16.0
OCO,57.0,0 days 02:11:33.613000,,HARD,57.0
OCO,66.0,0 days 02:23:31.335000,,MEDIUM,9.0
OCO,67.0,0 days 02:25:28.401000,0 days 02:23:49.522000,MEDIUM,10.0
OCO,68.0,0 days 02:27:31.752000,0 days 02:25:46.630000,MEDIUM,11.0
NOR,29.0,0 days 01:35:04.240000,,HARD,29.0
NOR,47.0,0 days 01:57:57.048000,,MEDIUM,18.0
COL,14.0,0 days 01:16:12.702000,,MEDIUM,19.0
COL,66.0,0 days 02:23:58.429000,,HARD,52.0
COL,67.0,0 days 02:25:55.364000,0 days 02:24:16.616000,HARD,53.0
COL,68.0,0 days 02:27:41.206000,0 days 02:26:13.533000,HARD,54.0
HAM,15.0,0 days 01:17:16.765000,,MEDIUM,15.0
HAM,45.0,0 days 01:55:47.543000,,HARD,30.0
HAM,67.0,0 days 02:24:22.413000,,HARD,22.0
HAM,68.0,0 days 02:26:13.122000,0 days 02:24:40.745000,HARD,23.0
HAM,69.0,0 days 02:27:50.909000,0 days 02:26:31.377000,HARD,24.0
BOR,49.0,0 days 02:01:38.612000,,HARD,49.0
