Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
NOR,McLaren,2.0,0 days 01:05:14.626000,,INTERMEDIATE,2.0
NOR,McLaren,15.0,0 days 01:22:31.004000,,MEDIUM,13.0
GAS,Alpine,30.0,0 days 01:42:14.245000,,MEDIUM,30.0
PER,Cadillac,2.0,0 days 01:05:31.792000,,INTERMEDIATE,2.0
PER,Cadillac,15.0,0 days 01:23:07.248000,,SOFT,13.0
PER,Cadillac,29.0,0 days 01:42:06.246000,,MEDIUM,14.0
PER,Cadillac,40.0,0 days 01:57:22.657000,,SOFT,11.0
ANT,Mercedes,31.0,0 days 01:42:36.253000,,SOFT,35.0
ALO,Aston Martin,20.0,0 days 01:29:34.909000,,SOFT,20.0
ALO,Aston Martin,24.0,0 days 01:35:18.696000,,SOFT,4.0
LEC,Ferrari,31.0,0 days 01:42:55.080000,,SOFT,35.0
STR,Aston Martin,14.0,0 days 01:21:49.716000,,SOFT,14.0
STR,Aston Martin,49.0,0 days 02:10:11.608000,,SOFT,35.0
HUL,Audi,2.0,0 days 01:05:26.104000,,INTERMEDIATE,2.0
HUL,Audi,20.0,0 days 01:29:23.472000,,SOFT,22.0
VER,Red Bull Racing,31.0,0 days 01:42:42.217000,,SOFT,36.0
LAW,Racing Bulls,30.0,0 days 01:42:08.207000,,MEDIUM,30.0
OCO,Haas F1 Team,16.0,0 days 01:24:12.564000,,SOFT,16.0
OCO,Haas F1 Team,30.0,0 days 01:43:38.334000,,MEDIUM,14.0
COL,Alpine,30.0,0 days 01:41:53.114000,,MEDIUM,30.0
HAM,Ferrari,31.0,0 days 01:42:53.424000,,SOFT,34.0
BOR,Audi,2.0,0 days 01:05:28.994000,,INTERMEDIATE,2.0
BOR,Audi,18.0,0 days 01:26:54.006000,,SOFT,16.0
SAI,Williams,2.0,0 days 01:05:30.088000,,INTERMEDIATE,2.0
SAI,Williams,30.0,0 days 01:42:28.362000,,MEDIUM,36.0
HAD,Red Bull Racing,31.0,0 days 01:42:57.689000,,SOFT,35.0
HAD,Red Bull Racing,52.0,0 days 02:10:34.905000,,MEDIUM,21.0
HAD,Red Bull Racing,62.0,0 days 02:23:59.361000,,SOFT,14.0
BOT,Cadillac,3.0,0 days 01:07:00.092000,,INTERMEDIATE,3.0
BOT,Cadillac,9.0,0 days 01:15:33.182000,,SOFT,6.0
BOT,Cadillac,29.0,0 days 01:43:22.299000,,MEDIUM,20.0
BOT,Cadillac,49.0,0 days 02:11:01.607000,,SOFT,20.0
PIA,McLaren,1.0,0 days 01:03:55.522000,,INTERMEDIATE,1.0
PIA,McLaren,12.0,0 days 01:18:45.068000,,MEDIUM,11.0
PIA,McLaren,51.0,0 days 02:10:58.956000,,MEDIUM,43.0
BEA,Haas F1 Team,30.0,0 days 01:42:19.133000,,SOFT,35.0
