Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
PIA,14.0,0 days 01:21:57.540000,,MEDIUM,14.0
NOR,15.0,0 days 01:23:39.074000,,MEDIUM,15.0
RUS,14.0,0 days 01:22:03.037000,,MEDIUM,14.0
VER,13.0,0 days 01:20:33.047000,,MEDIUM,13.0
OCO,11.0,0 days 01:17:22.490000,,MEDIUM,11.0
ANT,12.0,0 days 01:18:57.833000,,MEDIUM,12.0
ALB,20.0,0 days 01:32:12.597000,,MEDIUM,20.0
BEA,26.0,0 days 01:42:12.972000,,HARD,26.0
STR,36.0,0 days 01:58:33.495000,,HARD,36.0
SAI,17.0,0 days 01:27:22.188000,,MEDIUM,17.0
HAD,12.0,0 days 01:19:00.039000,,MEDIUM,12.0
HAD,33.0,0 days 01:53:47.902000,,HARD,21.0
LAW,18.0,0 days 01:29:06.016000,,HARD,18.0
LAW,30.0,0 days 01:49:04.139000,,MEDIUM,12.0
DOO,11.0,0 days 01:17:28.472000,,MEDIUM,11.0
BOR,1.0,0 days 01:01:05.064000,,MEDIUM,1.0
BOR,26.0,0 days 01:42:47.676000,,HARD,25.0
HUL,20.0,0 days 01:32:40.897000,,MEDIUM,20.0
TSU,11.0,0 days 01:17:20.041000,,MEDIUM,11.0
TSU,35.0,0 days 01:56:58.016000,,HARD,24.0
TSU,46.0,0 days 02:15:11.330000,,HARD,11.0
ALO,4.0,0 days 01:06:26.536000,,MEDIUM,9.0
LEC,15.0,0 days 01:23:44.244000,,MEDIUM,15.0
HAM,13.0,0 days 01:20:27.674000,,MEDIUM,13.0
HAM,37.0,0 days 01:59:50.459000,,HARD,24.0
GAS,10.0,0 days 01:15:44.821000,,MEDIUM,10.0
