Driver,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
GAS,1.0,0 days 00:01:42.591000,MEDIUM,1.0,5.0,,
GAS,2.0,0 days 00:01:38.917000,MEDIUM,2.0,5.0,,
GAS,3.0,0 days 00:01:38.923000,MEDIUM,3.0,5.0,,
GAS,4.0,0 days 00:01:38.717000,MEDIUM,4.0,5.0,,
GAS,5.0,0 days 00:01:38.474000,MEDIUM,5.0,5.0,,
GAS,6.0,0 days 00:01:38.298000,MEDIUM,6.0,5.0,,
GAS,7.0,0 days 00:01:38.635000,MEDIUM,7.0,5.0,,
GAS,8.0,0 days 00:01:38.427000,MEDIUM,8.0,5.0,,
GAS,9.0,0 days 00:01:38.609000,MEDIUM,9.0,5.0,,
GAS,10.0,0 days 00:01:52.994000,MEDIUM,10.0,5.0,0 days 01:13:07.031000,
GAS,11.0,,HARD,1.0,9.0,,0 days 01:13:30.471000
GAS,12.0,,HARD,2.0,9.0,,
GAS,13.0,0 days 00:02:25.559000,HARD,3.0,9.0,,
GAS,14.0,0 days 00:01:40.408000,HARD,4.0,10.0,,
GAS,15.0,0 days 00:01:38.883000,HARD,5.0,10.0,,
GAS,16.0,0 days 00:01:38.644000,HARD,6.0,9.0,,
GAS,17.0,0 days 00:01:38.238000,HARD,7.0,8.0,,
GAS,18.0,0 days 00:01:37.593000,HARD,8.0,8.0,,
GAS,19.0,0 days 00:01:39.325000,HARD,9.0,8.0,,
GAS,20.0,0 days 00:01:39.504000,HARD,10.0,9.0,,
GAS,21.0,0 days 00:01:39.208000,HARD,11.0,9.0,,
GAS,22.0,0 days 00:01:39.338000,HARD,12.0,10.0,,
GAS,23.0,0 days 00:01:38.067000,HARD,13.0,9.0,,
GAS,24.0,0 days 00:01:38.373000,HARD,14.0,9.0,,
GAS,25.0,0 days 00:01:38.568000,HARD,15.0,9.0,,
GAS,26.0,0 days 00:01:37.820000,HARD,16.0,9.0,,
GAS,27.0,0 days 00:01:38.163000,HARD,17.0,9.0,,
GAS,28.0,0 days 00:01:38.225000,HARD,18.0,8.0,,
GAS,29.0,0 days 00:01:37.566000,HARD,19.0,7.0,,
GAS,30.0,0 days 00:01:38.132000,HARD,20.0,7.0,,
GAS,31.0,0 days 00:01:37.634000,HARD,21.0,7.0,,
GAS,32.0,0 days 00:01:37.253000,HARD,22.0,7.0,,
GAS,33.0,0 days 00:01:37.123000,HARD,23.0,7.0,,
GAS,34.0,0 days 00:01:37.193000,HARD,24.0,7.0,,
GAS,35.0,0 days 00:01:37.293000,HARD,25.0,7.0,,
GAS,36.0,0 days 00:01:37.103000,HARD,26.0,7.0,,
GAS,37.0,0 days 00:01:36.752000,HARD,27.0,7.0,,
GAS,38.0,0 days 00:01:36.672000,HARD,28.0,7.0,,
GAS,39.0,0 days 00:01:36.754000,HARD,29.0,7.0,,
GAS,40.0,0 days 00:01:36.865000,HARD,30.0,7.0,,
GAS,41.0,0 days 00:01:37.214000,HARD,31.0,7.0,,
GAS,42.0,0 days 00:01:37.026000,HARD,32.0,7.0,,
GAS,43.0,0 days 00:01:36.877000,HARD,33.0,7.0,,
GAS,44.0,0 days 00:01:36.764000,HARD,34.0,7.0,,
GAS,45.0,0 days 00:01:36.895000,HARD,35.0,6.0,,
GAS,46.0,0 days 00:01:36.748000,HARD,36.0,6.0,,
GAS,47.0,0 days 00:01:37.584000,HARD,37.0,6.0,,
GAS,48.0,0 days 00:01:37.010000,HARD,38.0,6.0,,
GAS,49.0,0 days 00:01:36.752000,HARD,39.0,6.0,,
GAS,50.0,0 days 00:01:37.040000,HARD,40.0,6.0,,
GAS,51.0,0 days 00:01:36.753000,HARD,41.0,6.0,,
GAS,52.0,0 days 00:01:36.642000,HARD,42.0,6.0,,
GAS,53.0,0 days 00:01:36.505000,HARD,43.0,6.0,,
GAS,54.0,0 days 00:01:36.682000,HARD,44.0,6.0,,
GAS,55.0,0 days 00:01:36.638000,HARD,45.0,6.0,,
GAS,56.0,0 days 00:01:36.569000,HARD,46.0,6.0,,
PER,1.0,0 days 00:01:55.089000,MEDIUM,1.0,17.0,,
PER,2.0,0 days 00:01:41.066000,MEDIUM,2.0,17.0,,
PER,3.0,0 days 00:01:41.224000,MEDIUM,3.0,17.0,,
PER,4.0,0 days 00:01:40.934000,MEDIUM,4.0,17.0,,
PER,5.0,0 days 00:01:40.978000,MEDIUM,5.0,17.0,,
PER,6.0,0 days 00:01:40.557000,MEDIUM,6.0,17.0,,
PER,7.0,0 days 00:01:40.918000,MEDIUM,7.0,17.0,,
PER,8.0,0 days 00:01:41.103000,MEDIUM,8.0,17.0,,
PER,9.0,0 days 00:01:41.781000,MEDIUM,9.0,17.0,,
PER,10.0,0 days 00:02:01.617000,MEDIUM,10.0,13.0,,
PER,11.0,0 days 00:02:18.719000,MEDIUM,11.0,12.0,0 days 01:16:06.575000,
PER,12.0,0 days 00:02:17.935000,HARD,1.0,16.0,,0 days 01:16:32.816000
PER,13.0,0 days 00:02:19.666000,HARD,2.0,16.0,,
PER,14.0,0 days 00:01:41.759000,HARD,3.0,17.0,,
PER,15.0,0 days 00:01:40.004000,HARD,4.0,16.0,,
PER,16.0,0 days 00:01:39.621000,HARD,5.0,16.0,,
PER,17.0,0 days 00:01:42.203000,HARD,6.0,17.0,,
PER,18.0,0 days 00:01:39.321000,HARD,7.0,16.0,,
PER,19.0,0 days 00:01:39.731000,HARD,8.0,16.0,,
PER,20.0,0 days 00:01:40.134000,HARD,9.0,16.0,,
PER,21.0,0 days 00:01:39.682000,HARD,10.0,16.0,,
PER,22.0,0 days 00:01:39.622000,HARD,11.0,16.0,,
PER,23.0,0 days 00:01:39.750000,HARD,12.0,16.0,,
PER,24.0,0 days 00:01:39.736000,HARD,13.0,16.0,,
PER,25.0,0 days 00:01:40.542000,HARD,14.0,16.0,,
PER,26.0,0 days 00:01:40.010000,HARD,15.0,16.0,,
PER,27.0,0 days 00:01:40.307000,HARD,16.0,16.0,,
PER,28.0,0 days 00:01:39.583000,HARD,17.0,16.0,,
PER,29.0,0 days 00:01:40.437000,HARD,18.0,16.0,,
PER,30.0,0 days 00:01:40.016000,HARD,19.0,16.0,,
PER,31.0,0 days 00:01:39.977000,HARD,20.0,16.0,,
PER,32.0,0 days 00:01:39.799000,HARD,21.0,16.0,,
PER,33.0,0 days 00:01:40.106000,HARD,22.0,15.0,,
PER,34.0,0 days 00:01:40.185000,HARD,23.0,16.0,,
PER,35.0,0 days 00:01:39.480000,HARD,24.0,16.0,,
PER,36.0,0 days 00:01:39.551000,HARD,25.0,15.0,,
PER,37.0,0 days 00:01:39.606000,HARD,26.0,15.0,,
PER,38.0,0 days 00:01:40.111000,HARD,27.0,16.0,,
PER,39.0,0 days 00:01:39.616000,HARD,28.0,16.0,,
PER,40.0,0 days 00:01:39.591000,HARD,29.0,16.0,,
PER,41.0,0 days 00:01:40.557000,HARD,30.0,16.0,,
PER,42.0,0 days 00:01:39.127000,HARD,31.0,16.0,,
PER,43.0,0 days 00:01:41.151000,HARD,32.0,16.0,,
PER,44.0,0 days 00:01:43.964000,HARD,33.0,16.0,,
PER,45.0,0 days 00:01:48.834000,HARD,34.0,16.0,,
PER,46.0,0 days 00:01:40.983000,HARD,35.0,15.0,,
PER,47.0,0 days 00:01:39.880000,HARD,36.0,14.0,,
PER,48.0,0 days 00:01:40.227000,HARD,37.0,14.0,,
PER,49.0,0 days 00:01:39.462000,HARD,38.0,14.0,,
PER,50.0,0 days 00:01:38.523000,HARD,39.0,14.0,,
PER,51.0,0 days 00:01:39.014000,HARD,40.0,14.0,,
PER,52.0,0 days 00:01:39.526000,HARD,41.0,15.0,,
PER,53.0,0 days 00:01:38.959000,HARD,42.0,15.0,,
PER,54.0,0 days 00:01:39.076000,HARD,43.0,15.0,,
PER,55.0,0 days 00:01:38.898000,HARD,44.0,15.0,,
ANT,1.0,0 days 00:01:40.137000,MEDIUM,1.0,2.0,,
ANT,2.0,0 days 00:01:38.305000,MEDIUM,2.0,1.0,,
ANT,3.0,0 days 00:01:38.013000,MEDIUM,3.0,1.0,,
ANT,4.0,0 days 00:01:37.394000,MEDIUM,4.0,1.0,,
ANT,5.0,0 days 00:01:37.535000,MEDIUM,5.0,1.0,,
ANT,6.0,0 days 00:01:37.172000,MEDIUM,6.0,1.0,,
ANT,7.0,0 days 00:01:37.412000,MEDIUM,7.0,1.0,,
ANT,8.0,0 days 00:01:37.322000,MEDIUM,8.0,1.0,,
ANT,9.0,0 days 00:01:37.356000,MEDIUM,9.0,1.0,,
ANT,10.0,0 days 00:01:46.671000,MEDIUM,10.0,1.0,0 days 01:12:49.922000,
ANT,11.0,,HARD,1.0,1.0,,0 days 01:13:12.979000
ANT,12.0,0 days 00:02:29.910000,HARD,2.0,1.0,,
ANT,13.0,,HARD,3.0,1.0,,
ANT,14.0,0 days 00:01:38.957000,HARD,4.0,1.0,,
ANT,15.0,0 days 00:01:38.222000,HARD,5.0,1.0,,
ANT,16.0,0 days 00:01:36.604000,HARD,6.0,1.0,,
ANT,17.0,0 days 00:01:36.555000,HARD,7.0,1.0,,
ANT,18.0,0 days 00:01:37.059000,HARD,8.0,1.0,,
ANT,19.0,0 days 00:01:36.816000,HARD,9.0,1.0,,
ANT,20.0,0 days 00:01:36.762000,HARD,10.0,1.0,,
ANT,21.0,0 days 00:01:36.929000,HARD,11.0,1.0,,
ANT,22.0,0 days 00:01:36.612000,HARD,12.0,1.0,,
ANT,23.0,0 days 00:01:36.806000,HARD,13.0,1.0,,
ANT,24.0,0 days 00:01:36.513000,HARD,14.0,1.0,,
