Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
GAS,Alpine,10.0,0 days 01:13:07.031000,,MEDIUM,10.0
PER,Cadillac,11.0,0 days 01:16:06.575000,,MEDIUM,11.0
ANT,Mercedes,10.0,0 days 01:12:49.922000,,MEDIUM,10.0
ALO,Aston Martin,31.0,0 days 01:50:54.634000,,HARD,31.0
ALO,Aston Martin,32.0,0 days 01:53:02.232000,0 days 01:51:17.946000,MEDIUM,1.0
LEC,Ferrari,10.0,0 days 01:13:01.547000,,MEDIUM,10.0
HUL,Audi,35.0,0 days 01:56:57.832000,,HARD,35.0
VER,Red Bull Racing,9.0,0 days 01:11:32.287000,,SOFT,12.0
VER,Red Bull Racing,45.0,0 days 02:13:48.930000,,HARD,36.0
LAW,Racing Bulls,9.0,0 days 01:11:31.865000,,MEDIUM,9.0
OCO,Haas F1 Team,29.0,0 days 01:47:06.330000,,HARD,29.0
OCO,Haas F1 Team,46.0,0 days 02:15:30.912000,,MEDIUM,17.0
LIN,Racing Bulls,42.0,0 days 02:08:44.608000,,HARD,42.0
COL,Alpine,32.0,0 days 01:51:59.626000,,HARD,32.0
HAM,Ferrari,10.0,0 days 01:12:58.531000,,MEDIUM,10.0
SAI,Williams,9.0,0 days 01:11:35.381000,,MEDIUM,9.0
HAD,Red Bull Racing,1.0,0 days 00:58:26.239000,,SOFT,4.0
HAD,Red Bull Racing,10.0,0 days 01:14:05.173000,,HARD,9.0
RUS,Mercedes,10.0,0 days 01:12:57.297000,,MEDIUM,10.0
BOT,Cadillac,10.0,0 days 01:13:45.503000,,MEDIUM,10.0
BEA,Haas F1 Team,10.0,0 days 01:13:24.518000,,MEDIUM,10.0
