Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
NOR,McLaren,1.0,0 days 00:01:30.120000,MEDIUM,1.0,5.0,,
NOR,McLaren,2.0,0 days 00:01:23.964000,MEDIUM,2.0,5.0,,
NOR,McLaren,3.0,0 days 00:01:23.223000,MEDIUM,3.0,4.0,,
NOR,McLaren,4.0,0 days 00:01:22.877000,MEDIUM,4.0,4.0,,
NOR,McLaren,5.0,0 days 00:01:22.639000,MEDIUM,5.0,4.0,,
NOR,McLaren,6.0,0 days 00:01:22.181000,MEDIUM,6.0,4.0,,
NOR,McLaren,7.0,0 days 00:01:22.217000,MEDIUM,7.0,4.0,,
NOR,McLaren,8.0,0 days 00:01:21.986000,MEDIUM,8.0,4.0,,
NOR,McLaren,9.0,0 days 00:01:21.579000,MEDIUM,9.0,4.0,,
NOR,McLaren,10.0,0 days 00:01:22.089000,MEDIUM,10.0,4.0,,
NOR,McLaren,11.0,0 days 00:01:22.251000,MEDIUM,11.0,4.0,,
NOR,McLaren,12.0,0 days 00:01:22.404000,MEDIUM,12.0,4.0,,
NOR,McLaren,13.0,0 days 00:01:22.675000,MEDIUM,13.0,4.0,,
NOR,McLaren,14.0,0 days 00:01:22.154000,MEDIUM,14.0,4.0,,
NOR,McLaren,15.0,0 days 00:01:22.233000,MEDIUM,15.0,4.0,,
NOR,McLaren,16.0,0 days 00:01:22.043000,MEDIUM,16.0,4.0,,
NOR,McLaren,17.0,0 days 00:01:22.539000,MEDIUM,17.0,4.0,,
NOR,McLaren,18.0,0 days 00:01:22.189000,MEDIUM,18.0,4.0,,
NOR,McLaren,19.0,0 days 00:01:22.030000,MEDIUM,19.0,2.0,,
NOR,McLaren,20.0,0 days 00:01:21.440000,MEDIUM,20.0,1.0,,
NOR,McLaren,21.0,0 days 00:01:21.707000,MEDIUM,21.0,1.0,,
NOR,McLaren,22.0,0 days 00:01:22.099000,MEDIUM,22.0,1.0,,
NOR,McLaren,23.0,0 days 00:01:22.075000,MEDIUM,23.0,1.0,,
NOR,McLaren,24.0,0 days 00:01:22.117000,MEDIUM,24.0,1.0,,
NOR,McLaren,25.0,0 days 00:01:21.924000,MEDIUM,25.0,1.0,,
NOR,McLaren,26.0,0 days 00:01:22.145000,MEDIUM,26.0,1.0,,
NOR,McLaren,27.0,0 days 00:01:22.125000,MEDIUM,27.0,1.0,,
NOR,McLaren,28.0,0 days 00:01:22.153000,MEDIUM,28.0,1.0,,
NOR,McLaren,29.0,0 days 00:01:22.533000,MEDIUM,29.0,1.0,,
NOR,McLaren,30.0,0 days 00:01:22.633000,MEDIUM,30.0,1.0,,
NOR,McLaren,31.0,0 days 00:01:25.567000,MEDIUM,31.0,2.0,0 days 01:40:28.419000,
NOR,McLaren,32.0,0 days 00:01:39.959000,HARD,2.0,4.0,,0 days 01:40:49.303000
NOR,McLaren,33.0,0 days 00:01:21.411000,HARD,3.0,4.0,,
NOR,McLaren,34.0,0 days 00:01:20.752000,HARD,4.0,4.0,,
NOR,McLaren,35.0,0 days 00:01:20.726000,HARD,5.0,4.0,,
NOR,McLaren,36.0,0 days 00:01:20.557000,HARD,6.0,4.0,,
NOR,McLaren,37.0,0 days 00:01:20.976000,HARD,7.0,4.0,,
NOR,McLaren,38.0,0 days 00:01:20.400000,HARD,8.0,4.0,,
NOR,McLaren,39.0,0 days 00:01:20.301000,HARD,9.0,4.0,,
NOR,McLaren,40.0,0 days 00:01:20.442000,HARD,10.0,4.0,,
NOR,McLaren,41.0,0 days 00:01:20.547000,HARD,11.0,3.0,,
NOR,McLaren,42.0,0 days 00:01:20.471000,HARD,12.0,3.0,,
NOR,McLaren,43.0,0 days 00:01:21.447000,HARD,13.0,2.0,,
NOR,McLaren,44.0,0 days 00:01:20.146000,HARD,14.0,2.0,,
NOR,McLaren,45.0,0 days 00:01:20.703000,HARD,15.0,2.0,,
NOR,McLaren,46.0,0 days 00:01:20.377000,HARD,16.0,1.0,,
NOR,McLaren,47.0,0 days 00:01:20.358000,HARD,17.0,1.0,,
NOR,McLaren,48.0,0 days 00:01:20.543000,HARD,18.0,1.0,,
NOR,McLaren,49.0,0 days 00:01:20.472000,HARD,19.0,1.0,,
NOR,McLaren,50.0,0 days 00:01:20.527000,HARD,20.0,1.0,,
NOR,McLaren,51.0,0 days 00:01:20.779000,HARD,21.0,1.0,,
NOR,McLaren,52.0,0 days 00:01:20.908000,HARD,22.0,1.0,,
NOR,McLaren,53.0,0 days 00:01:20.197000,HARD,23.0,1.0,,
NOR,McLaren,54.0,0 days 00:01:20.157000,HARD,24.0,1.0,,
NOR,McLaren,55.0,0 days 00:01:20.005000,HARD,25.0,1.0,,
NOR,McLaren,56.0,0 days 00:01:20.153000,HARD,26.0,1.0,,
NOR,McLaren,57.0,0 days 00:01:19.918000,HARD,27.0,1.0,,
NOR,McLaren,58.0,0 days 00:01:20.144000,HARD,28.0,1.0,,
NOR,McLaren,59.0,0 days 00:01:19.936000,HARD,29.0,1.0,,
NOR,McLaren,60.0,0 days 00:01:20.157000,HARD,30.0,1.0,,
NOR,McLaren,61.0,0 days 00:01:20.110000,HARD,31.0,1.0,,
NOR,McLaren,62.0,0 days 00:01:20.461000,HARD,32.0,1.0,,
NOR,McLaren,63.0,0 days 00:01:20.820000,HARD,33.0,1.0,,
NOR,McLaren,64.0,0 days 00:01:21.089000,HARD,34.0,1.0,,
NOR,McLaren,65.0,0 days 00:01:20.765000,HARD,35.0,1.0,,
NOR,McLaren,66.0,0 days 00:01:20.597000,HARD,36.0,1.0,,
NOR,McLaren,67.0,0 days 00:01:20.397000,HARD,37.0,1.0,,
NOR,McLaren,68.0,0 days 00:01:20.268000,HARD,38.0,1.0,,
NOR,McLaren,69.0,0 days 00:01:20.630000,HARD,39.0,1.0,,
NOR,McLaren,70.0,0 days 00:01:20.714000,HARD,40.0,1.0,,
PIA,McLaren,1.0,0 days 00:01:28.020000,MEDIUM,1.0,2.0,,
PIA,McLaren,2.0,0 days 00:01:23.242000,MEDIUM,2.0,2.0,,
PIA,McLaren,3.0,0 days 00:01:23.102000,MEDIUM,3.0,2.0,,
PIA,McLaren,4.0,0 days 00:01:22.757000,MEDIUM,4.0,2.0,,
PIA,McLaren,5.0,0 days 00:01:22.652000,MEDIUM,5.0,2.0,,
PIA,McLaren,6.0,0 days 00:01:22.598000,MEDIUM,6.0,2.0,,
PIA,McLaren,7.0,0 days 00:01:22.034000,MEDIUM,7.0,2.0,,
PIA,McLaren,8.0,0 days 00:01:21.940000,MEDIUM,8.0,2.0,,
PIA,McLaren,9.0,0 days 00:01:21.839000,MEDIUM,9.0,2.0,,
PIA,McLaren,10.0,0 days 00:01:21.663000,MEDIUM,10.0,2.0,,
PIA,McLaren,11.0,0 days 00:01:21.900000,MEDIUM,11.0,2.0,,
PIA,McLaren,12.0,0 days 00:01:21.939000,MEDIUM,12.0,2.0,,
PIA,McLaren,13.0,0 days 00:01:22.231000,MEDIUM,13.0,2.0,,
PIA,McLaren,14.0,0 days 00:01:22.065000,MEDIUM,14.0,2.0,,
PIA,McLaren,15.0,0 days 00:01:22.075000,MEDIUM,15.0,2.0,,
PIA,McLaren,16.0,0 days 00:01:22.138000,MEDIUM,16.0,2.0,,
PIA,McLaren,17.0,0 days 00:01:22.056000,MEDIUM,17.0,2.0,,
PIA,McLaren,18.0,0 days 00:01:24.668000,MEDIUM,18.0,2.0,0 days 01:22:35.491000,
PIA,McLaren,19.0,0 days 00:01:38.914000,HARD,2.0,5.0,,0 days 01:22:56.632000
PIA,McLaren,20.0,0 days 00:01:21.080000,HARD,3.0,4.0,,
PIA,McLaren,21.0,0 days 00:01:22.149000,HARD,4.0,4.0,,
PIA,McLaren,22.0,0 days 00:01:21.153000,HARD,5.0,3.0,,
PIA,McLaren,23.0,0 days 00:01:21.127000,HARD,6.0,3.0,,
PIA,McLaren,24.0,0 days 00:01:21.129000,HARD,7.0,3.0,,
PIA,McLaren,25.0,0 days 00:01:20.898000,HARD,8.0,3.0,,
PIA,McLaren,26.0,0 days 00:01:21.035000,HARD,9.0,3.0,,
PIA,McLaren,27.0,0 days 00:01:20.956000,HARD,10.0,3.0,,
PIA,McLaren,28.0,0 days 00:01:21.006000,HARD,11.0,3.0,,
PIA,McLaren,29.0,0 days 00:01:21.592000,HARD,12.0,3.0,,
PIA,McLaren,30.0,0 days 00:01:21.341000,HARD,13.0,3.0,,
PIA,McLaren,31.0,0 days 00:01:21.515000,HARD,14.0,3.0,,
PIA,McLaren,32.0,0 days 00:01:21.564000,HARD,15.0,2.0,,
PIA,McLaren,33.0,0 days 00:01:21.550000,HARD,16.0,2.0,,
PIA,McLaren,34.0,0 days 00:01:21.409000,HARD,17.0,2.0,,
PIA,McLaren,35.0,0 days 00:01:21.545000,HARD,18.0,2.0,,
PIA,McLaren,36.0,0 days 00:01:21.466000,HARD,19.0,2.0,,
PIA,McLaren,37.0,0 days 00:01:21.164000,HARD,20.0,2.0,,
PIA,McLaren,38.0,0 days 00:01:21.496000,HARD,21.0,2.0,,
PIA,McLaren,39.0,0 days 00:01:21.441000,HARD,22.0,2.0,,
PIA,McLaren,40.0,0 days 00:01:21.625000,HARD,23.0,1.0,,
PIA,McLaren,41.0,0 days 00:01:21.031000,HARD,24.0,1.0,,
PIA,McLaren,42.0,0 days 00:01:20.975000,HARD,25.0,1.0,,
PIA,McLaren,43.0,0 days 00:01:21.024000,HARD,26.0,1.0,,
PIA,McLaren,44.0,0 days 00:01:22.210000,HARD,27.0,1.0,,
PIA,McLaren,45.0,0 days 00:01:23.987000,HARD,28.0,1.0,0 days 01:59:31.787000,
PIA,McLaren,46.0,0 days 00:01:37.898000,HARD,1.0,3.0,,0 days 01:59:52.792000
PIA,McLaren,47.0,0 days 00:01:19.666000,HARD,2.0,3.0,,
PIA,McLaren,48.0,0 days 00:01:19.718000,HARD,3.0,3.0,,
PIA,McLaren,49.0,0 days 00:01:19.757000,HARD,4.0,3.0,,
