Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:27.159000,MEDIUM,1.0,1.0,,
VER,Red Bull Racing,2.0,0 days 00:01:24.859000,MEDIUM,2.0,2.0,,
VER,Red Bull Racing,3.0,0 days 00:01:23.512000,MEDIUM,3.0,2.0,,
VER,Red Bull Racing,4.0,0 days 00:01:23.262000,MEDIUM,4.0,1.0,,
VER,Red Bull Racing,5.0,0 days 00:01:23.588000,MEDIUM,5.0,1.0,,
VER,Red Bull Racing,6.0,0 days 00:01:23.576000,MEDIUM,6.0,1.0,,
VER,Red Bull Racing,7.0,0 days 00:01:23.310000,MEDIUM,7.0,1.0,,
VER,Red Bull Racing,8.0,0 days 00:01:23.139000,MEDIUM,8.0,1.0,,
VER,Red Bull Racing,9.0,0 days 00:01:23.101000,MEDIUM,9.0,1.0,,
VER,Red Bull Racing,10.0,0 days 00:01:23.088000,MEDIUM,10.0,1.0,,
VER,Red Bull Racing,11.0,0 days 00:01:23.066000,MEDIUM,11.0,1.0,,
VER,Red Bull Racing,12.0,0 days 00:01:23.014000,MEDIUM,12.0,1.0,,
VER,Red Bull Racing,13.0,0 days 00:01:23.254000,MEDIUM,13.0,1.0,,
VER,Red Bull Racing,14.0,0 days 00:01:23.118000,MEDIUM,14.0,1.0,,
VER,Red Bull Racing,15.0,0 days 00:01:23.077000,MEDIUM,15.0,1.0,,
VER,Red Bull Racing,16.0,0 days 00:01:23.001000,MEDIUM,16.0,1.0,,
VER,Red Bull Racing,17.0,0 days 00:01:22.890000,MEDIUM,17.0,1.0,,
VER,Red Bull Racing,18.0,0 days 00:01:22.727000,MEDIUM,18.0,1.0,,
VER,Red Bull Racing,19.0,0 days 00:01:22.838000,MEDIUM,19.0,1.0,,
VER,Red Bull Racing,20.0,0 days 00:01:22.857000,MEDIUM,20.0,1.0,,
VER,Red Bull Racing,21.0,0 days 00:01:22.919000,MEDIUM,21.0,1.0,,
VER,Red Bull Racing,22.0,0 days 00:01:22.733000,MEDIUM,22.0,1.0,,
VER,Red Bull Racing,23.0,0 days 00:01:22.782000,MEDIUM,23.0,1.0,,
VER,Red Bull Racing,24.0,0 days 00:01:22.817000,MEDIUM,24.0,1.0,,
VER,Red Bull Racing,25.0,0 days 00:01:22.970000,MEDIUM,25.0,1.0,,
VER,Red Bull Racing,26.0,0 days 00:01:22.937000,MEDIUM,26.0,1.0,,
VER,Red Bull Racing,27.0,0 days 00:01:23.015000,MEDIUM,27.0,1.0,,
VER,Red Bull Racing,28.0,0 days 00:01:23.031000,MEDIUM,28.0,1.0,,
VER,Red Bull Racing,29.0,0 days 00:01:22.811000,MEDIUM,29.0,1.0,,
VER,Red Bull Racing,30.0,0 days 00:01:22.928000,MEDIUM,30.0,1.0,,
VER,Red Bull Racing,31.0,0 days 00:01:22.941000,MEDIUM,31.0,1.0,,
VER,Red Bull Racing,32.0,0 days 00:01:22.890000,MEDIUM,32.0,1.0,,
VER,Red Bull Racing,33.0,0 days 00:01:22.943000,MEDIUM,33.0,1.0,,
VER,Red Bull Racing,34.0,0 days 00:01:22.795000,MEDIUM,34.0,1.0,,
VER,Red Bull Racing,35.0,0 days 00:01:22.651000,MEDIUM,35.0,1.0,,
VER,Red Bull Racing,36.0,0 days 00:01:22.699000,MEDIUM,36.0,1.0,,
VER,Red Bull Racing,37.0,0 days 00:01:27.432000,MEDIUM,37.0,1.0,0 days 01:49:08.226000,
VER,Red Bull Racing,38.0,0 days 00:01:42.349000,HARD,1.0,3.0,,0 days 01:49:32.596000
VER,Red Bull Racing,39.0,0 days 00:01:21.402000,HARD,2.0,3.0,,
VER,Red Bull Racing,40.0,0 days 00:01:21.625000,HARD,3.0,3.0,,
VER,Red Bull Racing,41.0,0 days 00:01:21.358000,HARD,4.0,3.0,,
VER,Red Bull Racing,42.0,0 days 00:01:21.445000,HARD,5.0,3.0,,
VER,Red Bull Racing,43.0,0 days 00:01:21.320000,HARD,6.0,3.0,,
VER,Red Bull Racing,44.0,0 days 00:01:21.289000,HARD,7.0,3.0,,
VER,Red Bull Racing,45.0,0 days 00:01:21.353000,HARD,8.0,3.0,,
VER,Red Bull Racing,46.0,0 days 00:01:21.325000,HARD,9.0,2.0,,
VER,Red Bull Racing,47.0,0 days 00:01:21.336000,HARD,10.0,1.0,,
VER,Red Bull Racing,48.0,0 days 00:01:21.316000,HARD,11.0,1.0,,
VER,Red Bull Racing,49.0,0 days 00:01:21.328000,HARD,12.0,1.0,,
VER,Red Bull Racing,50.0,0 days 00:01:21.297000,HARD,13.0,1.0,,
VER,Red Bull Racing,51.0,0 days 00:01:21.749000,HARD,14.0,1.0,,
