Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,37.0,0 days 01:49:08.226000,,MEDIUM,37.0
NOR,46.0,0 days 02:01:38.248000,,MEDIUM,46.0
PIA,45.0,0 days 02:00:18.498000,,MEDIUM,45.0
LEC,33.0,0 days 01:43:55.616000,,MEDIUM,33.0
RUS,27.0,0 days 01:35:43.361000,,MEDIUM,27.0
HAM,38.0,0 days 01:50:59.392000,,MEDIUM,38.0
ALB,41.0,0 days 01:55:17.332000,,HARD,41.0
BOR,20.0,0 days 01:26:07.116000,,MEDIUM,20.0
ANT,28.0,0 days 01:37:18.023000,,MEDIUM,28.0
HAD,32.0,0 days 01:43:00.676000,,HARD,33.0
SAI,30.0,0 days 01:40:10.317000,,MEDIUM,30.0
BEA,18.0,0 days 01:23:22.731000,,MEDIUM,18.0
TSU,19.0,0 days 01:24:46.402000,,MEDIUM,19.0
LAW,9.0,0 days 01:10:44.492000,,SOFT,9.0
OCO,51.0,0 days 02:09:22.182000,,HARD,51.0
GAS,49.0,0 days 02:06:48.509000,,HARD,49.0
COL,33.0,0 days 01:44:35.886000,,MEDIUM,33.0
STR,49.0,0 days 02:06:38.460000,,HARD,50.0
ALO,20.0,0 days 01:26:07.444000,,MEDIUM,21.0
ALO,24.0,0 days 01:32:27.788000,,HARD,5.0
