Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
NOR,McLaren,1.0,0 days 00:01:37.206000,MEDIUM,1.0,3.0,,
NOR,McLaren,2.0,0 days 00:01:34.905000,MEDIUM,2.0,3.0,,
NOR,McLaren,3.0,0 days 00:01:36.301000,MEDIUM,3.0,4.0,,
NOR,McLaren,4.0,0 days 00:01:35.451000,MEDIUM,4.0,4.0,,
NOR,McLaren,5.0,0 days 00:01:35.170000,MEDIUM,5.0,4.0,,
NOR,McLaren,6.0,0 days 00:01:35.051000,MEDIUM,6.0,4.0,,
NOR,McLaren,7.0,0 days 00:01:35.045000,MEDIUM,7.0,4.0,,
NOR,McLaren,8.0,0 days 00:01:35.247000,MEDIUM,8.0,4.0,,
NOR,McLaren,9.0,0 days 00:01:35.672000,MEDIUM,9.0,4.0,,
NOR,McLaren,10.0,0 days 00:01:35.228000,MEDIUM,10.0,4.0,,
NOR,McLaren,11.0,0 days 00:01:36.219000,MEDIUM,11.0,5.0,,
NOR,McLaren,12.0,0 days 00:01:35.457000,MEDIUM,12.0,5.0,,
NOR,McLaren,13.0,0 days 00:01:35.079000,MEDIUM,13.0,5.0,,
NOR,McLaren,14.0,0 days 00:01:35.339000,MEDIUM,14.0,5.0,,
NOR,McLaren,15.0,0 days 00:01:35.315000,MEDIUM,15.0,5.0,,
NOR,McLaren,16.0,0 days 00:01:38.222000,MEDIUM,16.0,6.0,0 days 01:29:14.566000,
NOR,McLaren,17.0,0 days 00:01:54.481000,HARD,1.0,8.0,,0 days 01:29:38.056000
NOR,McLaren,18.0,0 days 00:01:34.916000,HARD,2.0,8.0,,
NOR,McLaren,19.0,0 days 00:01:34.285000,HARD,3.0,8.0,,
NOR,McLaren,20.0,0 days 00:01:33.771000,HARD,4.0,8.0,,
NOR,McLaren,21.0,0 days 00:01:34.161000,HARD,5.0,8.0,,
NOR,McLaren,22.0,0 days 00:02:00.540000,HARD,6.0,8.0,,
NOR,McLaren,23.0,0 days 00:02:19.586000,HARD,7.0,6.0,,
NOR,McLaren,24.0,0 days 00:02:27.128000,HARD,8.0,6.0,,
NOR,McLaren,25.0,,HARD,9.0,6.0,,
