Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:27.817000,MEDIUM,1.0,4.0,,
VER,Red Bull Racing,2.0,0 days 00:01:23.412000,MEDIUM,2.0,4.0,,
VER,Red Bull Racing,3.0,0 days 00:01:22.702000,MEDIUM,3.0,4.0,,
VER,Red Bull Racing,4.0,0 days 00:01:22.787000,MEDIUM,4.0,4.0,,
VER,Red Bull Racing,5.0,0 days 00:01:22.538000,MEDIUM,5.0,4.0,,
VER,Red Bull Racing,6.0,0 days 00:01:28.329000,MEDIUM,6.0,5.0,,
VER,Red Bull Racing,7.0,0 days 00:01:22.981000,MEDIUM,7.0,5.0,,
VER,Red Bull Racing,8.0,0 days 00:01:23.010000,MEDIUM,8.0,5.0,,
VER,Red Bull Racing,9.0,0 days 00:01:23.296000,MEDIUM,9.0,5.0,,
VER,Red Bull Racing,10.0,0 days 00:01:23.234000,MEDIUM,10.0,5.0,,
VER,Red Bull Racing,11.0,0 days 00:01:23.246000,MEDIUM,11.0,5.0,,
VER,Red Bull Racing,12.0,0 days 00:01:23.124000,MEDIUM,12.0,5.0,,
VER,Red Bull Racing,13.0,0 days 00:01:23.086000,MEDIUM,13.0,5.0,,
VER,Red Bull Racing,14.0,0 days 00:01:22.891000,MEDIUM,14.0,5.0,,
VER,Red Bull Racing,15.0,0 days 00:01:23.296000,MEDIUM,15.0,5.0,,
VER,Red Bull Racing,16.0,0 days 00:01:23.364000,MEDIUM,16.0,5.0,,
VER,Red Bull Racing,17.0,0 days 00:01:23.239000,MEDIUM,17.0,5.0,,
VER,Red Bull Racing,18.0,0 days 00:01:23.484000,MEDIUM,18.0,5.0,,
VER,Red Bull Racing,19.0,0 days 00:01:23.237000,MEDIUM,19.0,5.0,,
VER,Red Bull Racing,20.0,0 days 00:01:23.344000,MEDIUM,20.0,5.0,,
VER,Red Bull Racing,21.0,0 days 00:01:23.409000,MEDIUM,21.0,5.0,,
VER,Red Bull Racing,22.0,0 days 00:01:23.221000,MEDIUM,22.0,5.0,,
VER,Red Bull Racing,23.0,0 days 00:01:23.452000,MEDIUM,23.0,5.0,,
VER,Red Bull Racing,24.0,0 days 00:01:23.291000,MEDIUM,24.0,3.0,,
VER,Red Bull Racing,25.0,0 days 00:01:23.128000,MEDIUM,25.0,3.0,,
VER,Red Bull Racing,26.0,0 days 00:01:23.510000,MEDIUM,26.0,3.0,,
VER,Red Bull Racing,27.0,0 days 00:01:23.239000,MEDIUM,27.0,3.0,,
VER,Red Bull Racing,28.0,0 days 00:01:23.192000,MEDIUM,28.0,3.0,,
VER,Red Bull Racing,29.0,0 days 00:01:23.395000,MEDIUM,29.0,3.0,,
VER,Red Bull Racing,30.0,0 days 00:01:23.348000,MEDIUM,30.0,3.0,,
VER,Red Bull Racing,31.0,0 days 00:01:23.351000,MEDIUM,31.0,3.0,,
VER,Red Bull Racing,32.0,0 days 00:01:23.383000,MEDIUM,32.0,2.0,,
VER,Red Bull Racing,33.0,0 days 00:01:23.146000,MEDIUM,33.0,2.0,,
