Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,37.0,0 days 01:48:39.134000,,MEDIUM,37.0
GAS,Alpine,33.0,0 days 01:43:54.452000,,MEDIUM,33.0
ANT,Mercedes,22.0,0 days 01:27:48.170000,,SOFT,25.0
ANT,Mercedes,47.0,0 days 02:02:33.545000,,MEDIUM,25.0
ALO,Aston Martin,20.0,0 days 01:25:20.882000,,SOFT,20.0
ALO,Aston Martin,34.0,0 days 01:45:11.490000,,MEDIUM,15.0
LEC,Ferrari,31.0,0 days 01:40:06.174000,,SOFT,31.0
STR,Aston Martin,26.0,0 days 01:33:43.524000,,SOFT,26.0
STR,Aston Martin,43.0,0 days 01:57:28.672000,,MEDIUM,18.0
TSU,Red Bull Racing,36.0,0 days 01:47:33.892000,,MEDIUM,36.0
ALB,Williams,41.0,0 days 01:54:48.157000,,HARD,41.0
HUL,Kick Sauber,25.0,0 days 01:32:29.986000,,SOFT,25.0
LAW,Racing Bulls,2.0,0 days 01:00:09.599000,,SOFT,2.0
LAW,Racing Bulls,5.0,0 days 01:05:06.760000,,HARD,3.0
OCO,Haas F1 Team,27.0,0 days 01:34:58.834000,,SOFT,27.0
NOR,McLaren,34.0,0 days 01:43:57.572000,,SOFT,34.0
COL,Alpine,48.0,0 days 02:04:57.095000,,HARD,48.0
HAM,Ferrari,23.0,0 days 01:29:06.780000,,SOFT,26.0
HAM,Ferrari,47.0,0 days 02:02:37.399000,,MEDIUM,24.0
BOR,Kick Sauber,37.0,0 days 01:49:05.145000,,MEDIUM,37.0
SAI,Williams,17.0,0 days 01:21:05.899000,,MEDIUM,17.0
SAI,Williams,46.0,0 days 02:01:26.279000,,SOFT,32.0
SAI,Williams,56.0,0 days 02:15:27.048000,,SOFT,13.0
HAD,Racing Bulls,34.0,0 days 01:44:51.921000,,MEDIUM,34.0
RUS,Mercedes,25.0,0 days 01:31:59.773000,,SOFT,28.0
RUS,Mercedes,48.0,0 days 02:03:53.585000,,MEDIUM,23.0
PIA,McLaren,24.0,0 days 01:30:37.871000,,SOFT,27.0
PIA,McLaren,47.0,0 days 02:02:34.296000,,MEDIUM,23.0
BEA,Haas F1 Team,24.0,0 days 01:30:31.137000,,SOFT,27.0
BEA,Haas F1 Team,48.0,0 days 02:03:51.122000,,MEDIUM,24.0
