Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:27.020000,HARD,1.0,4.0,,
VER,Red Bull Racing,2.0,0 days 00:01:46.318000,HARD,2.0,4.0,,
VER,Red Bull Racing,3.0,0 days 00:01:48.815000,HARD,3.0,4.0,,
VER,Red Bull Racing,4.0,0 days 00:01:40.290000,HARD,4.0,4.0,,
VER,Red Bull Racing,5.0,0 days 00:01:20.800000,HARD,5.0,4.0,,
VER,Red Bull Racing,6.0,0 days 00:01:20.011000,HARD,6.0,4.0,,
VER,Red Bull Racing,7.0,0 days 00:01:18.968000,HARD,7.0,4.0,,
VER,Red Bull Racing,8.0,0 days 00:01:17.714000,HARD,8.0,4.0,,
VER,Red Bull Racing,9.0,0 days 00:01:21.205000,HARD,9.0,4.0,,
VER,Red Bull Racing,10.0,0 days 00:01:19.169000,HARD,10.0,4.0,,
VER,Red Bull Racing,11.0,0 days 00:01:17.481000,HARD,11.0,4.0,,
VER,Red Bull Racing,12.0,0 days 00:01:18.128000,HARD,12.0,4.0,,
VER,Red Bull Racing,13.0,0 days 00:01:17.122000,HARD,13.0,4.0,,
VER,Red Bull Racing,14.0,0 days 00:01:16.810000,HARD,14.0,4.0,,
VER,Red Bull Racing,15.0,0 days 00:01:16.380000,HARD,15.0,4.0,,
VER,Red Bull Racing,16.0,0 days 00:01:15.392000,HARD,16.0,4.0,,
VER,Red Bull Racing,17.0,0 days 00:01:15.131000,HARD,17.0,4.0,,
VER,Red Bull Racing,18.0,0 days 00:01:15.035000,HARD,18.0,4.0,,
VER,Red Bull Racing,19.0,0 days 00:01:15.413000,HARD,19.0,3.0,,
VER,Red Bull Racing,20.0,0 days 00:01:15.233000,HARD,20.0,2.0,,
VER,Red Bull Racing,21.0,0 days 00:01:15.248000,HARD,21.0,2.0,,
VER,Red Bull Racing,22.0,0 days 00:01:15.291000,HARD,22.0,1.0,,
VER,Red Bull Racing,23.0,0 days 00:01:15.254000,HARD,23.0,1.0,,
VER,Red Bull Racing,24.0,0 days 00:01:15.181000,HARD,24.0,1.0,,
VER,Red Bull Racing,25.0,0 days 00:01:15.175000,HARD,25.0,1.0,,
VER,Red Bull Racing,26.0,0 days 00:01:16.288000,HARD,26.0,1.0,,
VER,Red Bull Racing,27.0,0 days 00:01:16.323000,HARD,27.0,1.0,,
VER,Red Bull Racing,28.0,0 days 00:01:32.651000,HARD,28.0,4.0,0 days 01:33:29.565000,
VER,Red Bull Racing,29.0,0 days 00:01:18.571000,MEDIUM,1.0,4.0,,0 days 01:33:53.706000
VER,Red Bull Racing,30.0,0 days 00:01:15.074000,MEDIUM,2.0,4.0,,
VER,Red Bull Racing,31.0,0 days 00:01:15.133000,MEDIUM,3.0,4.0,,
