Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
NOR,44.0,0 days 01:53:14.542000,,MEDIUM,44.0
GAS,45.0,0 days 01:54:23.524000,,MEDIUM,45.0
GAS,60.0,0 days 02:15:03.876000,,HARD,15.0
GAS,66.0,0 days 02:24:45.664000,,HARD,21.0
GAS,68.0,0 days 02:28:39.387000,,HARD,23.0
PER,4.0,0 days 01:00:50.721000,,SOFT,4.0
PER,9.0,0 days 01:07:47.749000,,MEDIUM,5.0
PER,59.0,0 days 02:15:33.220000,,MEDIUM,55.0
PER,65.0,0 days 02:24:50.586000,,SOFT,6.0
PER,67.0,0 days 02:28:46.028000,,SOFT,8.0
PER,68.0,0 days 03:03:56.288000,0 days 03:02:32.953000,SOFT,7.0
ANT,37.0,0 days 01:42:42.250000,,MEDIUM,37.0
ANT,61.0,0 days 02:14:20.549000,,HARD,24.0
ANT,66.0,0 days 02:24:30.695000,,SOFT,9.0
ANT,68.0,0 days 02:28:25.488000,,SOFT,11.0
ALO,3.0,0 days 00:59:34.283000,,MEDIUM,3.0
ALO,58.0,0 days 02:13:15.246000,,SOFT,55.0
ALO,59.0,0 days 02:15:14.967000,0 days 02:13:42.018000,SOFT,1.0
ALO,65.0,0 days 02:24:48.727000,,SOFT,7.0
ALO,67.0,0 days 02:28:44.621000,,SOFT,9.0
ALO,68.0,0 days 03:03:54.777000,0 days 03:02:29.297000,SOFT,9.0
LEC,35.0,0 days 01:40:30.549000,,MEDIUM,35.0
LEC,60.0,0 days 02:13:07.296000,,HARD,25.0
LEC,61.0,0 days 02:15:17.658000,0 days 02:13:42.190000,SOFT,5.0
STR,4.0,0 days 01:00:57.503000,,MEDIUM,4.0
ALB,43.0,0 days 01:52:19.589000,,MEDIUM,43.0
ALB,59.0,0 days 02:14:40.583000,,SOFT,16.0
ALB,65.0,0 days 02:24:38.352000,,SOFT,22.0
ALB,67.0,0 days 02:28:33.200000,,SOFT,24.0
ALB,68.0,0 days 03:03:40.291000,0 days 03:02:17.294000,SOFT,7.0
HUL,12.0,0 days 01:11:22.723000,,MEDIUM,12.0
HUL,58.0,0 days 02:13:04.474000,,HARD,46.0
HUL,59.0,0 days 02:14:58.958000,0 days 02:13:25.017000,HARD,47.0
HUL,65.0,0 days 02:24:42.555000,,HARD,53.0
HUL,67.0,0 days 02:28:37.840000,,HARD,55.0
HUL,68.0,0 days 03:03:48.697000,0 days 03:02:24.809000,SOFT,1.0
LAW,44.0,0 days 01:53:24.402000,,MEDIUM,44.0
LAW,60.0,0 days 02:15:28.830000,,SOFT,20.0
LAW,66.0,0 days 02:24:59.171000,,SOFT,26.0
LAW,68.0,0 days 02:28:50.794000,,SOFT,8.0
OCO,9.0,0 days 01:07:29.577000,,MEDIUM,9.0
OCO,59.0,0 days 02:14:57.004000,,HARD,50.0
OCO,65.0,0 days 02:24:41.836000,,HARD,56.0
OCO,67.0,0 days 02:28:36.246000,,HARD,58.0
OCO,68.0,0 days 03:03:44.979000,0 days 03:02:22.270000,SOFT,1.0
LIN,59.0,0 days 02:14:38.704000,,MEDIUM,59.0
LIN,65.0,0 days 02:24:36.992000,,MEDIUM,65.0
LIN,67.0,0 days 02:28:32.059000,,MEDIUM,67.0
LIN,68.0,0 days 03:03:37.713000,0 days 03:02:14.915000,SOFT,1.0
COL,35.0,0 days 01:41:47.496000,,MEDIUM,35.0
COL,59.0,0 days 02:15:00.360000,,HARD,24.0
COL,65.0,0 days 02:24:46.961000,,HARD,30.0
COL,67.0,0 days 02:28:40.450000,,HARD,32.0
COL,68.0,0 days 03:03:51.885000,0 days 03:02:26.156000,SOFT,1.0
HAM,28.0,0 days 01:31:23.708000,,MEDIUM,28.0
HAM,60.0,0 days 02:13:02.646000,,HARD,32.0
HAM,61.0,0 days 02:15:10.279000,0 days 02:13:33.799000,SOFT,5.0
HAM,66.0,0 days 02:24:32.367000,,SOFT,10.0
HAM,68.0,0 days 02:28:26.762000,,SOFT,12.0
BOR,1.0,0 days 00:56:53.542000,0 days 00:55:30.676000,SOFT,1.0
BOR,43.0,0 days 01:53:16.308000,,HARD,42.0
BOR,58.0,0 days 02:13:57.549000,,MEDIUM,15.0
BOR,59.0,0 days 02:15:49.895000,0 days 02:14:17.643000,MEDIUM,16.0
BOR,65.0,0 days 02:24:52.586000,,SOFT,6.0
BOR,67.0,0 days 02:28:47.606000,,SOFT,8.0
BOR,68.0,0 days 03:03:59.682000,0 days 03:02:37.500000,SOFT,1.0
SAI,52.0,0 days 02:04:28.979000,,MEDIUM,52.0
SAI,59.0,0 days 02:14:41.857000,,SOFT,7.0
SAI,65.0,0 days 02:24:39.774000,,SOFT,13.0
SAI,67.0,0 days 02:28:34.621000,,SOFT,15.0
SAI,68.0,0 days 03:03:43.463000,0 days 03:02:20.327000,SOFT,5.0
HAD,32.0,0 days 01:37:11.255000,,MEDIUM,32.0
HAD,60.0,0 days 02:14:34.368000,,HARD,28.0
HAD,66.0,0 days 02:24:33.867000,,HARD,34.0
HAD,68.0,0 days 02:28:29.174000,,HARD,36.0
RUS,31.0,0 days 01:35:53.085000,,MEDIUM,31.0
RUS,60.0,0 days 02:14:22.544000,,HARD,29.0
RUS,66.0,0 days 02:24:35.571000,,SOFT,10.0
RUS,68.0,0 days 02:28:30.283000,,SOFT,12.0
RUS,72.0,0 days 03:11:25.375000,,SOFT,8.0
