Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:19.680000,SOFT,1.0,2.0,,
VER,Red Bull Racing,2.0,0 days 00:01:16.304000,SOFT,2.0,2.0,,
VER,Red Bull Racing,3.0,0 days 00:01:16.039000,SOFT,3.0,2.0,,
VER,Red Bull Racing,4.0,0 days 00:01:15.816000,SOFT,4.0,2.0,,
VER,Red Bull Racing,5.0,0 days 00:01:15.946000,SOFT,5.0,2.0,,
VER,Red Bull Racing,6.0,0 days 00:01:15.748000,SOFT,6.0,2.0,,
VER,Red Bull Racing,7.0,0 days 00:01:15.648000,SOFT,7.0,2.0,,
VER,Red Bull Racing,8.0,0 days 00:01:15.753000,SOFT,8.0,2.0,,
VER,Red Bull Racing,9.0,0 days 00:01:16.606000,SOFT,9.0,3.0,,
VER,Red Bull Racing,10.0,0 days 00:01:15.800000,SOFT,10.0,3.0,,
VER,Red Bull Racing,11.0,0 days 00:01:15.927000,SOFT,11.0,3.0,,
VER,Red Bull Racing,12.0,0 days 00:01:16.080000,SOFT,12.0,3.0,,
VER,Red Bull Racing,13.0,0 days 00:01:16.131000,SOFT,13.0,3.0,,
VER,Red Bull Racing,14.0,0 days 00:01:16.034000,SOFT,14.0,3.0,,
VER,Red Bull Racing,15.0,0 days 00:01:16.410000,SOFT,15.0,3.0,,
VER,Red Bull Racing,16.0,0 days 00:01:16.197000,SOFT,16.0,3.0,,
VER,Red Bull Racing,17.0,0 days 00:01:16.197000,SOFT,17.0,3.0,,
VER,Red Bull Racing,18.0,0 days 00:01:16.156000,SOFT,18.0,3.0,,
VER,Red Bull Racing,19.0,0 days 00:01:16.435000,SOFT,19.0,3.0,,
VER,Red Bull Racing,20.0,0 days 00:01:16.710000,SOFT,20.0,3.0,,
VER,Red Bull Racing,21.0,0 days 00:01:16.706000,SOFT,21.0,3.0,,
VER,Red Bull Racing,22.0,0 days 00:01:16.398000,SOFT,22.0,3.0,,
VER,Red Bull Racing,23.0,0 days 00:01:30.929000,SOFT,23.0,3.0,0 days 01:26:02.731000,
VER,Red Bull Racing,24.0,0 days 00:01:58.503000,MEDIUM,1.0,3.0,,0 days 01:26:21.478000
VER,Red Bull Racing,25.0,0 days 00:01:49.893000,MEDIUM,2.0,3.0,,
VER,Red Bull Racing,26.0,0 days 00:01:57.458000,MEDIUM,3.0,3.0,,
VER,Red Bull Racing,27.0,0 days 00:01:15.615000,MEDIUM,4.0,3.0,,
VER,Red Bull Racing,28.0,0 days 00:01:15.247000,MEDIUM,5.0,3.0,,
VER,Red Bull Racing,29.0,0 days 00:01:15.332000,MEDIUM,6.0,3.0,,
VER,Red Bull Racing,30.0,0 days 00:01:15.329000,MEDIUM,7.0,3.0,,
VER,Red Bull Racing,31.0,0 days 00:01:24.218000,MEDIUM,8.0,3.0,,
VER,Red Bull Racing,32.0,0 days 00:01:29.332000,MEDIUM,9.0,3.0,,
VER,Red Bull Racing,33.0,0 days 00:01:15.029000,MEDIUM,10.0,3.0,,
VER,Red Bull Racing,34.0,0 days 00:01:14.916000,MEDIUM,11.0,3.0,,
VER,Red Bull Racing,35.0,0 days 00:01:14.921000,MEDIUM,12.0,3.0,,
VER,Red Bull Racing,36.0,0 days 00:01:14.932000,MEDIUM,13.0,3.0,,
VER,Red Bull Racing,37.0,0 days 00:01:14.746000,MEDIUM,14.0,3.0,,
VER,Red Bull Racing,38.0,0 days 00:01:14.839000,MEDIUM,15.0,3.0,,
VER,Red Bull Racing,39.0,0 days 00:01:14.759000,MEDIUM,16.0,3.0,,
VER,Red Bull Racing,40.0,0 days 00:01:14.820000,MEDIUM,17.0,3.0,,
VER,Red Bull Racing,41.0,0 days 00:01:14.993000,MEDIUM,18.0,3.0,,
VER,Red Bull Racing,42.0,0 days 00:01:15.044000,MEDIUM,19.0,3.0,,
VER,Red Bull Racing,43.0,0 days 00:01:14.944000,MEDIUM,20.0,3.0,,
VER,Red Bull Racing,44.0,0 days 00:01:14.912000,MEDIUM,21.0,3.0,,
VER,Red Bull Racing,45.0,0 days 00:01:14.839000,MEDIUM,22.0,3.0,,
VER,Red Bull Racing,46.0,0 days 00:01:14.741000,MEDIUM,23.0,3.0,,
VER,Red Bull Racing,47.0,0 days 00:01:14.937000,MEDIUM,24.0,3.0,,
VER,Red Bull Racing,48.0,0 days 00:01:14.872000,MEDIUM,25.0,3.0,,
VER,Red Bull Racing,49.0,0 days 00:01:14.872000,MEDIUM,26.0,3.0,,
VER,Red Bull Racing,50.0,0 days 00:01:15.109000,MEDIUM,27.0,3.0,,
VER,Red Bull Racing,51.0,0 days 00:01:14.915000,MEDIUM,28.0,3.0,,
VER,Red Bull Racing,52.0,0 days 00:01:14.932000,MEDIUM,29.0,3.0,,
VER,Red Bull Racing,53.0,0 days 00:01:27.371000,MEDIUM,30.0,3.0,0 days 02:06:09.146000,
VER,Red Bull Racing,54.0,0 days 00:01:58.599000,SOFT,4.0,3.0,,0 days 02:06:27.414000
