Driver,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,1.0,0 days 00:01:28.940000,MEDIUM,1.0,2.0,,
VER,2.0,0 days 00:01:27.349000,MEDIUM,2.0,2.0,,
VER,3.0,0 days 00:01:27.511000,MEDIUM,3.0,2.0,,
VER,4.0,0 days 00:01:27.324000,MEDIUM,4.0,2.0,,
VER,5.0,0 days 00:01:26.843000,MEDIUM,5.0,2.0,,
VER,6.0,0 days 00:01:27.123000,MEDIUM,6.0,2.0,,
VER,7.0,0 days 00:01:42.211000,MEDIUM,7.0,3.0,0 days 01:09:05.045000,
VER,8.0,0 days 00:02:25.760000,MEDIUM,1.0,3.0,,0 days 01:09:34.951000
VER,9.0,0 days 00:02:21.444000,MEDIUM,2.0,3.0,,
VER,10.0,0 days 00:02:18.630000,MEDIUM,3.0,3.0,,
VER,11.0,0 days 00:01:27.109000,MEDIUM,4.0,3.0,,
VER,12.0,0 days 00:01:26.659000,MEDIUM,5.0,3.0,,
VER,13.0,0 days 00:01:26.550000,MEDIUM,6.0,3.0,,
VER,14.0,0 days 00:01:26.148000,MEDIUM,7.0,3.0,,
VER,15.0,0 days 00:01:26.298000,MEDIUM,8.0,3.0,,
VER,16.0,0 days 00:01:26.042000,MEDIUM,9.0,3.0,,
VER,17.0,0 days 00:01:25.977000,MEDIUM,10.0,3.0,,
VER,18.0,0 days 00:01:25.759000,MEDIUM,11.0,3.0,,
VER,19.0,0 days 00:01:25.727000,MEDIUM,12.0,3.0,,
VER,20.0,0 days 00:01:25.864000,MEDIUM,13.0,3.0,,
VER,21.0,0 days 00:01:25.803000,MEDIUM,14.0,3.0,,
VER,22.0,0 days 00:01:25.921000,MEDIUM,15.0,3.0,,
VER,23.0,0 days 00:01:25.877000,MEDIUM,16.0,3.0,,
VER,24.0,0 days 00:01:25.740000,MEDIUM,17.0,3.0,,
VER,25.0,0 days 00:01:25.618000,MEDIUM,18.0,1.0,,
VER,26.0,0 days 00:01:25.431000,MEDIUM,19.0,1.0,,
VER,27.0,0 days 00:01:25.606000,MEDIUM,20.0,1.0,,
VER,28.0,0 days 00:01:25.477000,MEDIUM,21.0,1.0,,
VER,29.0,0 days 00:01:25.481000,MEDIUM,22.0,1.0,,
VER,30.0,0 days 00:01:25.359000,MEDIUM,23.0,1.0,,
VER,31.0,0 days 00:01:25.405000,MEDIUM,24.0,1.0,,
VER,32.0,0 days 00:01:29.369000,MEDIUM,25.0,1.0,0 days 01:47:44.071000,
VER,33.0,0 days 00:01:46.870000,HARD,1.0,3.0,,0 days 01:48:12.273000
VER,34.0,0 days 00:01:24.845000,HARD,2.0,3.0,,
VER,35.0,0 days 00:01:24.779000,HARD,3.0,3.0,,
VER,36.0,0 days 00:01:24.744000,HARD,4.0,3.0,,
VER,37.0,0 days 00:01:24.618000,HARD,5.0,3.0,,
VER,38.0,0 days 00:01:24.907000,HARD,6.0,3.0,,
VER,39.0,0 days 00:01:24.592000,HARD,7.0,3.0,,
VER,40.0,0 days 00:01:24.541000,HARD,8.0,3.0,,
VER,41.0,0 days 00:01:24.568000,HARD,9.0,3.0,,
VER,42.0,0 days 00:01:24.729000,HARD,10.0,3.0,,
VER,43.0,0 days 00:01:24.747000,HARD,11.0,2.0,,
VER,44.0,0 days 00:01:24.701000,HARD,12.0,1.0,,
VER,45.0,0 days 00:01:23.515000,HARD,13.0,1.0,,
VER,46.0,0 days 00:01:23.887000,HARD,14.0,1.0,,
VER,47.0,0 days 00:01:23.805000,HARD,15.0,1.0,,
VER,48.0,0 days 00:01:23.799000,HARD,16.0,1.0,,
VER,49.0,0 days 00:01:23.665000,HARD,17.0,1.0,,
VER,50.0,0 days 00:01:23.498000,HARD,18.0,1.0,,
VER,51.0,0 days 00:01:23.989000,HARD,19.0,1.0,,
VER,52.0,0 days 00:01:24.141000,HARD,20.0,1.0,,
VER,53.0,0 days 00:01:24.492000,HARD,21.0,1.0,,
VER,54.0,0 days 00:01:24.678000,HARD,22.0,1.0,,
VER,55.0,0 days 00:01:24.405000,HARD,23.0,1.0,,
VER,56.0,0 days 00:01:24.403000,HARD,24.0,1.0,,
VER,57.0,0 days 00:01:24.968000,HARD,25.0,1.0,,
GAS,1.0,0 days 00:01:33.673000,MEDIUM,1.0,9.0,,
GAS,2.0,0 days 00:01:29.291000,MEDIUM,2.0,9.0,,
GAS,3.0,0 days 00:01:28.388000,MEDIUM,3.0,9.0,,
GAS,4.0,0 days 00:01:28.333000,MEDIUM,4.0,9.0,,
GAS,5.0,0 days 00:01:28.088000,MEDIUM,5.0,9.0,,
GAS,6.0,0 days 00:01:28.260000,MEDIUM,6.0,9.0,,
GAS,7.0,0 days 00:02:22.022000,MEDIUM,7.0,19.0,0 days 01:09:55.686000,
GAS,8.0,0 days 00:02:00.853000,HARD,1.0,19.0,,0 days 01:10:26.978000
GAS,9.0,0 days 00:02:12.767000,HARD,2.0,18.0,,
GAS,10.0,0 days 00:02:08.057000,HARD,3.0,18.0,,
GAS,11.0,0 days 00:01:29.849000,HARD,4.0,19.0,,
GAS,12.0,0 days 00:01:28.678000,HARD,5.0,19.0,,
GAS,13.0,0 days 00:01:28.815000,HARD,6.0,19.0,,
GAS,14.0,0 days 00:01:28.262000,HARD,7.0,19.0,,
GAS,15.0,0 days 00:01:28.203000,HARD,8.0,19.0,,
GAS,16.0,0 days 00:01:27.845000,HARD,9.0,19.0,,
GAS,17.0,0 days 00:01:27.994000,HARD,10.0,19.0,,
GAS,18.0,0 days 00:01:28.081000,HARD,11.0,19.0,,
GAS,19.0,0 days 00:01:27.683000,HARD,12.0,19.0,,
GAS,20.0,0 days 00:01:27.692000,HARD,13.0,19.0,,
GAS,21.0,0 days 00:01:27.701000,HARD,14.0,19.0,,
GAS,22.0,0 days 00:01:27.731000,HARD,15.0,19.0,,
GAS,23.0,0 days 00:01:27.527000,HARD,16.0,19.0,,
GAS,24.0,0 days 00:01:27.844000,HARD,17.0,18.0,,
GAS,25.0,0 days 00:01:27.372000,HARD,18.0,18.0,,
GAS,26.0,0 days 00:01:28.017000,HARD,19.0,18.0,,
GAS,27.0,0 days 00:01:27.609000,HARD,20.0,18.0,,
GAS,28.0,0 days 00:01:27.523000,HARD,21.0,18.0,,
GAS,29.0,0 days 00:01:27.420000,HARD,22.0,18.0,,
GAS,30.0,0 days 00:01:27.198000,HARD,23.0,18.0,,
GAS,31.0,0 days 00:01:27.409000,HARD,24.0,18.0,,
GAS,32.0,0 days 00:01:34.234000,HARD,25.0,18.0,0 days 01:48:38.061000,
GAS,33.0,0 days 00:01:51.296000,MEDIUM,1.0,19.0,,0 days 01:49:08.745000
GAS,34.0,0 days 00:01:25.846000,MEDIUM,2.0,19.0,,
GAS,35.0,0 days 00:01:25.789000,MEDIUM,3.0,19.0,,
GAS,36.0,0 days 00:01:25.711000,MEDIUM,4.0,19.0,,
GAS,37.0,0 days 00:01:25.695000,MEDIUM,5.0,19.0,,
GAS,38.0,0 days 00:01:25.720000,MEDIUM,6.0,19.0,,
GAS,39.0,0 days 00:01:25.902000,MEDIUM,7.0,19.0,,
GAS,40.0,0 days 00:01:25.677000,MEDIUM,8.0,18.0,,
GAS,41.0,0 days 00:01:25.630000,MEDIUM,9.0,18.0,,
GAS,42.0,0 days 00:01:25.483000,MEDIUM,10.0,18.0,,
GAS,43.0,0 days 00:01:25.459000,MEDIUM,11.0,18.0,,
GAS,44.0,0 days 00:01:25.557000,MEDIUM,12.0,18.0,,
GAS,45.0,0 days 00:01:25.757000,MEDIUM,13.0,18.0,,
GAS,46.0,0 days 00:01:25.641000,MEDIUM,14.0,18.0,,
GAS,47.0,0 days 00:01:25.519000,MEDIUM,15.0,18.0,,
GAS,48.0,0 days 00:01:25.574000,MEDIUM,16.0,18.0,,
GAS,49.0,0 days 00:01:25.594000,MEDIUM,17.0,18.0,,
GAS,50.0,0 days 00:01:25.454000,MEDIUM,18.0,17.0,,
GAS,51.0,0 days 00:01:25.422000,MEDIUM,19.0,17.0,,
GAS,52.0,0 days 00:01:25.421000,MEDIUM,20.0,17.0,,
GAS,53.0,0 days 00:01:27.233000,MEDIUM,21.0,17.0,,
GAS,54.0,0 days 00:01:25.376000,MEDIUM,22.0,17.0,,
GAS,55.0,0 days 00:01:26.051000,MEDIUM,23.0,16.0,,
GAS,56.0,0 days 00:01:25.956000,MEDIUM,24.0,16.0,,
