Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,7.0,0 days 01:09:05.045000,,MEDIUM,7.0
VER,Red Bull Racing,32.0,0 days 01:47:44.071000,,MEDIUM,25.0
GAS,Alpine,7.0,0 days 01:09:55.686000,,MEDIUM,7.0
GAS,Alpine,32.0,0 days 01:48:38.061000,,HARD,25.0
ANT,Mercedes,7.0,0 days 01:09:10.654000,,MEDIUM,7.0
ANT,Mercedes,32.0,0 days 01:48:06.705000,,MEDIUM,25.0
ALO,Aston Martin,7.0,0 days 01:09:15.342000,,MEDIUM,7.0
ALO,Aston Martin,32.0,0 days 01:48:12.733000,,MEDIUM,25.0
LEC,Ferrari,7.0,0 days 01:09:22.420000,,MEDIUM,7.0
LEC,Ferrari,32.0,0 days 01:48:21.693000,,MEDIUM,25.0
STR,Aston Martin,7.0,0 days 01:09:31.873000,,MEDIUM,7.0
STR,Aston Martin,24.0,0 days 01:36:52.019000,,MEDIUM,17.0
STR,Aston Martin,49.0,0 days 02:13:06.081000,,MEDIUM,25.0
STR,Aston Martin,55.0,0 days 02:22:12.835000,,SOFT,6.0
TSU,Red Bull Racing,7.0,0 days 01:09:27.857000,,MEDIUM,7.0
TSU,Red Bull Racing,32.0,0 days 01:48:25.993000,,MEDIUM,25.0
ALB,Williams,7.0,0 days 01:09:28.967000,,HARD,7.0
ALB,Williams,32.0,0 days 01:48:27.379000,,MEDIUM,25.0
LAW,Racing Bulls,7.0,0 days 01:09:25.857000,,MEDIUM,7.0
LAW,Racing Bulls,32.0,0 days 01:48:24.531000,,MEDIUM,25.0
OCO,Haas F1 Team,8.0,0 days 01:11:30.941000,,MEDIUM,8.0
OCO,Haas F1 Team,9.0,0 days 01:14:11.674000,0 days 01:12:05.066000,HARD,1.0
OCO,Haas F1 Team,34.0,0 days 01:51:28.451000,,MEDIUM,25.0
NOR,McLaren,25.0,0 days 01:37:42.504000,,MEDIUM,25.0
NOR,McLaren,44.0,0 days 02:05:06.462000,,MEDIUM,19.0
COL,Alpine,7.0,0 days 01:09:32.498000,,HARD,7.0
COL,Alpine,32.0,0 days 01:48:32.659000,,MEDIUM,25.0
HAM,Ferrari,7.0,0 days 01:09:26.764000,,SOFT,7.0
HAM,Ferrari,32.0,0 days 01:48:28.784000,,MEDIUM,25.0
BOR,Kick Sauber,7.0,0 days 01:09:31.404000,,MEDIUM,7.0
BOR,Kick Sauber,32.0,0 days 01:48:31.661000,,MEDIUM,25.0
SAI,Williams,7.0,0 days 01:09:13.107000,,MEDIUM,7.0
SAI,Williams,32.0,0 days 01:48:02.621000,,MEDIUM,25.0
HAD,Racing Bulls,7.0,0 days 01:09:18.201000,,MEDIUM,7.0
HAD,Racing Bulls,32.0,0 days 01:48:16.338000,,MEDIUM,25.0
HAD,Racing Bulls,55.0,0 days 02:22:29.914000,,HARD,23.0
RUS,Mercedes,7.0,0 days 01:09:16.123000,,MEDIUM,7.0
RUS,Mercedes,32.0,0 days 01:48:18.671000,,MEDIUM,25.0
PIA,McLaren,24.0,0 days 01:36:13.079000,,MEDIUM,24.0
PIA,McLaren,42.0,0 days 02:02:08.747000,,MEDIUM,18.0
BEA,Haas F1 Team,7.0,0 days 01:09:24.451000,,MEDIUM,7.0
BEA,Haas F1 Team,32.0,0 days 01:48:22.932000,,MEDIUM,25.0
BEA,Haas F1 Team,40.0,0 days 02:00:30.569000,,HARD,8.0
BEA,Haas F1 Team,41.0,0 days 02:02:31.106000,0 days 02:01:07.908000,HARD,9.0
