Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
PIA,McLaren,1.0,0 days 00:02:04.986000,MEDIUM,1.0,2.0,,
PIA,McLaren,2.0,,MEDIUM,2.0,2.0,,
PIA,McLaren,3.0,,MEDIUM,3.0,3.0,,
PIA,McLaren,4.0,0 days 00:01:34.247000,MEDIUM,4.0,2.0,,
PIA,McLaren,5.0,0 days 00:01:33.418000,MEDIUM,5.0,2.0,,
PIA,McLaren,6.0,0 days 00:01:33.917000,MEDIUM,6.0,2.0,,
PIA,McLaren,7.0,0 days 00:01:33.523000,MEDIUM,7.0,2.0,,
PIA,McLaren,8.0,0 days 00:01:33.893000,MEDIUM,8.0,2.0,,
PIA,McLaren,9.0,0 days 00:01:33.500000,MEDIUM,9.0,2.0,,
PIA,McLaren,10.0,0 days 00:01:34.045000,MEDIUM,10.0,2.0,,
PIA,McLaren,11.0,0 days 00:01:33.808000,MEDIUM,11.0,2.0,,
PIA,McLaren,12.0,0 days 00:01:33.770000,MEDIUM,12.0,2.0,,
PIA,McLaren,13.0,0 days 00:01:34.280000,MEDIUM,13.0,2.0,,
PIA,McLaren,14.0,0 days 00:01:34.072000,MEDIUM,14.0,2.0,,
PIA,McLaren,15.0,0 days 00:01:34.149000,MEDIUM,15.0,2.0,,
PIA,McLaren,16.0,0 days 00:01:34.124000,MEDIUM,16.0,2.0,,
PIA,McLaren,17.0,0 days 00:01:34.279000,MEDIUM,17.0,2.0,,
PIA,McLaren,18.0,0 days 00:01:34.160000,MEDIUM,18.0,2.0,,
PIA,McLaren,19.0,0 days 00:01:36.450000,MEDIUM,19.0,2.0,0 days 01:29:46.222000,
PIA,McLaren,20.0,0 days 00:01:50.606000,HARD,1.0,6.0,,0 days 01:30:07.523000
PIA,McLaren,21.0,0 days 00:01:33.795000,HARD,2.0,4.0,,
PIA,McLaren,22.0,0 days 00:01:34.024000,HARD,3.0,3.0,,
PIA,McLaren,23.0,0 days 00:01:33.119000,HARD,4.0,3.0,,
PIA,McLaren,24.0,0 days 00:01:32.760000,HARD,5.0,3.0,,
PIA,McLaren,25.0,0 days 00:01:33.092000,HARD,6.0,3.0,,
PIA,McLaren,26.0,0 days 00:01:32.922000,HARD,7.0,3.0,,
PIA,McLaren,27.0,0 days 00:01:32.875000,HARD,8.0,3.0,,
PIA,McLaren,28.0,0 days 00:01:32.831000,HARD,9.0,3.0,,
PIA,McLaren,29.0,0 days 00:01:32.808000,HARD,10.0,3.0,,
PIA,McLaren,30.0,0 days 00:01:32.938000,HARD,11.0,2.0,,
PIA,McLaren,31.0,0 days 00:01:32.774000,HARD,12.0,2.0,,
PIA,McLaren,32.0,0 days 00:01:32.787000,HARD,13.0,2.0,,
PIA,McLaren,33.0,0 days 00:01:32.657000,HARD,14.0,2.0,,
PIA,McLaren,34.0,0 days 00:01:33.201000,HARD,15.0,1.0,,
PIA,McLaren,35.0,0 days 00:01:32.555000,HARD,16.0,1.0,,
PIA,McLaren,36.0,0 days 00:01:32.624000,HARD,17.0,1.0,,
PIA,McLaren,37.0,0 days 00:01:32.700000,HARD,18.0,1.0,,
PIA,McLaren,38.0,0 days 00:01:32.663000,HARD,19.0,1.0,,
PIA,McLaren,39.0,0 days 00:01:32.701000,HARD,20.0,1.0,,
PIA,McLaren,40.0,0 days 00:01:32.778000,HARD,21.0,1.0,,
PIA,McLaren,41.0,0 days 00:01:32.987000,HARD,22.0,1.0,,
PIA,McLaren,42.0,0 days 00:01:32.686000,HARD,23.0,1.0,,
PIA,McLaren,43.0,0 days 00:01:32.871000,HARD,24.0,1.0,,
PIA,McLaren,44.0,0 days 00:01:32.815000,HARD,25.0,1.0,,
PIA,McLaren,45.0,0 days 00:01:32.393000,HARD,26.0,1.0,,
PIA,McLaren,46.0,0 days 00:01:33.352000,HARD,27.0,1.0,,
PIA,McLaren,47.0,0 days 00:01:32.669000,HARD,28.0,1.0,,
PIA,McLaren,48.0,0 days 00:01:32.728000,HARD,29.0,1.0,,
PIA,McLaren,49.0,0 days 00:01:32.927000,HARD,30.0,1.0,,
PIA,McLaren,50.0,0 days 00:01:32.228000,HARD,31.0,1.0,,
VER,Red Bull Racing,1.0,0 days 00:02:03.217000,MEDIUM,1.0,1.0,,
VER,Red Bull Racing,2.0,,MEDIUM,2.0,1.0,,
VER,Red Bull Racing,3.0,,MEDIUM,3.0,1.0,,
VER,Red Bull Racing,4.0,0 days 00:01:33.831000,MEDIUM,4.0,1.0,,
VER,Red Bull Racing,5.0,0 days 00:01:33.716000,MEDIUM,5.0,1.0,,
VER,Red Bull Racing,6.0,0 days 00:01:33.564000,MEDIUM,6.0,1.0,,
VER,Red Bull Racing,7.0,0 days 00:01:33.511000,MEDIUM,7.0,1.0,,
VER,Red Bull Racing,8.0,0 days 00:01:33.891000,MEDIUM,8.0,1.0,,
VER,Red Bull Racing,9.0,0 days 00:01:33.798000,MEDIUM,9.0,1.0,,
VER,Red Bull Racing,10.0,0 days 00:01:33.813000,MEDIUM,10.0,1.0,,
VER,Red Bull Racing,11.0,0 days 00:01:34.001000,MEDIUM,11.0,1.0,,
VER,Red Bull Racing,12.0,0 days 00:01:33.960000,MEDIUM,12.0,1.0,,
VER,Red Bull Racing,13.0,0 days 00:01:33.856000,MEDIUM,13.0,1.0,,
VER,Red Bull Racing,14.0,0 days 00:01:33.901000,MEDIUM,14.0,1.0,,
VER,Red Bull Racing,15.0,0 days 00:01:33.900000,MEDIUM,15.0,1.0,,
VER,Red Bull Racing,16.0,0 days 00:01:33.758000,MEDIUM,16.0,1.0,,
VER,Red Bull Racing,17.0,0 days 00:01:33.797000,MEDIUM,17.0,1.0,,
VER,Red Bull Racing,18.0,0 days 00:01:33.810000,MEDIUM,18.0,1.0,,
VER,Red Bull Racing,19.0,0 days 00:01:33.914000,MEDIUM,19.0,1.0,,
VER,Red Bull Racing,20.0,0 days 00:01:34.038000,MEDIUM,20.0,1.0,,
VER,Red Bull Racing,21.0,0 days 00:01:36.500000,MEDIUM,21.0,1.0,0 days 01:32:51.477000,
VER,Red Bull Racing,22.0,0 days 00:01:55.832000,HARD,1.0,5.0,,0 days 01:33:17.527000
VER,Red Bull Racing,23.0,0 days 00:01:34.112000,HARD,2.0,4.0,,
VER,Red Bull Racing,24.0,0 days 00:01:33.419000,HARD,3.0,4.0,,
VER,Red Bull Racing,25.0,0 days 00:01:33.067000,HARD,4.0,4.0,,
VER,Red Bull Racing,26.0,0 days 00:01:33.020000,HARD,5.0,4.0,,
VER,Red Bull Racing,27.0,0 days 00:01:32.936000,HARD,6.0,4.0,,
VER,Red Bull Racing,28.0,0 days 00:01:32.958000,HARD,7.0,4.0,,
VER,Red Bull Racing,29.0,0 days 00:01:33.079000,HARD,8.0,4.0,,
VER,Red Bull Racing,30.0,0 days 00:01:32.811000,HARD,9.0,3.0,,
VER,Red Bull Racing,31.0,0 days 00:01:32.782000,HARD,10.0,3.0,,
VER,Red Bull Racing,32.0,0 days 00:01:32.773000,HARD,11.0,3.0,,
VER,Red Bull Racing,33.0,0 days 00:01:32.736000,HARD,12.0,3.0,,
VER,Red Bull Racing,34.0,0 days 00:01:32.696000,HARD,13.0,3.0,,
VER,Red Bull Racing,35.0,0 days 00:01:32.743000,HARD,14.0,2.0,,
VER,Red Bull Racing,36.0,0 days 00:01:32.691000,HARD,15.0,2.0,,
VER,Red Bull Racing,37.0,0 days 00:01:32.910000,HARD,16.0,2.0,,
VER,Red Bull Racing,38.0,0 days 00:01:32.710000,HARD,17.0,2.0,,
VER,Red Bull Racing,39.0,0 days 00:01:32.681000,HARD,18.0,2.0,,
VER,Red Bull Racing,40.0,0 days 00:01:32.560000,HARD,19.0,2.0,,
VER,Red Bull Racing,41.0,0 days 00:01:32.568000,HARD,20.0,2.0,,
VER,Red Bull Racing,42.0,0 days 00:01:32.500000,HARD,21.0,2.0,,
VER,Red Bull Racing,43.0,0 days 00:01:33.182000,HARD,22.0,2.0,,
VER,Red Bull Racing,44.0,0 days 00:01:32.512000,HARD,23.0,2.0,,
VER,Red Bull Racing,45.0,0 days 00:01:32.466000,HARD,24.0,2.0,,
VER,Red Bull Racing,46.0,0 days 00:01:32.324000,HARD,25.0,2.0,,
VER,Red Bull Racing,47.0,0 days 00:01:32.873000,HARD,26.0,2.0,,
VER,Red Bull Racing,48.0,0 days 00:01:32.697000,HARD,27.0,2.0,,
VER,Red Bull Racing,49.0,0 days 00:01:32.280000,HARD,28.0,2.0,,
VER,Red Bull Racing,50.0,0 days 00:01:32.453000,HARD,29.0,2.0,,
LEC,Ferrari,1.0,0 days 00:02:07.865000,MEDIUM,1.0,4.0,,
LEC,Ferrari,2.0,,MEDIUM,2.0,4.0,,
LEC,Ferrari,3.0,,MEDIUM,3.0,4.0,,
LEC,Ferrari,4.0,0 days 00:01:35.845000,MEDIUM,4.0,4.0,,
LEC,Ferrari,5.0,0 days 00:01:34.428000,MEDIUM,5.0,4.0,,
LEC,Ferrari,6.0,0 days 00:01:34.520000,MEDIUM,6.0,4.0,,
LEC,Ferrari,7.0,0 days 00:01:34.275000,MEDIUM,7.0,4.0,,
LEC,Ferrari,8.0,0 days 00:01:34.085000,MEDIUM,8.0,4.0,,
LEC,Ferrari,9.0,0 days 00:01:34.099000,MEDIUM,9.0,4.0,,
LEC,Ferrari,10.0,0 days 00:01:34.419000,MEDIUM,10.0,4.0,,
LEC,Ferrari,11.0,0 days 00:01:34.293000,MEDIUM,11.0,4.0,,
LEC,Ferrari,12.0,0 days 00:01:34.425000,MEDIUM,12.0,4.0,,
