Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
RUS,Mercedes,25.0,0 days 01:35:32.507000,,MEDIUM,25.0
VER,Red Bull Racing,19.0,0 days 01:25:58.620000,,SOFT,22.0
NOR,McLaren,26.0,0 days 01:37:17.996000,,MEDIUM,26.0
PIA,McLaren,27.0,0 days 01:38:59.354000,,MEDIUM,27.0
ANT,Mercedes,25.0,0 days 01:35:53.444000,,MEDIUM,25.0
LEC,Ferrari,21.0,0 days 01:29:24.436000,,MEDIUM,21.0
ALO,Aston Martin,27.0,0 days 01:39:28.221000,,SOFT,30.0
HAM,Ferrari,24.0,0 days 01:34:21.905000,,MEDIUM,24.0
HAM,Ferrari,46.0,0 days 02:10:03.032000,,HARD,22.0
BEA,Haas F1 Team,23.0,0 days 01:32:59.369000,,MEDIUM,23.0
SAI,Williams,50.0,0 days 02:17:36.703000,,MEDIUM,50.0
HAD,Racing Bulls,20.0,0 days 01:28:04.958000,,SOFT,22.0
TSU,Red Bull Racing,13.0,0 days 01:16:47.243000,,SOFT,13.0
STR,Aston Martin,38.0,0 days 01:57:52.398000,,SOFT,38.0
ALB,Williams,42.0,0 days 02:04:32.477000,,MEDIUM,42.0
LAW,Racing Bulls,48.0,0 days 02:14:19.560000,,MEDIUM,48.0
COL,Alpine,14.0,0 days 01:18:19.919000,,SOFT,14.0
BOR,Kick Sauber,13.0,0 days 01:16:44.262000,,MEDIUM,13.0
OCO,Haas F1 Team,30.0,0 days 01:44:40.291000,,MEDIUM,30.0
GAS,Alpine,24.0,0 days 01:34:56.421000,,MEDIUM,24.0
GAS,Alpine,51.0,0 days 02:19:40.595000,,HARD,27.0
HUL,Kick Sauber,25.0,0 days 01:36:21.085000,,MEDIUM,25.0
HUL,Kick Sauber,44.0,0 days 02:08:16.479000,,HARD,19.0
