Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:23.696000,SOFT,4.0,2.0,,
VER,Red Bull Racing,2.0,0 days 00:01:20.083000,SOFT,5.0,2.0,,
VER,Red Bull Racing,3.0,0 days 00:01:20.537000,SOFT,6.0,2.0,,
VER,Red Bull Racing,4.0,0 days 00:01:21.032000,SOFT,7.0,2.0,,
VER,Red Bull Racing,5.0,0 days 00:01:20.964000,SOFT,8.0,2.0,,
VER,Red Bull Racing,6.0,0 days 00:01:20.822000,SOFT,9.0,2.0,,
VER,Red Bull Racing,7.0,0 days 00:01:20.760000,SOFT,10.0,2.0,,
VER,Red Bull Racing,8.0,0 days 00:01:21.019000,SOFT,11.0,2.0,,
VER,Red Bull Racing,9.0,0 days 00:01:21.168000,SOFT,12.0,2.0,,
VER,Red Bull Racing,10.0,0 days 00:01:21.163000,SOFT,13.0,2.0,,
VER,Red Bull Racing,11.0,0 days 00:01:21.143000,SOFT,14.0,2.0,,
VER,Red Bull Racing,12.0,0 days 00:01:21.623000,SOFT,15.0,2.0,,
VER,Red Bull Racing,13.0,0 days 00:01:26.030000,SOFT,16.0,3.0,0 days 01:16:50.998000,
VER,Red Bull Racing,14.0,0 days 00:01:37.200000,SOFT,1.0,8.0,,0 days 01:17:12.799000
VER,Red Bull Racing,15.0,0 days 00:01:19.630000,SOFT,2.0,7.0,,
VER,Red Bull Racing,16.0,0 days 00:01:19.450000,SOFT,3.0,7.0,,
VER,Red Bull Racing,17.0,0 days 00:01:20.011000,SOFT,4.0,5.0,,
VER,Red Bull Racing,18.0,0 days 00:01:19.786000,SOFT,5.0,4.0,,
VER,Red Bull Racing,19.0,0 days 00:01:20.259000,SOFT,6.0,3.0,,
VER,Red Bull Racing,20.0,0 days 00:01:19.840000,SOFT,7.0,3.0,,
VER,Red Bull Racing,21.0,0 days 00:01:19.911000,SOFT,8.0,3.0,,
VER,Red Bull Racing,22.0,0 days 00:01:19.640000,SOFT,9.0,2.0,,
VER,Red Bull Racing,23.0,0 days 00:01:20.183000,SOFT,10.0,1.0,,
VER,Red Bull Racing,24.0,0 days 00:01:19.958000,SOFT,11.0,1.0,,
VER,Red Bull Racing,25.0,0 days 00:01:20.124000,SOFT,12.0,1.0,,
VER,Red Bull Racing,26.0,0 days 00:01:20.382000,SOFT,13.0,1.0,,
VER,Red Bull Racing,27.0,0 days 00:01:20.672000,SOFT,14.0,1.0,,
VER,Red Bull Racing,28.0,0 days 00:01:20.580000,SOFT,15.0,1.0,,
VER,Red Bull Racing,29.0,0 days 00:01:24.509000,SOFT,16.0,2.0,0 days 01:38:33.050000,
VER,Red Bull Racing,30.0,0 days 00:01:36.279000,MEDIUM,1.0,4.0,,0 days 01:38:55.114000
VER,Red Bull Racing,31.0,0 days 00:01:18.216000,MEDIUM,2.0,4.0,,
VER,Red Bull Racing,32.0,0 days 00:01:18.455000,MEDIUM,3.0,4.0,,
VER,Red Bull Racing,33.0,0 days 00:01:18.727000,MEDIUM,4.0,4.0,,
VER,Red Bull Racing,34.0,0 days 00:01:18.924000,MEDIUM,5.0,4.0,,
VER,Red Bull Racing,35.0,0 days 00:01:19.141000,MEDIUM,6.0,4.0,,
VER,Red Bull Racing,36.0,0 days 00:01:19.218000,MEDIUM,7.0,3.0,,
VER,Red Bull Racing,37.0,0 days 00:01:19.108000,MEDIUM,8.0,3.0,,
VER,Red Bull Racing,38.0,0 days 00:01:19.443000,MEDIUM,9.0,3.0,,
VER,Red Bull Racing,39.0,0 days 00:01:19.650000,MEDIUM,10.0,3.0,,
VER,Red Bull Racing,40.0,0 days 00:01:19.726000,MEDIUM,11.0,3.0,,
VER,Red Bull Racing,41.0,0 days 00:01:19.922000,MEDIUM,12.0,3.0,,
VER,Red Bull Racing,42.0,0 days 00:01:19.963000,MEDIUM,13.0,3.0,,
VER,Red Bull Racing,43.0,0 days 00:01:20.134000,MEDIUM,14.0,3.0,,
VER,Red Bull Racing,44.0,0 days 00:01:19.840000,MEDIUM,15.0,3.0,,
VER,Red Bull Racing,45.0,0 days 00:01:20.301000,MEDIUM,16.0,3.0,,
VER,Red Bull Racing,46.0,0 days 00:01:20.367000,MEDIUM,17.0,3.0,,
VER,Red Bull Racing,47.0,0 days 00:01:23.558000,MEDIUM,18.0,3.0,0 days 02:02:44.158000,
VER,Red Bull Racing,48.0,0 days 00:01:35.915000,SOFT,4.0,3.0,,0 days 02:03:05.962000
VER,Red Bull Racing,49.0,0 days 00:01:17.141000,SOFT,5.0,3.0,,
VER,Red Bull Racing,50.0,0 days 00:01:17.997000,SOFT,6.0,3.0,,
VER,Red Bull Racing,51.0,0 days 00:01:18.734000,SOFT,7.0,3.0,,
VER,Red Bull Racing,52.0,0 days 00:01:18.682000,SOFT,8.0,3.0,,
VER,Red Bull Racing,53.0,0 days 00:01:18.941000,SOFT,9.0,3.0,,
VER,Red Bull Racing,54.0,0 days 00:01:18.584000,SOFT,10.0,3.0,,
VER,Red Bull Racing,55.0,0 days 00:01:34.644000,SOFT,11.0,3.0,0 days 02:13:44.750000,
VER,Red Bull Racing,56.0,0 days 00:02:25.126000,HARD,1.0,3.0,,0 days 02:14:07.144000
VER,Red Bull Racing,57.0,0 days 00:02:06.705000,HARD,2.0,3.0,,
VER,Red Bull Racing,58.0,0 days 00:02:08.675000,HARD,3.0,3.0,,
VER,Red Bull Racing,59.0,0 days 00:02:02.657000,HARD,4.0,3.0,,
VER,Red Bull Racing,60.0,0 days 00:02:02.501000,HARD,5.0,3.0,,
VER,Red Bull Racing,61.0,0 days 00:01:18.862000,HARD,6.0,4.0,,
VER,Red Bull Racing,62.0,0 days 00:01:17.019000,HARD,7.0,4.0,,
VER,Red Bull Racing,63.0,0 days 00:01:17.608000,HARD,8.0,4.0,,
VER,Red Bull Racing,64.0,0 days 00:01:20.060000,HARD,9.0,5.0,,
VER,Red Bull Racing,65.0,0 days 00:01:18.122000,HARD,10.0,5.0,,
VER,Red Bull Racing,66.0,0 days 00:01:18.081000,HARD,11.0,5.0,,
GAS,Alpine,1.0,0 days 00:01:27.934000,SOFT,3.0,8.0,,
GAS,Alpine,2.0,0 days 00:01:22.663000,SOFT,4.0,8.0,,
GAS,Alpine,3.0,0 days 00:01:22.133000,SOFT,5.0,8.0,,
GAS,Alpine,4.0,0 days 00:01:21.329000,SOFT,6.0,8.0,,
GAS,Alpine,5.0,0 days 00:01:21.681000,SOFT,7.0,8.0,,
GAS,Alpine,6.0,0 days 00:01:21.791000,SOFT,8.0,8.0,,
GAS,Alpine,7.0,0 days 00:01:21.964000,SOFT,9.0,8.0,,
GAS,Alpine,8.0,0 days 00:01:22.313000,SOFT,10.0,8.0,,
GAS,Alpine,9.0,0 days 00:01:22.160000,SOFT,11.0,8.0,,
GAS,Alpine,10.0,0 days 00:01:25.670000,SOFT,12.0,10.0,0 days 01:13:00.614000,
GAS,Alpine,11.0,0 days 00:01:38.838000,SOFT,4.0,14.0,,0 days 01:13:22.762000
GAS,Alpine,12.0,0 days 00:01:21.664000,SOFT,5.0,14.0,,
GAS,Alpine,13.0,0 days 00:01:22.252000,SOFT,6.0,14.0,,
GAS,Alpine,14.0,0 days 00:01:22.189000,SOFT,7.0,13.0,,
GAS,Alpine,15.0,0 days 00:01:21.939000,SOFT,8.0,12.0,,
GAS,Alpine,16.0,0 days 00:01:21.645000,SOFT,9.0,12.0,,
GAS,Alpine,17.0,0 days 00:01:21.636000,SOFT,10.0,12.0,,
GAS,Alpine,18.0,0 days 00:01:22.752000,SOFT,11.0,12.0,,
GAS,Alpine,19.0,0 days 00:01:21.937000,SOFT,12.0,9.0,,
GAS,Alpine,20.0,0 days 00:01:21.663000,SOFT,13.0,8.0,,
GAS,Alpine,21.0,0 days 00:01:21.802000,SOFT,14.0,8.0,,
GAS,Alpine,22.0,0 days 00:01:21.865000,SOFT,15.0,7.0,,
GAS,Alpine,23.0,0 days 00:01:22.333000,SOFT,16.0,7.0,,
GAS,Alpine,24.0,0 days 00:01:23.215000,SOFT,17.0,8.0,,
GAS,Alpine,25.0,0 days 00:01:22.755000,SOFT,18.0,9.0,,
