Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,13.0,0 days 01:16:50.998000,,SOFT,16.0
VER,Red Bull Racing,29.0,0 days 01:38:33.050000,,SOFT,16.0
VER,Red Bull Racing,47.0,0 days 02:02:44.158000,,MEDIUM,18.0
VER,Red Bull Racing,55.0,0 days 02:13:44.750000,,SOFT,11.0
GAS,Alpine,10.0,0 days 01:13:00.614000,,SOFT,12.0
GAS,Alpine,31.0,0 days 01:42:07.569000,,SOFT,24.0
GAS,Alpine,55.0,0 days 02:15:38.580000,,MEDIUM,24.0
ANT,Mercedes,21.0,0 days 01:28:01.961000,,SOFT,24.0
ANT,Mercedes,49.0,0 days 02:06:04.932000,,MEDIUM,28.0
ALO,Aston Martin,15.0,0 days 01:20:07.865000,,SOFT,17.0
ALO,Aston Martin,42.0,0 days 01:57:13.431000,,MEDIUM,28.0
ALO,Aston Martin,54.0,0 days 02:13:53.176000,,SOFT,15.0
LEC,Ferrari,17.0,0 days 01:22:22.089000,,SOFT,18.0
LEC,Ferrari,40.0,0 days 01:53:32.336000,,MEDIUM,23.0
LEC,Ferrari,55.0,0 days 02:14:07.841000,,MEDIUM,15.0
TSU,Red Bull Racing,8.0,0 days 01:10:28.681000,,MEDIUM,8.0
TSU,Red Bull Racing,24.0,0 days 01:32:39.185000,,SOFT,16.0
TSU,Red Bull Racing,44.0,0 days 02:00:06.313000,,SOFT,20.0
TSU,Red Bull Racing,54.0,0 days 02:14:00.538000,,SOFT,10.0
ALB,Williams,6.0,0 days 01:07:38.535000,,SOFT,9.0
ALB,Williams,26.0,0 days 01:35:31.882000,,SOFT,20.0
ALB,Williams,27.0,0 days 01:37:34.115000,0 days 01:36:09.501000,SOFT,21.0
HUL,Kick Sauber,9.0,0 days 01:11:40.454000,,SOFT,9.0
HUL,Kick Sauber,45.0,0 days 02:01:03.489000,,MEDIUM,36.0
HUL,Kick Sauber,56.0,0 days 02:17:01.732000,,SOFT,11.0
LAW,Racing Bulls,18.0,0 days 01:24:08.445000,,SOFT,18.0
LAW,Racing Bulls,44.0,0 days 01:59:50.122000,,MEDIUM,26.0
OCO,Haas F1 Team,20.0,0 days 01:27:05.433000,,SOFT,20.0
OCO,Haas F1 Team,43.0,0 days 01:58:45.209000,,MEDIUM,23.0
NOR,McLaren,21.0,0 days 01:27:38.148000,,SOFT,21.0
NOR,McLaren,48.0,0 days 02:04:00.195000,,MEDIUM,27.0
NOR,McLaren,55.0,0 days 02:13:40.876000,,SOFT,10.0
COL,Alpine,14.0,0 days 01:18:46.119000,,SOFT,14.0
COL,Alpine,39.0,0 days 01:53:39.561000,,MEDIUM,25.0
COL,Alpine,54.0,0 days 02:14:34.669000,,SOFT,15.0
HAM,Ferrari,16.0,0 days 01:21:05.232000,,SOFT,19.0
HAM,Ferrari,46.0,0 days 02:01:47.305000,,MEDIUM,30.0
HAM,Ferrari,55.0,0 days 02:14:23.842000,,SOFT,12.0
BOR,Kick Sauber,19.0,0 days 01:25:39.156000,,SOFT,22.0
BOR,Kick Sauber,49.0,0 days 02:06:51.229000,,MEDIUM,30.0
SAI,Williams,9.0,0 days 01:11:49.772000,,SOFT,9.0
SAI,Williams,34.0,0 days 01:46:26.464000,,SOFT,25.0
SAI,Williams,55.0,0 days 02:16:07.284000,,MEDIUM,21.0
HAD,Racing Bulls,19.0,0 days 01:25:22.760000,,SOFT,22.0
HAD,Racing Bulls,48.0,0 days 02:04:54.151000,,MEDIUM,29.0
HAD,Racing Bulls,55.0,0 days 02:15:09.769000,,SOFT,10.0
RUS,Mercedes,20.0,0 days 01:26:34.945000,,SOFT,23.0
RUS,Mercedes,41.0,0 days 01:55:03.855000,,MEDIUM,21.0
RUS,Mercedes,55.0,0 days 02:14:12.059000,,SOFT,14.0
PIA,McLaren,22.0,0 days 01:28:53.993000,,SOFT,22.0
PIA,McLaren,49.0,0 days 02:05:13.232000,,MEDIUM,27.0
PIA,McLaren,55.0,0 days 02:13:35.412000,,SOFT,9.0
BEA,Haas F1 Team,8.0,0 days 01:10:23.615000,,SOFT,8.0
BEA,Haas F1 Team,35.0,0 days 01:47:41.016000,,MEDIUM,27.0
BEA,Haas F1 Team,54.0,0 days 02:13:56.541000,,MEDIUM,19.0
