Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:31.677000,MEDIUM,1.0,1.0,,
VER,Red Bull Racing,2.0,0 days 00:01:29.117000,MEDIUM,2.0,1.0,,
VER,Red Bull Racing,3.0,0 days 00:01:29.555000,MEDIUM,3.0,1.0,,
VER,Red Bull Racing,4.0,0 days 00:01:29.563000,MEDIUM,4.0,1.0,,
VER,Red Bull Racing,5.0,0 days 00:01:29.695000,MEDIUM,5.0,1.0,,
VER,Red Bull Racing,6.0,0 days 00:01:29.772000,MEDIUM,6.0,1.0,,
VER,Red Bull Racing,7.0,0 days 00:01:29.744000,MEDIUM,7.0,1.0,,
VER,Red Bull Racing,8.0,0 days 00:01:29.601000,MEDIUM,8.0,1.0,,
VER,Red Bull Racing,9.0,0 days 00:01:29.413000,MEDIUM,9.0,1.0,,
VER,Red Bull Racing,10.0,0 days 00:01:29.465000,MEDIUM,10.0,1.0,,
VER,Red Bull Racing,11.0,0 days 00:01:29.538000,MEDIUM,11.0,1.0,,
VER,Red Bull Racing,12.0,0 days 00:01:29.543000,MEDIUM,12.0,1.0,,
VER,Red Bull Racing,13.0,0 days 00:01:29.633000,MEDIUM,13.0,1.0,,
VER,Red Bull Racing,14.0,0 days 00:01:29.526000,MEDIUM,14.0,1.0,,
VER,Red Bull Racing,15.0,0 days 00:01:29.703000,MEDIUM,15.0,1.0,,
VER,Red Bull Racing,16.0,0 days 00:01:29.460000,MEDIUM,16.0,1.0,,
VER,Red Bull Racing,17.0,0 days 00:01:29.578000,MEDIUM,17.0,1.0,,
VER,Red Bull Racing,18.0,0 days 00:01:29.596000,MEDIUM,18.0,1.0,,
VER,Red Bull Racing,19.0,0 days 00:01:29.614000,MEDIUM,19.0,1.0,,
VER,Red Bull Racing,20.0,0 days 00:01:29.557000,MEDIUM,20.0,1.0,,
VER,Red Bull Racing,21.0,0 days 00:01:29.441000,MEDIUM,21.0,1.0,,
VER,Red Bull Racing,22.0,0 days 00:01:29.243000,MEDIUM,22.0,1.0,,
VER,Red Bull Racing,23.0,0 days 00:01:31.365000,MEDIUM,23.0,1.0,0 days 01:32:43.105000,
VER,Red Bull Racing,24.0,0 days 00:01:48.923000,HARD,1.0,2.0,,0 days 01:33:04.789000
VER,Red Bull Racing,25.0,0 days 00:01:28.693000,HARD,2.0,2.0,,
VER,Red Bull Racing,26.0,0 days 00:01:28.312000,HARD,3.0,2.0,,
VER,Red Bull Racing,27.0,0 days 00:01:28.327000,HARD,4.0,2.0,,
VER,Red Bull Racing,28.0,0 days 00:01:28.371000,HARD,5.0,2.0,,
VER,Red Bull Racing,29.0,0 days 00:01:28.003000,HARD,6.0,2.0,,
VER,Red Bull Racing,30.0,0 days 00:01:28.049000,HARD,7.0,2.0,,
VER,Red Bull Racing,31.0,0 days 00:01:27.844000,HARD,8.0,2.0,,
VER,Red Bull Racing,32.0,0 days 00:01:27.801000,HARD,9.0,2.0,,
VER,Red Bull Racing,33.0,0 days 00:01:27.909000,HARD,10.0,2.0,,
VER,Red Bull Racing,34.0,0 days 00:01:27.924000,HARD,11.0,2.0,,
VER,Red Bull Racing,35.0,0 days 00:01:27.981000,HARD,12.0,2.0,,
VER,Red Bull Racing,36.0,0 days 00:01:27.810000,HARD,13.0,2.0,,
VER,Red Bull Racing,37.0,0 days 00:01:27.745000,HARD,14.0,2.0,,
VER,Red Bull Racing,38.0,0 days 00:01:27.751000,HARD,15.0,2.0,,
VER,Red Bull Racing,39.0,0 days 00:01:27.625000,HARD,16.0,2.0,,
VER,Red Bull Racing,40.0,0 days 00:01:28.142000,HARD,17.0,2.0,,
VER,Red Bull Racing,41.0,0 days 00:01:27.973000,HARD,18.0,1.0,,
VER,Red Bull Racing,42.0,0 days 00:01:28.220000,HARD,19.0,1.0,,
VER,Red Bull Racing,43.0,0 days 00:01:27.935000,HARD,20.0,1.0,,
VER,Red Bull Racing,44.0,0 days 00:01:27.893000,HARD,21.0,1.0,,
VER,Red Bull Racing,45.0,0 days 00:01:27.752000,HARD,22.0,1.0,,
VER,Red Bull Racing,46.0,0 days 00:01:27.961000,HARD,23.0,1.0,,
VER,Red Bull Racing,47.0,0 days 00:01:27.871000,HARD,24.0,1.0,,
VER,Red Bull Racing,48.0,0 days 00:01:27.818000,HARD,25.0,1.0,,
VER,Red Bull Racing,49.0,0 days 00:01:27.750000,HARD,26.0,1.0,,
VER,Red Bull Racing,50.0,0 days 00:01:27.986000,HARD,27.0,1.0,,
VER,Red Bull Racing,51.0,0 days 00:01:27.983000,HARD,28.0,1.0,,
VER,Red Bull Racing,52.0,0 days 00:01:28.455000,HARD,29.0,1.0,,
VER,Red Bull Racing,53.0,0 days 00:01:28.395000,HARD,30.0,1.0,,
VER,Red Bull Racing,54.0,0 days 00:01:28.175000,HARD,31.0,1.0,,
VER,Red Bull Racing,55.0,0 days 00:01:28.817000,HARD,32.0,1.0,,
VER,Red Bull Racing,56.0,0 days 00:01:28.621000,HARD,33.0,1.0,,
VER,Red Bull Racing,57.0,0 days 00:01:28.782000,HARD,34.0,1.0,,
VER,Red Bull Racing,58.0,0 days 00:01:28.473000,HARD,35.0,1.0,,
PIA,McLaren,1.0,0 days 00:01:32.906000,HARD,1.0,2.0,,
PIA,McLaren,2.0,0 days 00:01:29.814000,HARD,2.0,2.0,,
PIA,McLaren,3.0,0 days 00:01:29.525000,HARD,3.0,2.0,,
PIA,McLaren,4.0,0 days 00:01:29.926000,HARD,4.0,2.0,,
PIA,McLaren,5.0,0 days 00:01:29.758000,HARD,5.0,2.0,,
PIA,McLaren,6.0,0 days 00:01:29.787000,HARD,6.0,2.0,,
PIA,McLaren,7.0,0 days 00:01:29.568000,HARD,7.0,2.0,,
