Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,23.0,0 days 01:32:43.105000,,MEDIUM,23.0
PIA,McLaren,41.0,0 days 01:59:32.422000,,HARD,41.0
NOR,McLaren,16.0,0 days 01:22:22.132000,,MEDIUM,16.0
NOR,McLaren,40.0,0 days 01:58:09.085000,,HARD,24.0
LEC,Ferrari,16.0,0 days 01:22:24.397000,,MEDIUM,16.0
LEC,Ferrari,39.0,0 days 01:56:47.241000,,HARD,23.0
RUS,Mercedes,14.0,0 days 01:19:27.532000,,MEDIUM,14.0
ALO,Aston Martin,16.0,0 days 01:22:28.853000,,MEDIUM,17.0
OCO,Haas F1 Team,19.0,0 days 01:27:09.983000,,MEDIUM,19.0
HAM,Ferrari,8.0,0 days 01:10:34.214000,,SOFT,8.0
HAM,Ferrari,31.0,0 days 01:45:20.080000,,HARD,23.0
HUL,Kick Sauber,7.0,0 days 01:09:06.710000,,SOFT,7.0
HUL,Kick Sauber,42.0,0 days 02:01:57.580000,,HARD,35.0
STR,Aston Martin,42.0,0 days 02:01:50.262000,,HARD,43.0
BOR,Kick Sauber,15.0,0 days 01:21:00.857000,,MEDIUM,15.0
BEA,Haas F1 Team,14.0,0 days 01:19:38.498000,,MEDIUM,14.0
SAI,Williams,18.0,0 days 01:25:45.121000,,MEDIUM,18.0
TSU,Red Bull Racing,32.0,0 days 01:46:45.713000,,HARD,32.0
ANT,Mercedes,32.0,0 days 01:46:57.849000,,HARD,32.0
ALB,Williams,8.0,0 days 01:10:35.232000,,SOFT,8.0
ALB,Williams,33.0,0 days 01:48:29.894000,,HARD,25.0
HAD,Racing Bulls,14.0,0 days 01:19:34.627000,,MEDIUM,14.0
LAW,Racing Bulls,21.0,0 days 01:30:20.768000,,MEDIUM,21.0
GAS,Alpine,13.0,0 days 01:18:15.061000,,MEDIUM,13.0
GAS,Alpine,40.0,0 days 01:59:07.779000,,HARD,27.0
COL,Alpine,15.0,0 days 01:21:18.540000,,MEDIUM,15.0
COL,Alpine,40.0,0 days 01:59:14.311000,,HARD,25.0
