Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:45.820000,INTERMEDIATE,1.0,1.0,,
VER,Red Bull Racing,2.0,0 days 00:02:15.598000,INTERMEDIATE,2.0,1.0,,
VER,Red Bull Racing,3.0,0 days 00:02:17.357000,INTERMEDIATE,3.0,1.0,,
VER,Red Bull Racing,4.0,0 days 00:01:45.568000,INTERMEDIATE,4.0,1.0,,
VER,Red Bull Racing,5.0,0 days 00:01:44.809000,INTERMEDIATE,5.0,1.0,,
VER,Red Bull Racing,6.0,0 days 00:02:19.789000,INTERMEDIATE,6.0,1.0,,
VER,Red Bull Racing,7.0,0 days 00:02:02.547000,INTERMEDIATE,7.0,1.0,,
VER,Red Bull Racing,8.0,0 days 00:01:45.834000,INTERMEDIATE,8.0,2.0,,
VER,Red Bull Racing,9.0,0 days 00:01:46.326000,INTERMEDIATE,9.0,2.0,,
VER,Red Bull Racing,10.0,0 days 00:01:46.432000,INTERMEDIATE,10.0,2.0,,
VER,Red Bull Racing,11.0,0 days 00:01:50.497000,INTERMEDIATE,11.0,3.0,0 days 01:17:23.948000,
VER,Red Bull Racing,12.0,0 days 00:02:06.914000,INTERMEDIATE,1.0,2.0,,0 days 01:17:52.088000
VER,Red Bull Racing,13.0,0 days 00:01:51.224000,INTERMEDIATE,2.0,2.0,,
VER,Red Bull Racing,14.0,0 days 00:02:16.820000,INTERMEDIATE,3.0,2.0,,
VER,Red Bull Racing,15.0,,INTERMEDIATE,4.0,2.0,,
VER,Red Bull Racing,16.0,,INTERMEDIATE,5.0,2.0,,
VER,Red Bull Racing,17.0,,INTERMEDIATE,6.0,2.0,,
VER,Red Bull Racing,18.0,0 days 00:01:58.665000,INTERMEDIATE,7.0,2.0,,
VER,Red Bull Racing,19.0,,INTERMEDIATE,8.0,2.0,,
VER,Red Bull Racing,20.0,,INTERMEDIATE,9.0,2.0,,
VER,Red Bull Racing,21.0,,INTERMEDIATE,10.0,10.0,,
VER,Red Bull Racing,22.0,0 days 00:01:51.018000,INTERMEDIATE,11.0,10.0,,
VER,Red Bull Racing,23.0,0 days 00:01:45.863000,INTERMEDIATE,12.0,10.0,,
VER,Red Bull Racing,24.0,0 days 00:01:45.017000,INTERMEDIATE,13.0,10.0,,
VER,Red Bull Racing,25.0,0 days 00:01:44.139000,INTERMEDIATE,14.0,10.0,,
