Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,11.0,0 days 01:17:23.948000,,INTERMEDIATE,11.0
VER,Red Bull Racing,41.0,0 days 02:16:41.355000,,INTERMEDIATE,30.0
GAS,Alpine,11.0,0 days 01:17:34.025000,,INTERMEDIATE,11.0
GAS,Alpine,41.0,0 days 02:16:43.664000,,INTERMEDIATE,30.0
ANT,Mercedes,2.0,0 days 01:00:08.067000,,INTERMEDIATE,2.0
ANT,Mercedes,9.0,0 days 01:14:14.745000,,HARD,7.0
ANT,Mercedes,20.0,0 days 01:39:25.387000,,INTERMEDIATE,11.0
ANT,Mercedes,23.0,0 days 01:46:02.187000,,INTERMEDIATE,3.0
ALO,Aston Martin,11.0,0 days 01:17:35.022000,,INTERMEDIATE,11.0
ALO,Aston Martin,37.0,0 days 02:09:54.708000,,INTERMEDIATE,26.0
LEC,Ferrari,10.0,0 days 01:15:56.680000,,MEDIUM,10.0
LEC,Ferrari,42.0,0 days 02:18:30.020000,,INTERMEDIATE,32.0
STR,Aston Martin,6.0,0 days 01:08:23.537000,,INTERMEDIATE,6.0
STR,Aston Martin,10.0,0 days 01:15:44.281000,,SOFT,4.0
STR,Aston Martin,41.0,0 days 02:16:37.690000,,INTERMEDIATE,31.0
TSU,Red Bull Racing,11.0,0 days 01:17:43.967000,,INTERMEDIATE,11.0
TSU,Red Bull Racing,41.0,0 days 02:17:18.191000,,INTERMEDIATE,30.0
ALB,Williams,12.0,0 days 01:19:31.664000,,INTERMEDIATE,12.0
ALB,Williams,42.0,0 days 02:18:33.848000,,INTERMEDIATE,30.0
HUL,Kick Sauber,9.0,0 days 01:14:00.711000,,INTERMEDIATE,9.0
HUL,Kick Sauber,42.0,0 days 02:18:02.637000,,INTERMEDIATE,33.0
OCO,Haas F1 Team,18.0,0 days 01:34:05.049000,,INTERMEDIATE,18.0
OCO,Haas F1 Team,42.0,0 days 02:18:36.551000,,INTERMEDIATE,24.0
NOR,McLaren,11.0,0 days 01:17:22.431000,,INTERMEDIATE,11.0
NOR,McLaren,44.0,0 days 02:20:48.417000,,INTERMEDIATE,33.0
HAM,Ferrari,11.0,0 days 01:17:32.787000,,INTERMEDIATE,11.0
HAM,Ferrari,41.0,0 days 02:16:24.964000,,INTERMEDIATE,30.0
SAI,Williams,11.0,0 days 01:17:36.614000,,INTERMEDIATE,11.0
SAI,Williams,41.0,0 days 02:16:52.699000,,INTERMEDIATE,30.0
HAD,Racing Bulls,10.0,0 days 01:16:02.226000,,MEDIUM,10.0
RUS,Mercedes,10.0,0 days 01:15:50.497000,,HARD,10.0
RUS,Mercedes,38.0,0 days 02:11:36.329000,,INTERMEDIATE,28.0
PIA,McLaren,11.0,0 days 01:17:14.916000,,INTERMEDIATE,11.0
PIA,McLaren,43.0,0 days 02:19:06.693000,,INTERMEDIATE,32.0
BEA,Haas F1 Team,10.0,0 days 01:16:04.657000,,HARD,10.0
BEA,Haas F1 Team,41.0,0 days 02:16:53.990000,,INTERMEDIATE,31.0
