Driver,Team,LapNumber,LapTime,Compound,TyreLife,Position,PitInTime,PitOutTime
VER,Red Bull Racing,1.0,0 days 00:01:40.212000,MEDIUM,1.0,1.0,,
VER,Red Bull Racing,2.0,0 days 00:01:40.241000,MEDIUM,2.0,1.0,,
VER,Red Bull Racing,3.0,0 days 00:01:40.069000,MEDIUM,3.0,1.0,,
VER,Red Bull Racing,4.0,0 days 00:01:39.758000,MEDIUM,4.0,1.0,,
VER,Red Bull Racing,5.0,0 days 00:01:40.310000,MEDIUM,5.0,1.0,,
VER,Red Bull Racing,6.0,0 days 00:01:40.141000,MEDIUM,6.0,1.0,,
VER,Red Bull Racing,7.0,0 days 00:01:58.580000,MEDIUM,7.0,1.0,,
VER,Red Bull Racing,8.0,0 days 00:02:18.596000,MEDIUM,8.0,1.0,,
VER,Red Bull Racing,9.0,0 days 00:01:42.739000,MEDIUM,9.0,1.0,,
VER,Red Bull Racing,10.0,0 days 00:01:39.203000,MEDIUM,10.0,1.0,,
VER,Red Bull Racing,11.0,0 days 00:01:39.647000,MEDIUM,11.0,1.0,,
VER,Red Bull Racing,12.0,0 days 00:01:39.437000,MEDIUM,12.0,1.0,,
VER,Red Bull Racing,13.0,0 days 00:01:39.585000,MEDIUM,13.0,1.0,,
VER,Red Bull Racing,14.0,0 days 00:01:39.514000,MEDIUM,14.0,1.0,,
VER,Red Bull Racing,15.0,0 days 00:01:40.085000,MEDIUM,15.0,1.0,,
VER,Red Bull Racing,16.0,0 days 00:01:39.783000,MEDIUM,16.0,1.0,,
VER,Red Bull Racing,17.0,0 days 00:01:39.731000,MEDIUM,17.0,1.0,,
VER,Red Bull Racing,18.0,0 days 00:01:39.400000,MEDIUM,18.0,1.0,,
VER,Red Bull Racing,19.0,0 days 00:01:39.454000,MEDIUM,19.0,1.0,,
VER,Red Bull Racing,20.0,0 days 00:01:39.520000,MEDIUM,20.0,1.0,,
VER,Red Bull Racing,21.0,0 days 00:01:39.551000,MEDIUM,21.0,1.0,,
VER,Red Bull Racing,22.0,0 days 00:01:39.773000,MEDIUM,22.0,1.0,,
VER,Red Bull Racing,23.0,0 days 00:01:39.508000,MEDIUM,23.0,1.0,,
VER,Red Bull Racing,24.0,0 days 00:01:39.516000,MEDIUM,24.0,1.0,,
VER,Red Bull Racing,25.0,0 days 00:01:39.462000,MEDIUM,25.0,1.0,,
VER,Red Bull Racing,26.0,0 days 00:01:39.928000,MEDIUM,26.0,1.0,,
VER,Red Bull Racing,27.0,0 days 00:01:40.128000,MEDIUM,27.0,1.0,,
VER,Red Bull Racing,28.0,0 days 00:01:40.013000,MEDIUM,28.0,1.0,,
VER,Red Bull Racing,29.0,0 days 00:01:39.876000,MEDIUM,29.0,1.0,,
VER,Red Bull Racing,30.0,0 days 00:01:40.013000,MEDIUM,30.0,1.0,,
VER,Red Bull Racing,31.0,0 days 00:01:40.054000,MEDIUM,31.0,1.0,,
VER,Red Bull Racing,32.0,0 days 00:01:40.461000,MEDIUM,32.0,1.0,,
