Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,33.0,0 days 01:52:39.562000,,MEDIUM,33.0
GAS,Alpine,27.0,0 days 01:43:31.489000,,MEDIUM,27.0
ANT,Mercedes,31.0,0 days 01:50:14.987000,,MEDIUM,31.0
ALO,Aston Martin,30.0,0 days 01:48:24.274000,,MEDIUM,31.0
LEC,Ferrari,22.0,0 days 01:34:33.344000,,SOFT,25.0
STR,Aston Martin,28.0,0 days 01:45:09.357000,,SOFT,28.0
TSU,Red Bull Racing,29.0,0 days 01:46:30.886000,,MEDIUM,29.0
ALB,Williams,7.0,0 days 01:09:20.832000,,HARD,7.0
ALB,Williams,36.0,0 days 01:58:40.075000,,MEDIUM,29.0
HUL,Kick Sauber,33.0,0 days 01:53:14.937000,,MEDIUM,33.0
LAW,Racing Bulls,30.0,0 days 01:48:27.276000,,MEDIUM,30.0
OCO,Haas F1 Team,24.0,0 days 01:38:33.734000,,HARD,24.0
NOR,McLaren,32.0,0 days 01:51:09.034000,,MEDIUM,32.0
COL,Alpine,32.0,0 days 01:52:05.080000,,MEDIUM,32.0
HAM,Ferrari,31.0,0 days 01:49:36.921000,,MEDIUM,31.0
BOR,Kick Sauber,14.0,0 days 01:21:31.655000,,SOFT,14.0
BOR,Kick Sauber,36.0,0 days 01:58:52.523000,,MEDIUM,22.0
HAD,Racing Bulls,28.0,0 days 01:45:22.347000,,HARD,28.0
RUS,Mercedes,33.0,0 days 01:53:04.998000,,MEDIUM,33.0
PIA,McLaren,30.0,0 days 01:48:00.997000,,MEDIUM,30.0
BEA,Haas F1 Team,30.0,0 days 01:48:13.090000,,MEDIUM,30.0
